"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",1700,837845.519563873
"2","2007","MPA",404,252132.309165603
"3","2008","Fished",1356,780480.42268134
"4","2008","MPA",1132,732563.141347372
"5","2009","Fished",1484,863521.893428459
"6","2009","MPA",632,434782.511120438
"7","2010","Fished",1868,449368.372397662
"8","2010","MPA",468,190705.832999155
"9","2011","Fished",2224,606319.675102347
"10","2011","MPA",576,247322.717635369
"11","2012","Fished",3676,1460554.00279411
"12","2012","MPA",1236,584615.836135014
"13","2013","Fished",7096,3729645.33670588
"14","2013","MPA",2096,1355866.27343384
