"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",22,8249.65993019136,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANM08200719","All",16,6232.75306539695,0.25,"sq_km",1552,"HnL","1"
"3",2007,"August","ANM08200721","All",1,61.8312712775827,0.25,"sq_km",1376.3,"HnL","1"
"4",2007,"August","ANM08230717","All",10,2674.63378071168,0.25,"sq_km",1371.5,"HnL","1"
"5",2007,"August","ANM08230722","All",3,690.390394967465,0.25,"sq_km",1925.7,"HnL","1"
"6",2007,"August","ANR08210702","All",22,2383.10002008269,0.25,"sq_km",12250.5,"HnL","0"
"7",2007,"August","ANR08210704","All",24,4145.00022308504,0.25,"sq_km",10943,"HnL","0"
"8",2007,"August","ANR08210705","All",23,5111.28670396697,0.25,"sq_km",9890.5,"HnL","0"
"9",2007,"August","ANR08210709","All",9,2372.93161133401,0.25,"sq_km",3910.2,"HnL","0"
"10",2007,"August","ANR08240703","All",40,9666.75845113877,0.25,"sq_km",11680.5,"HnL","0"
"11",2007,"August","ANR08240704","All",43,13461.6370697322,0.25,"sq_km",10943,"HnL","0"
"12",2007,"August","ANR08240708","All",24,6724.23105462939,0.25,"sq_km",6550.3,"HnL","0"
"13",2007,"August","ANR08240711","All",22,5157.11830816604,0.25,"sq_km",3227.8,"HnL","0"
"14",2007,"October","ANM10090716","All",3,858.413331696004,0.25,"sq_km",853.2,"HnL","1"
"15",2007,"October","ANM10090717","All",1,89.8388071918747,0.25,"sq_km",1371.5,"HnL","1"
"16",2007,"October","ANM10090718","All",1,195.49708526727,0.25,"sq_km",1655.6,"HnL","1"
"17",2007,"October","ANR10080701","All",12,3298.94735085165,0.25,"sq_km",12767.1,"HnL","0"
"18",2007,"October","ANR10080707","All",4,1397.5090322768,0.25,"sq_km",7427.6,"HnL","0"
"19",2007,"October","ANR10080708","All",8,1759.92535861315,0.25,"sq_km",6550.3,"HnL","0"
"20",2007,"October","ANR10080710","All",1,454.117471287148,0.25,"sq_km",3500.7,"HnL","0"
"21",2007,"October","ANR10110705","All",18,6149.55632585005,0.25,"sq_km",9890.5,"HnL","0"
"22",2007,"October","ANR10110706","All",2,187.320582949156,0.25,"sq_km",7994.8,"HnL","0"
"23",2007,"September","ANM09170713","All",11,3981.28973374823,0.25,"sq_km",327.6,"HnL","1"
"24",2007,"September","ANM09170716","All",2,200.431016669567,0.25,"sq_km",853.2,"HnL","1"
"25",2007,"September","ANM09170720","All",2,100.769953991657,0.25,"sq_km",1015.8,"HnL","1"
"26",2007,"September","ANM09200712","All",9,2334.66983825217,0.25,"sq_km",246.2,"HnL","1"
"27",2007,"September","ANM09200715","All",5,1767.21286631631,0.25,"sq_km",327.4,"HnL","1"
"28",2007,"September","ANR09180703","All",2,1354.91786845501,0.25,"sq_km",11680.5,"HnL","0"
"29",2007,"September","ANR09180709","All",10,3790.52260812177,0.25,"sq_km",3910.2,"HnL","0"
"30",2007,"September","ANR09180710","All",21,2778.70098274865,0.25,"sq_km",3500.7,"HnL","0"
"31",2007,"September","ANR09180711","All",2,413.915739107443,0.25,"sq_km",3227.8,"HnL","0"
