"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"2",2010,"September","AN",33,"cm","Unknown","Gear is HnL",1,1
"3",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"4",2010,"September","AN",18,"cm","Unknown","Gear is HnL",1,1
"5",2010,"September","AN",13,"cm","Unknown","Gear is HnL",1,1
"6",2010,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"7",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"8",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"9",2010,"September","AN",34,"cm","Unknown","Gear is HnL",1,1
"10",2010,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"11",2010,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"12",2010,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"13",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"14",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"15",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"16",2010,"September","AN",33,"cm","Unknown","Gear is HnL",1,1
"17",2009,"July","AN",24,"cm","Unknown","Gear is HnL",1,1
"18",2007,"October","AN",23,"cm","Unknown","Gear is HnL",1,1
"19",2008,"August","AN",19,"cm","Unknown","Gear is HnL",1,1
"20",2008,"August","AN",24,"cm","Unknown","Gear is HnL",1,1
"21",2008,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"22",2008,"August","AN",23,"cm","Unknown","Gear is HnL",1,1
"23",2008,"August","AN",34,"cm","Unknown","Gear is HnL",1,1
"24",2008,"August","AN",22,"cm","Unknown","Gear is HnL",1,1
"25",2008,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"26",2008,"August","AN",36,"cm","Unknown","Gear is HnL",1,1
"27",2008,"August","AN",34,"cm","Unknown","Gear is HnL",1,1
"28",2008,"August","AN",33,"cm","Unknown","Gear is HnL",0,1
"29",2008,"August","AN",22,"cm","Unknown","Gear is HnL",0,1
"30",2008,"August","AN",23,"cm","Unknown","Gear is HnL",0,1
"31",2009,"August","AN",20,"cm","Unknown","Gear is HnL",1,1
"32",2009,"August","AN",16,"cm","Unknown","Gear is HnL",1,1
"33",2009,"August","AN",24,"cm","Unknown","Gear is HnL",1,1
"34",2007,"October","AN",29,"cm","Unknown","Gear is HnL",1,1
"35",2007,"October","AN",20,"cm","Unknown","Gear is HnL",1,1
"36",2007,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"37",2007,"September","AN",19,"cm","Unknown","Gear is HnL",0,1
"38",2007,"September","AN",16,"cm","Unknown","Gear is HnL",0,1
"39",2007,"September","AN",16,"cm","Unknown","Gear is HnL",0,1
"40",2007,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"41",2007,"September","AN",18,"cm","Unknown","Gear is HnL",0,1
"42",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"43",2010,"August","AN",19,"cm","Unknown","Gear is HnL",1,1
"44",2007,"September","AN",15,"cm","Unknown","Gear is HnL",1,1
"45",2007,"September","AN",15,"cm","Unknown","Gear is HnL",1,1
"46",2007,"September","AN",20,"cm","Unknown","Gear is HnL",1,1
"47",2007,"September","AN",17,"cm","Unknown","Gear is HnL",1,1
"48",2007,"October","AN",35,"cm","Unknown","Gear is HnL",0,1
"49",2007,"October","AN",29,"cm","Unknown","Gear is HnL",0,1
"50",2007,"October","AN",19,"cm","Unknown","Gear is HnL",0,1
"51",2007,"October","AN",21,"cm","Unknown","Gear is HnL",0,1
"52",2007,"October","AN",27,"cm","Unknown","Gear is HnL",0,1
"53",2007,"October","AN",25,"cm","Unknown","Gear is HnL",0,1
"54",2007,"October","AN",21,"cm","Unknown","Gear is HnL",0,1
"55",2007,"October","AN",30,"cm","Unknown","Gear is HnL",0,1
"56",2007,"October","AN",19,"cm","Unknown","Gear is HnL",0,1
"57",2007,"October","AN",27,"cm","Unknown","Gear is HnL",0,1
"58",2007,"October","AN",23,"cm","Unknown","Gear is HnL",0,1
"59",2007,"October","AN",18,"cm","Unknown","Gear is HnL",0,1
"60",2007,"September","AN",18,"cm","Unknown","Gear is HnL",1,1
"61",2007,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"62",2007,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"63",2007,"September","AN",35,"cm","Unknown","Gear is HnL",1,1
"64",2007,"September","AN",17,"cm","Unknown","Gear is HnL",1,1
"65",2007,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"66",2007,"September","AN",22,"cm","Unknown","Gear is HnL",1,1
"67",2007,"September","AN",38,"cm","Unknown","Gear is HnL",1,1
"68",2007,"September","AN",32,"cm","Unknown","Gear is HnL",1,1
"69",2007,"September","AN",19,"cm","Unknown","Gear is HnL",1,1
"70",2007,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"71",2007,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"72",2007,"September","AN",19,"cm","Unknown","Gear is HnL",1,1
"73",2007,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"74",2007,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"75",2007,"September","AN",19,"cm","Unknown","Gear is HnL",1,1
"76",2009,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"77",2009,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"78",2009,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
