"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",1256,315509.934652173
"2","2007","MPA",344,109749.564302712
"3","2008","Fished",964,255222.368663202
"4","2008","MPA",1456,466462.761412011
"5","2009","Fished",1224,294395.360217329
"6","2009","MPA",804,226194.579997211
"7","2010","Fished",680,182388.55943071
"8","2010","MPA",608,163153.40859302
"9","2011","Fished",192,63425.7140879829
"10","2011","MPA",240,72106.8984014535
"11","2012","Fished",80,25116.3742925469
"12","2012","MPA",316,107608.936170118
"13","2013","Fished",980,267627.52097182
"14","2013","MPA",448,157036.05070324
