"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",7,2654.02608993259,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANM08200719","All",7,2635.18264239182,0.25,"sq_km",1552,"HnL","1"
"3",2007,"August","ANM08200721","All",1,288.426427435869,0.25,"sq_km",1376.3,"HnL","1"
"4",2007,"August","ANM08230717","All",4,1561.52020435141,0.25,"sq_km",1371.5,"HnL","1"
"5",2007,"August","ANM08230722","All",9,2757.52154010002,0.25,"sq_km",1925.7,"HnL","1"
"6",2007,"August","ANR08210702","All",4,1395.82916050013,0.25,"sq_km",12250.5,"HnL","0"
"7",2007,"August","ANR08210704","All",1,407.817671109223,0.25,"sq_km",10943,"HnL","0"
"8",2007,"August","ANR08210705","All",7,2781.43860852881,0.25,"sq_km",9890.5,"HnL","0"
"9",2007,"August","ANR08210709","All",17,5208.64481795193,0.25,"sq_km",3910.2,"HnL","0"
"10",2007,"August","ANR08240703","All",3,1170.81516950113,0.25,"sq_km",11680.5,"HnL","0"
"11",2007,"August","ANR08240704","All",8,2910.64822771915,0.25,"sq_km",10943,"HnL","0"
"12",2007,"August","ANR08240708","All",7,2453.4581924853,0.25,"sq_km",6550.3,"HnL","0"
"13",2007,"August","ANR08240711","All",6,2777.95738093409,0.25,"sq_km",3227.8,"HnL","0"
"14",2007,"October","ANM10090716","All",1,223.753403258216,0.25,"sq_km",853.2,"HnL","1"
"15",2007,"October","ANM10090717","All",4,1598.20012583075,0.25,"sq_km",1371.5,"HnL","1"
"16",2007,"October","ANM10090718","All",3,1042.72970888661,0.25,"sq_km",1655.6,"HnL","1"
"17",2007,"October","ANR10080707","All",3,1329.95889860052,0.25,"sq_km",7427.6,"HnL","0"
"18",2007,"October","ANR10080708","All",4,1673.90366795843,0.25,"sq_km",6550.3,"HnL","0"
"19",2007,"October","ANR10080710","All",3,978.391610692325,0.25,"sq_km",3500.7,"HnL","0"
"20",2007,"October","ANR10110702","All",1,407.817671109223,0.25,"sq_km",12250.5,"HnL","0"
"21",2007,"October","ANR10110705","All",1,454.117471287148,0.25,"sq_km",9890.5,"HnL","0"
"22",2007,"October","ANR10110706","All",4,1425.96176722759,0.25,"sq_km",7994.8,"HnL","0"
"23",2007,"October","ANR10110711","All",1,454.117471287148,0.25,"sq_km",3227.8,"HnL","0"
"24",2007,"September","ANM09170713","All",2,828.99999689692,0.25,"sq_km",327.6,"HnL","1"
"25",2007,"September","ANM09170716","All",3,1163.28040889836,0.25,"sq_km",853.2,"HnL","1"
"26",2007,"September","ANM09170721","All",1,454.117471287148,0.25,"sq_km",1376.3,"HnL","1"
"27",2007,"September","ANM09200712","All",5,2255.57961932366,0.25,"sq_km",246.2,"HnL","1"
"28",2007,"September","ANM09200715","All",5,1183.30888576151,0.25,"sq_km",327.4,"HnL","1"
"29",2007,"September","ANR09180709","All",5,2336.24404651414,0.25,"sq_km",3910.2,"HnL","0"
"30",2007,"September","ANR09180710","All",5,1370.18071948259,0.25,"sq_km",3500.7,"HnL","0"
"31",2007,"September","ANR09180711","All",3,1094.57650302374,0.25,"sq_km",3227.8,"HnL","0"
"32",2007,"September","ANR09200704","All",1,407.817671109223,0.25,"sq_km",10943,"HnL","0"
"33",2007,"September","ANR09200708","All",1,288.426427435869,0.25,"sq_km",6550.3,"HnL","0"
"34",2008,"August","ANM08120813","All",18,7151.78404742133,0.25,"sq_km",327.6,"HnL","1"
"35",2008,"August","ANM08120814","All",6,2403.21511950909,0.25,"sq_km",327.5,"HnL","1"
"36",2008,"August","ANM08120815","All",2,613.532776351077,0.25,"sq_km",327.4,"HnL","1"
"37",2008,"August","ANM08120817","All",19,6875.18573854165,0.25,"sq_km",1371.5,"HnL","1"
"38",2008,"August","ANM08140812","All",6,2082.18665546018,0.25,"sq_km",246.2,"HnL","1"
"39",2008,"August","ANM08140817","All",16,5374.73309648525,0.25,"sq_km",1371.5,"HnL","1"
"40",2008,"August","ANM08140818","All",27,11306.4622670251,0.25,"sq_km",1655.6,"HnL","1"
"41",2008,"August","ANM08140821","All",16,5306.253111416,0.25,"sq_km",1376.3,"HnL","1"
"42",2008,"August","ANR08110805","All",2,1061.17604113176,0.25,"sq_km",9890.5,"HnL","0"
"43",2008,"August","ANR08110806","All",2,828.99999689692,0.25,"sq_km",7994.8,"HnL","0"
"44",2008,"August","ANR08110807","All",8,3156.37936677221,0.25,"sq_km",7427.6,"HnL","0"
"45",2008,"August","ANR08110810","All",5,1186.11645163158,0.25,"sq_km",3500.7,"HnL","0"
"46",2008,"August","ANR08130803","All",8,3235.41899213248,0.25,"sq_km",11680.5,"HnL","0"
"47",2008,"August","ANR08130807","All",4,1505.6005254749,0.25,"sq_km",7427.6,"HnL","0"
"48",2008,"August","ANR08130810","All",21,6250.86673460618,0.25,"sq_km",3500.7,"HnL","0"
"49",2008,"August","ANR08130811","All",12,4612.4564078853,0.25,"sq_km",3227.8,"HnL","0"
"50",2008,"July","ANM07150814","All",12,5117.15875066901,0.25,"sq_km",327.5,"HnL","1"
"51",2008,"July","ANM07150815","All",12,4396.8111998643,0.25,"sq_km",327.4,"HnL","1"
"52",2008,"July","ANM07150820","All",4,1515.22040417349,0.25,"sq_km",1015.8,"HnL","1"
"53",2008,"July","ANM07150822","All",7,2552.60673330449,0.25,"sq_km",1925.7,"HnL","1"
"54",2008,"July","ANM07170814","All",2,772.676505450471,0.25,"sq_km",327.5,"HnL","1"
"55",2008,"July","ANM07170815","All",5,1880.07923851474,0.25,"sq_km",327.4,"HnL","1"
"56",2008,"July","ANM07170818","All",9,4425.32091205683,0.25,"sq_km",1655.6,"HnL","1"
"57",2008,"July","ANM07170820","All",1,364.858834341248,0.25,"sq_km",1015.8,"HnL","1"
"58",2008,"July","ANR07140801","All",12,4476.18323322516,0.25,"sq_km",12767.1,"HnL","0"
"59",2008,"July","ANR07140802","All",4,1634.61164784684,0.25,"sq_km",12250.5,"HnL","0"
"60",2008,"July","ANR07140805","All",8,3514.35777747516,0.25,"sq_km",9890.5,"HnL","0"
"61",2008,"July","ANR07140810","All",15,6084.53681131437,0.25,"sq_km",3500.7,"HnL","0"
"62",2008,"July","ANR07160802","All",2,861.935142396371,0.25,"sq_km",12250.5,"HnL","0"
"63",2008,"July","ANR07160804","All",3,1393.64447692729,0.25,"sq_km",10943,"HnL","0"
"64",2008,"July","ANR07160805","All",2,1022.23832783416,0.25,"sq_km",9890.5,"HnL","0"
"65",2008,"July","ANR07160806","All",4,1876.81138335021,0.25,"sq_km",7994.8,"HnL","0"
"66",2008,"September","ANM09220814","All",11,4098.49486855514,0.25,"sq_km",327.5,"HnL","1"
"67",2008,"September","ANM09220817","All",12,4221.51305050246,0.25,"sq_km",1371.5,"HnL","1"
"68",2008,"September","ANM09220818","All",21,9553.24248045533,0.25,"sq_km",1655.6,"HnL","1"
"69",2008,"September","ANM09220822","All",11,4167.57481118422,0.25,"sq_km",1925.7,"HnL","1"
"70",2008,"September","ANM09240812","All",5,2184.80509600648,0.25,"sq_km",246.2,"HnL","1"
"71",2008,"September","ANM09240816","All",3,885.462268523726,0.25,"sq_km",853.2,"HnL","1"
"72",2008,"September","ANM09240818","All",6,2599.71171210611,0.25,"sq_km",1655.6,"HnL","1"
"73",2008,"September","ANM09240821","All",3,1015.07153217166,0.25,"sq_km",1376.3,"HnL","1"
"74",2008,"September","ANR09230802","All",4,1591.65281107887,0.25,"sq_km",12250.5,"HnL","0"
"75",2008,"September","ANR09230805","All",1,454.117471287148,0.25,"sq_km",9890.5,"HnL","0"
"76",2008,"September","ANR09230810","All",7,2598.90653348242,0.25,"sq_km",3500.7,"HnL","0"
"77",2008,"September","ANR09230811","All",10,4768.09198948374,0.25,"sq_km",3227.8,"HnL","0"
"78",2008,"September","ANR09250807","All",4,1386.20928180155,0.25,"sq_km",7427.6,"HnL","0"
"79",2008,"September","ANR09250808","All",3,1269.75281350559,0.25,"sq_km",6550.3,"HnL","0"
"80",2008,"September","ANR09250809","All",4,1690.51765910854,0.25,"sq_km",3910.2,"HnL","0"
"81",2008,"September","ANR09250811","All",12,5437.60357307131,0.25,"sq_km",3227.8,"HnL","0"
