"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2010,"September","AN",26,"cm","Unknown","Gear is HnL",1,1
"2",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"3",2010,"September","AN",22,"cm","Unknown","Gear is HnL",1,1
"4",2010,"September","AN",26,"cm","Unknown","Gear is HnL",1,1
"5",2010,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"6",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"7",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"8",2010,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"9",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"10",2010,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"11",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"12",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"13",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"14",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"15",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"16",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"17",2010,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"18",2010,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"19",2010,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"20",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"21",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"22",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"23",2009,"July","AN",27,"cm","Unknown","Gear is HnL",1,1
"24",2009,"July","AN",30,"cm","Unknown","Gear is HnL",1,1
"25",2007,"October","AN",30,"cm","Unknown","Gear is HnL",1,1
"26",2007,"October","AN",28,"cm","Unknown","Gear is HnL",1,1
"27",2007,"October","AN",24,"cm","Unknown","Gear is HnL",1,1
"28",2007,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"29",2008,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"30",2008,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"31",2008,"August","AN",26,"cm","Unknown","Gear is HnL",0,1
"32",2008,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"33",2008,"August","AN",24,"cm","Unknown","Gear is HnL",0,1
"34",2008,"August","AN",23,"cm","Unknown","Gear is HnL",0,1
"35",2008,"August","AN",24,"cm","Unknown","Gear is HnL",0,1
"36",2012,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"37",2012,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"38",2012,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"39",2009,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"40",2009,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"41",2009,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"42",2009,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"43",2009,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"44",2009,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"45",2009,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"46",2009,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"47",2009,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"48",2007,"October","AN",24,"cm","Unknown","Gear is HnL",1,1
"49",2007,"September","AN",26,"cm","Unknown","Gear is HnL",0,1
"50",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"51",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"52",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"53",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"54",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"55",2010,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"56",2010,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"57",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"58",2010,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"59",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"60",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"61",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"62",2007,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"63",2007,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"64",2007,"September","AN",33,"cm","Unknown","Gear is HnL",1,1
"65",2007,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"66",2007,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"67",2007,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"68",2007,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"69",2007,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"70",2007,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"71",2007,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"72",2009,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
"73",2009,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
"74",2009,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"75",2009,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"76",2009,"August","AN",28,"cm","Unknown","Gear is HnL",0,1
"77",2011,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"78",2011,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"79",2011,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"80",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"81",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"82",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"83",2007,"October","AN",29,"cm","Unknown","Gear is HnL",0,1
"84",2008,"July","AN",28,"cm","Unknown","Gear is HnL",1,1
"85",2008,"July","AN",29,"cm","Unknown","Gear is HnL",1,1
"86",2009,"July","AN",28,"cm","Unknown","Gear is HnL",1,1
"87",2008,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"88",2008,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"89",2008,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"90",2008,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"91",2008,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"92",2008,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"93",2008,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"94",2008,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"95",2008,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"96",2008,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"97",2008,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"98",2007,"October","AN",28,"cm","Unknown","Gear is HnL",0,1
"99",2007,"October","AN",29,"cm","Unknown","Gear is HnL",0,1
"100",2007,"October","AN",28,"cm","Unknown","Gear is HnL",0,1
"101",2007,"October","AN",26,"cm","Unknown","Gear is HnL",0,1
"102",2007,"September","AN",29,"cm","Unknown","Gear is HnL",0,1
"103",2009,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"104",2009,"August","AN",31,"cm","Unknown","Gear is HnL",0,1
"105",2011,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"106",2011,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"107",2011,"September","AN",30,"cm","Unknown","Gear is HnL",0,1
"108",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"109",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"110",2011,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"111",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"112",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"113",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"114",2007,"October","AN",32,"cm","Unknown","Gear is HnL",0,1
"115",2007,"October","AN",29,"cm","Unknown","Gear is HnL",0,1
"116",2007,"October","AN",28,"cm","Unknown","Gear is HnL",0,1
"117",2007,"October","AN",30,"cm","Unknown","Gear is HnL",0,1
"118",2007,"October","AN",29,"cm","Unknown","Gear is HnL",0,1
"119",2007,"October","AN",25,"cm","Unknown","Gear is HnL",0,1
"120",2007,"October","AN",30,"cm","Unknown","Gear is HnL",0,1
"121",2007,"October","AN",32,"cm","Unknown","Gear is HnL",0,1
"122",2007,"October","AN",27,"cm","Unknown","Gear is HnL",0,1
"123",2007,"October","AN",28,"cm","Unknown","Gear is HnL",0,1
"124",2007,"October","AN",26,"cm","Unknown","Gear is HnL",0,1
"125",2007,"September","AN",24,"cm","Unknown","Gear is HnL",0,1
"126",2007,"September","AN",25,"cm","Unknown","Gear is HnL",0,1
"127",2007,"September","AN",23,"cm","Unknown","Gear is HnL",0,1
"128",2007,"September","AN",29,"cm","Unknown","Gear is HnL",0,1
"129",2007,"September","AN",26,"cm","Unknown","Gear is HnL",0,1
"130",2009,"August","AN",24,"cm","Unknown","Gear is HnL",0,1
"131",2009,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"132",2007,"September","AN",26,"cm","Unknown","Gear is HnL",0,1
"133",2007,"September","AN",33,"cm","Unknown","Gear is HnL",0,1
"134",2007,"September","AN",33,"cm","Unknown","Gear is HnL",0,1
"135",2007,"September","AN",30,"cm","Unknown","Gear is HnL",0,1
"136",2007,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"137",2007,"October","AN",30,"cm","Unknown","Gear is HnL",0,1
"138",2011,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"139",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"140",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"141",2011,"August","AN",24,"cm","Unknown","Gear is HnL",1,1
"142",2011,"August","AN",32,"cm","Unknown","Gear is HnL",1,1
"143",2011,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"144",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"145",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"146",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"147",2011,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"148",2010,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
"149",2010,"August","AN",26,"cm","Unknown","Gear is HnL",0,1
"150",2010,"August","AN",27,"cm","Unknown","Gear is HnL",0,1
"151",2010,"August","AN",28,"cm","Unknown","Gear is HnL",0,1
"152",2010,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"153",2007,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"154",2007,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"155",2007,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"156",2007,"September","AN",33,"cm","Unknown","Gear is HnL",1,1
"157",2007,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"158",2007,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"159",2007,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"160",2007,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"161",2011,"October","AN",28,"cm","Unknown","Gear is HnL",1,1
"162",2011,"October","AN",26,"cm","Unknown","Gear is HnL",1,1
"163",2011,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"164",2011,"October","AN",29,"cm","Unknown","Gear is HnL",1,1
"165",2011,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"166",2011,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"167",2011,"October","AN",28,"cm","Unknown","Gear is HnL",1,1
"168",2011,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"169",2011,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"170",2011,"October","AN",29,"cm","Unknown","Gear is HnL",1,1
"171",2011,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"172",2011,"August","AN",25,"cm","Unknown","Gear is HnL",1,1
"173",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"174",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"175",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"176",2011,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"177",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"178",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"179",2011,"August","AN",24,"cm","Unknown","Gear is HnL",1,1
"180",2011,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"181",2011,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"182",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"183",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"184",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"185",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"186",2011,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"187",2011,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"188",2011,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"189",2011,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"190",2011,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"191",2011,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"192",2011,"August","AN",32,"cm","Unknown","Gear is HnL",1,1
"193",2012,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"194",2012,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"195",2012,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"196",2012,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"197",2012,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"198",2012,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"199",2012,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"200",2012,"September","AN",21,"cm","Unknown","Gear is HnL",1,1
"201",2012,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"202",2012,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"203",2013,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"204",2012,"September","AN",27,"cm","Unknown","Gear is HnL",0,1
"205",2012,"September","AN",28,"cm","Unknown","Gear is HnL",0,1
"206",2012,"September","AN",24,"cm","Unknown","Gear is HnL",0,1
"207",2012,"September","AN",25,"cm","Unknown","Gear is HnL",0,1
"208",2012,"September","AN",25,"cm","Unknown","Gear is HnL",0,1
"209",2012,"September","AN",26,"cm","Unknown","Gear is HnL",0,1
"210",2012,"September","AN",23,"cm","Unknown","Gear is HnL",0,1
"211",2012,"September","AN",25,"cm","Unknown","Gear is HnL",0,1
"212",2012,"September","AN",26,"cm","Unknown","Gear is HnL",0,1
"213",2012,"September","AN",23,"cm","Unknown","Gear is HnL",0,1
"214",2007,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"215",2007,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"216",2007,"August","AN",24,"cm","Unknown","Gear is HnL",1,1
"217",2007,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"218",2007,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"219",2007,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"220",2007,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"221",2012,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"222",2012,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"223",2012,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"224",2008,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"225",2008,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"226",2008,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"227",2011,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"228",2011,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"229",2011,"August","AN",31,"cm","Unknown","Gear is HnL",0,1
"230",2011,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
"231",2011,"August","AN",32,"cm","Unknown","Gear is HnL",0,1
"232",2007,"October","AN",28,"cm","Unknown","Gear is HnL",1,1
"233",2007,"October","AN",30,"cm","Unknown","Gear is HnL",1,1
"234",2007,"October","AN",30,"cm","Unknown","Gear is HnL",1,1
"235",2007,"October","AN",27,"cm","Unknown","Gear is HnL",1,1
"236",2007,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"237",2007,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"238",2007,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"239",2007,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"240",2010,"September","AN",31,"cm","Unknown","Gear is HnL",0,1
"241",2010,"September","AN",30,"cm","Unknown","Gear is HnL",0,1
"242",2010,"September","AN",30,"cm","Unknown","Gear is HnL",0,1
"243",2010,"September","AN",26,"cm","Unknown","Gear is HnL",0,1
"244",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"245",2007,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"246",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"247",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"248",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"249",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"250",2010,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"251",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"252",2010,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"253",2010,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"254",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"255",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"256",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"257",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"258",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"259",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"260",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"261",2010,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"262",2010,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"263",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"264",2010,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"265",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"266",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"267",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"268",2010,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"269",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"270",2010,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"271",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"272",2010,"August","AN",25,"cm","Unknown","Gear is HnL",1,1
"273",2010,"August","AN",24,"cm","Unknown","Gear is HnL",1,1
"274",2010,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"275",2010,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"276",2011,"September","AN",29,"cm","Unknown","Gear is HnL",0,1
"277",2011,"September","AN",31,"cm","Unknown","Gear is HnL",0,1
"278",2011,"September","AN",31,"cm","Unknown","Gear is HnL",0,1
"279",2007,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
"280",2007,"August","AN",31,"cm","Unknown","Gear is HnL",0,1
"281",2007,"August","AN",31,"cm","Unknown","Gear is HnL",0,1
"282",2007,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"283",2007,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"284",2007,"August","AN",30,"cm","Unknown","Gear is HnL",0,1
"285",2010,"August","AN",31,"cm","Unknown","Gear is HnL",0,1
"286",2010,"August","AN",31,"cm","Unknown","Gear is HnL",0,1
"287",2010,"August","AN",29,"cm","Unknown","Gear is HnL",0,1
"288",2010,"August","AN",28,"cm","Unknown","Gear is HnL",0,1
"289",2010,"August","AN",27,"cm","Unknown","Gear is HnL",0,1
