"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",340,125312.492617831
"2","2007","MPA",208,74586.5860974196
"3","2008","Fished",628,247592.74179888
"4","2008","MPA",936,363455.844840357
"5","2009","Fished",472,189673.183896864
"6","2009","MPA",776,274923.694376198
"7","2010","Fished",588,210234.507937691
"8","2010","MPA",1204,449641.459031199
"9","2011","Fished",344,131563.145517872
"10","2011","MPA",700,268740.253650804
"11","2012","Fished",608,236459.846456402
"12","2012","MPA",1112,443377.185812886
"13","2013","Fished",56,17883.2704491216
"14","2013","MPA",432,197721.143973826
