"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",1,3880.45071424913,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANM08200719","All",5,23338.42418665,0.25,"sq_km",1552,"HnL","1"
"3",2007,"August","ANM08200721","All",1,61.8312712775827,0.25,"sq_km",1376.3,"HnL","1"
"4",2007,"August","ANM08230717","All",1,3288.45582764763,0.25,"sq_km",1371.5,"HnL","1"
"5",2007,"August","ANM08230722","All",2,9854.66325699155,0.25,"sq_km",1925.7,"HnL","1"
"6",2007,"August","ANR08210705","All",2,17394.2573036693,0.25,"sq_km",9890.5,"HnL","0"
"7",2007,"August","ANR08210709","All",3,7797.95008822178,0.25,"sq_km",3910.2,"HnL","0"
"8",2007,"August","ANR08240704","All",2,12399.7429406332,0.25,"sq_km",10943,"HnL","0"
"9",2007,"August","ANR08240708","All",1,4778.01835470496,0.25,"sq_km",6550.3,"HnL","0"
"10",2007,"October","ANR10080710","All",1,3105.7753732482,0.25,"sq_km",3500.7,"HnL","0"
"11",2007,"September","ANM09170721","All",1,2599.5740732482,0.25,"sq_km",1376.3,"HnL","1"
"12",2007,"September","ANR09180709","All",1,4092.9398011893,0.25,"sq_km",3910.2,"HnL","0"
"13",2008,"August","ANM08120813","All",1,5808.29766455918,0.25,"sq_km",327.6,"HnL","1"
"14",2008,"August","ANM08120814","All",2,12705.650589808,0.25,"sq_km",327.5,"HnL","1"
"15",2008,"August","ANM08120815","All",1,5022.76047860661,0.25,"sq_km",327.4,"HnL","1"
"16",2008,"August","ANM08120817","All",1,3675.64183994104,0.25,"sq_km",1371.5,"HnL","1"
"17",2008,"August","ANM08140812","All",1,3880.45071424913,0.25,"sq_km",246.2,"HnL","1"
"18",2008,"August","ANM08140817","All",2,9800.77883331157,0.25,"sq_km",1371.5,"HnL","1"
"19",2008,"August","ANM08140818","All",2,14200.9842053885,0.25,"sq_km",1655.6,"HnL","1"
"20",2008,"August","ANM08140821","All",1,5022.76047860661,0.25,"sq_km",1376.3,"HnL","1"
"21",2008,"August","ANR08110810","All",1,7297.90607381717,0.25,"sq_km",3500.7,"HnL","0"
"22",2008,"August","ANR08130803","All",1,9795.18684057387,0.25,"sq_km",11680.5,"HnL","0"
"23",2008,"August","ANR08130810","All",1,4778.01835470496,0.25,"sq_km",3500.7,"HnL","0"
"24",2008,"July","ANM07150814","All",1,9795.18684057387,0.25,"sq_km",327.5,"HnL","1"
"25",2008,"July","ANM07150815","All",3,9595.17388641402,0.25,"sq_km",327.4,"HnL","1"
"26",2008,"July","ANM07150822","All",2,7198.7151744375,0.25,"sq_km",1925.7,"HnL","1"
"27",2008,"July","ANM07170814","All",1,7297.90607381717,0.25,"sq_km",327.5,"HnL","1"
"28",2008,"July","ANM07170818","All",1,4778.01835470496,0.25,"sq_km",1655.6,"HnL","1"
"29",2008,"July","ANR07140801","All",1,4313.26188372734,0.25,"sq_km",12767.1,"HnL","0"
"30",2008,"July","ANR07140805","All",1,6981.21596248015,0.25,"sq_km",9890.5,"HnL","0"
"31",2008,"July","ANR07160802","All",1,1643.34854483825,0.25,"sq_km",12250.5,"HnL","0"
"32",2008,"July","ANR07160805","All",1,12355.3889962905,0.25,"sq_km",9890.5,"HnL","0"
"33",2008,"July","ANR07160806","All",3,24003.0834828752,0.25,"sq_km",7994.8,"HnL","0"
