"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2010,"September","AN",59,"cm","Unknown","Gear is HnL",1,1
"2",2010,"September","AN",75,"cm","Unknown","Gear is HnL",1,1
"3",2010,"September","AN",68,"cm","Unknown","Gear is HnL",1,1
"4",2010,"September","AN",58,"cm","Unknown","Gear is HnL",1,1
"5",2007,"September","AN",52,"cm","Unknown","Gear is HnL",1,1
"6",2008,"August","AN",64,"cm","Unknown","Gear is HnL",1,1
"7",2008,"August","AN",72,"cm","Unknown","Gear is HnL",0,1
"8",2012,"August","AN",42,"cm","Unknown","Gear is HnL",1,1
"9",2012,"August","AN",53,"cm","Unknown","Gear is HnL",1,1
"10",2010,"August","AN",48,"cm","Unknown","Gear is HnL",1,1
"11",2010,"August","AN",56,"cm","Unknown","Gear is HnL",1,1
"12",2010,"August","AN",44,"cm","Unknown","Gear is HnL",1,1
"13",2011,"August","AN",62,"cm","Unknown","Gear is HnL",1,1
"14",2008,"July","AN",72,"cm","Unknown","Gear is HnL",1,1
"15",2011,"September","AN",34,"cm","Unknown","Gear is HnL",0,1
"16",2011,"September","AN",43,"cm","Unknown","Gear is HnL",0,1
"17",2011,"August","AN",48,"cm","Unknown","Gear is HnL",1,1
"18",2011,"August","AN",55,"cm","Unknown","Gear is HnL",1,1
"19",2011,"August","AN",43,"cm","Unknown","Gear is HnL",1,1
"20",2007,"October","AN",55,"cm","Unknown","Gear is HnL",0,1
"21",2009,"August","AN",46,"cm","Unknown","Gear is HnL",0,1
"22",2007,"September","AN",60,"cm","Unknown","Gear is HnL",0,1
"23",2011,"October","AN",53,"cm","Unknown","Gear is HnL",1,1
"24",2011,"August","AN",49,"cm","Unknown","Gear is HnL",1,1
"25",2011,"August","AN",45,"cm","Unknown","Gear is HnL",1,1
"26",2011,"August","AN",46,"cm","Unknown","Gear is HnL",1,1
"27",2011,"August","AN",46,"cm","Unknown","Gear is HnL",1,1
"28",2011,"August","AN",54,"cm","Unknown","Gear is HnL",1,1
"29",2013,"August","AN",63,"cm","Unknown","Gear is HnL",0,1
"30",2013,"August","AN",72,"cm","Unknown","Gear is HnL",0,1
"31",2013,"August","AN",64,"cm","Unknown","Gear is HnL",0,1
"32",2013,"August","AN",69,"cm","Unknown","Gear is HnL",0,1
"33",2013,"August","AN",63,"cm","Unknown","Gear is HnL",0,1
"34",2013,"August","AN",81,"cm","Unknown","Gear is HnL",0,1
"35",2013,"August","AN",47,"cm","Unknown","Gear is HnL",0,1
"36",2012,"September","AN",55,"cm","Unknown","Gear is HnL",1,1
"37",2012,"September","AN",56,"cm","Unknown","Gear is HnL",1,1
"38",2012,"September","AN",55,"cm","Unknown","Gear is HnL",1,1
"39",2012,"September","AN",56,"cm","Unknown","Gear is HnL",1,1
"40",2013,"August","AN",71,"cm","Unknown","Gear is HnL",1,1
"41",2013,"August","AN",33,"cm","Unknown","Gear is HnL",1,1
"42",2007,"August","AN",59,"cm","Unknown","Gear is HnL",1,1
"43",2012,"August","AN",72,"cm","Unknown","Gear is HnL",0,1
"44",2012,"August","AN",39,"cm","Unknown","Gear is HnL",0,1
"45",2012,"August","AN",50,"cm","Unknown","Gear is HnL",0,1
"46",2008,"September","AN",37,"cm","Unknown","Gear is HnL",1,1
"47",2008,"September","AN",51,"cm","Unknown","Gear is HnL",1,1
"48",2007,"August","AN",56,"cm","Unknown","Gear is HnL",1,1
"49",2010,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
