"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",40,198274.735446667
"2","2007","MPA",44,172093.597320257
"3","2008","Fished",56,424549.531225297
"4","2008","MPA",132,590856.309146202
"5","2009","Fished",76,236824.183196735
"6","2009","MPA",84,313155.783819043
"7","2010","Fished",76,213007.826025727
"8","2010","MPA",184,694526.969684883
"9","2011","Fished",88,164844.324222978
"10","2011","MPA",196,617311.766997323
"11","2012","Fished",232,907217.401778619
"12","2012","MPA",496,1762640.44703618
"13","2013","Fished",140,696675.917820378
"14","2013","MPA",492,2145753.81762249
