"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",3,1728.98544302504,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANM08230717","All",29,18997.5075814594,0.25,"sq_km",1371.5,"HnL","1"
"3",2007,"August","ANM08230722","All",8,4681.69785548911,0.25,"sq_km",1925.7,"HnL","1"
"4",2007,"August","ANR08210702","All",41,17997.7264289953,0.25,"sq_km",12250.5,"HnL","0"
"5",2007,"August","ANR08210704","All",21,12281.5367089467,0.25,"sq_km",10943,"HnL","0"
"6",2007,"August","ANR08210705","All",52,20345.3185745982,0.25,"sq_km",9890.5,"HnL","0"
"7",2007,"August","ANR08210709","All",20,11356.3355944881,0.25,"sq_km",3910.2,"HnL","0"
"8",2007,"August","ANR08240703","All",43,18559.7372412799,0.25,"sq_km",11680.5,"HnL","0"
"9",2007,"August","ANR08240704","All",28,12439.7097051978,0.25,"sq_km",10943,"HnL","0"
"10",2007,"August","ANR08240708","All",57,29150.1005297969,0.25,"sq_km",6550.3,"HnL","0"
"11",2007,"August","ANR08240711","All",21,11262.9178621836,0.25,"sq_km",3227.8,"HnL","0"
"12",2007,"August","PBM08210705","All",1,325.106348915208,0.25,"sq_km",638.2,"HnL","1"
"13",2007,"August","PBM08210709","All",2,828.99999689692,0.25,"sq_km",586.3,"HnL","1"
"14",2007,"August","PBM08280702","All",1,288.426427435869,0.25,"sq_km",251.5,"HnL","1"
"15",2007,"August","PBM08280704","All",1,364.858834341248,0.25,"sq_km",386.6,"HnL","1"
"16",2007,"August","PBM08280711","All",9,4326.01366396805,0.25,"sq_km",249.8,"HnL","1"
"17",2007,"August","PBR08220713","All",1,557.28239315005,0.25,"sq_km",3186.7,"HnL","0"
"18",2007,"August","PBR08220720","All",2,861.935142396371,0.25,"sq_km",1452.9,"HnL","0"
"19",2007,"August","PBR08270714","All",6,3476.85690461105,0.25,"sq_km",3115.8,"HnL","0"
"20",2007,"August","PBR08270716","All",8,3076.03140924923,0.25,"sq_km",2564.5,"HnL","0"
"21",2007,"August","PBR08270720","All",1,557.28239315005,0.25,"sq_km",1452.9,"HnL","0"
"22",2007,"August","PLM08070706","All",5,2916.61840390857,0.25,"sq_km",362.4,"HnL","1"
"23",2007,"August","PLM08070707","All",1,454.117471287148,0.25,"sq_km",238.8,"HnL","1"
"24",2007,"August","PLM08090708","All",3,1965.31291059869,0.25,"sq_km",340.5,"HnL","1"
"25",2007,"August","PLM08090709","All",3,1801.67325286184,0.25,"sq_km",412.1,"HnL","1"
"26",2007,"August","PLM08090713","All",2,958.01111926886,0.25,"sq_km",501.9,"HnL","1"
"27",2007,"August","PLR08060715","All",2,543.112559847878,0.25,"sq_km",1094.9,"HnL","0"
"28",2007,"August","PLR08080702","All",5,3018.85222668685,0.25,"sq_km",5687.6,"HnL","0"
"29",2007,"August","PLR08080703","All",3,1552.46573729213,0.25,"sq_km",5084.5,"HnL","0"
"30",2007,"August","PLR08080705","All",8,3198.5445848472,0.25,"sq_km",4354.3,"HnL","0"
"31",2007,"August","PLR08080714","All",13,6171.70437267085,0.25,"sq_km",584.8,"HnL","0"
"32",2007,"October","ANM10090716","All",4,2240.24117788707,0.25,"sq_km",853.2,"HnL","1"
"33",2007,"October","ANM10090717","All",15,10529.7766460709,0.25,"sq_km",1371.5,"HnL","1"
"34",2007,"October","ANM10090718","All",18,11012.2289580639,0.25,"sq_km",1655.6,"HnL","1"
"35",2007,"October","ANR10080701","All",13,6609.71678817643,0.25,"sq_km",12767.1,"HnL","0"
"36",2007,"October","ANR10080707","All",15,9248.62613124278,0.25,"sq_km",7427.6,"HnL","0"
"37",2007,"October","ANR10080708","All",16,8406.94656654075,0.25,"sq_km",6550.3,"HnL","0"
"38",2007,"October","ANR10080710","All",16,9596.23795139944,0.25,"sq_km",3500.7,"HnL","0"
"39",2007,"October","ANR10110702","All",6,2748.90482908312,0.25,"sq_km",12250.5,"HnL","0"
"40",2007,"October","ANR10110705","All",11,6167.24295482931,0.25,"sq_km",9890.5,"HnL","0"
"41",2007,"October","ANR10110706","All",1,407.817671109223,0.25,"sq_km",7994.8,"HnL","0"
"42",2007,"October","ANR10110711","All",1,254.686132412009,0.25,"sq_km",3227.8,"HnL","0"
"43",2007,"October","PBM10150703","All",2,1770.91168709206,0.25,"sq_km",881.8,"HnL","1"
"44",2007,"October","PBM10150709","All",1,407.817671109223,0.25,"sq_km",586.3,"HnL","1"
"45",2007,"October","PBM10150711","All",6,3763.23664505398,0.25,"sq_km",249.8,"HnL","1"
"46",2007,"October","PBM10240704","All",5,3064.67986910209,0.25,"sq_km",386.6,"HnL","1"
"47",2007,"October","PBM10240711","All",4,2019.58445234431,0.25,"sq_km",249.8,"HnL","1"
"48",2007,"October","PBR10160717","All",1,364.858834341248,0.25,"sq_km",2071.6,"HnL","0"
"49",2007,"October","PBR10160718","All",1,675.446126936878,0.25,"sq_km",2010,"HnL","0"
"50",2007,"October","PBR10230713","All",1,557.28239315005,0.25,"sq_km",3186.7,"HnL","0"
"51",2007,"October","PBR10230714","All",10,6301.65901308532,0.25,"sq_km",3115.8,"HnL","0"
"52",2007,"October","PBR10230717","All",2,818.976305628396,0.25,"sq_km",2071.6,"HnL","0"
"53",2007,"October","PBR10230720","All",3,1731.8542486723,0.25,"sq_km",1452.9,"HnL","0"
"54",2007,"October","PLM10220711","All",4,1647.97630252532,0.25,"sq_km",387.4,"HnL","1"
"55",2007,"October","PLM10240706","All",1,146.493782857946,0.25,"sq_km",362.4,"HnL","1"
"56",2007,"October","PLM10240708","All",1,740.497211730075,0.25,"sq_km",340.5,"HnL","1"
"57",2007,"October","PLM10240710","All",5,3390.63082679031,0.25,"sq_km",457.2,"HnL","1"
"58",2007,"October","PLR10250714","All",1,503.893647981712,0.25,"sq_km",584.8,"HnL","0"
"59",2007,"September","ANM09170713","All",3,1801.67325286184,0.25,"sq_km",327.6,"HnL","1"
"60",2007,"September","ANM09170716","All",5,3232.89149962742,0.25,"sq_km",853.2,"HnL","1"
"61",2007,"September","ANM09200712","All",8,4187.06639227744,0.25,"sq_km",246.2,"HnL","1"
"62",2007,"September","ANM09200715","All",8,4621.00848463859,0.25,"sq_km",327.4,"HnL","1"
"63",2007,"September","ANR09180703","All",10,4361.59610772583,0.25,"sq_km",11680.5,"HnL","0"
"64",2007,"September","ANR09180709","All",13,6725.93382174523,0.25,"sq_km",3910.2,"HnL","0"
"65",2007,"September","ANR09180710","All",22,11874.0844048549,0.25,"sq_km",3500.7,"HnL","0"
"66",2007,"September","ANR09180711","All",9,5628.0833124315,0.25,"sq_km",3227.8,"HnL","0"
"67",2007,"September","ANR09200704","All",3,874.231099165267,0.25,"sq_km",10943,"HnL","0"
"68",2007,"September","ANR09200708","All",6,3163.88947476615,0.25,"sq_km",6550.3,"HnL","0"
"69",2007,"September","PBM09190702","All",10,5754.41320844845,0.25,"sq_km",251.5,"HnL","1"
"70",2007,"September","PBM09190706","All",1,740.497211730075,0.25,"sq_km",817.9,"HnL","1"
"71",2007,"September","PBM09190709","All",20,8997.58502930299,0.25,"sq_km",586.3,"HnL","1"
"72",2007,"September","PBM09250701","All",2,1485.15914811788,0.25,"sq_km",252.5,"HnL","1"
"73",2007,"September","PBM09250704","All",2,1636.64479284793,0.25,"sq_km",386.6,"HnL","1"
"74",2007,"September","PBM09250708","All",1,454.117471287148,0.25,"sq_km",692.8,"HnL","1"
"75",2007,"September","PBR09180718","All",4,1919.63480701149,0.25,"sq_km",2010,"HnL","0"
"76",2007,"September","PBR09240714","All",7,4720.89982279319,0.25,"sq_km",3115.8,"HnL","0"
"77",2007,"September","PBR09240720","All",3,1150.36156983224,0.25,"sq_km",1452.9,"HnL","0"
"78",2007,"September","PLM09270708","All",10,5314.73211148975,0.25,"sq_km",340.5,"HnL","1"
"79",2007,"September","PLM09270710","All",1,675.446126936878,0.25,"sq_km",457.2,"HnL","1"
"80",2007,"September","PLR09250702","All",1,557.28239315005,0.25,"sq_km",5687.6,"HnL","0"
"81",2007,"September","PLR09250717","All",6,3063.49204823681,0.25,"sq_km",2175.9,"HnL","0"
"82",2007,"September","PLR09260715","All",6,2626.71262652688,0.25,"sq_km",1094.9,"HnL","0"
"83",2007,"September","PLR09260716","All",12,5448.20869755976,0.25,"sq_km",1609.7,"HnL","0"
"84",2007,"September","PLR09260717","All",7,3038.26139865938,0.25,"sq_km",2175.9,"HnL","0"
"85",2008,"August","ANM08120813","All",13,7754.33686751916,0.25,"sq_km",327.6,"HnL","1"
"86",2008,"August","ANM08120814","All",13,8009.65593179676,0.25,"sq_km",327.5,"HnL","1"
"87",2008,"August","ANM08120815","All",9,6058.72717881206,0.25,"sq_km",327.4,"HnL","1"
"88",2008,"August","ANM08120817","All",14,7506.46554899146,0.25,"sq_km",1371.5,"HnL","1"
"89",2008,"August","ANM08140812","All",26,15591.9194312999,0.25,"sq_km",246.2,"HnL","1"
"90",2008,"August","ANM08140817","All",28,17109.3047767391,0.25,"sq_km",1371.5,"HnL","1"
"91",2008,"August","ANM08140818","All",14,9023.73813316727,0.25,"sq_km",1655.6,"HnL","1"
"92",2008,"August","ANM08140821","All",1,557.28239315005,0.25,"sq_km",1376.3,"HnL","1"
"93",2008,"August","ANR08110805","All",1,407.817671109223,0.25,"sq_km",9890.5,"HnL","0"
"94",2008,"August","ANR08110806","All",6,3959.2238411,0.25,"sq_km",7994.8,"HnL","0"
"95",2008,"August","ANR08110807","All",21,10482.9148928944,0.25,"sq_km",7427.6,"HnL","0"
"96",2008,"August","ANR08110810","All",11,5559.18437733034,0.25,"sq_km",3500.7,"HnL","0"
"97",2008,"August","ANR08130803","All",11,5883.67530743857,0.25,"sq_km",11680.5,"HnL","0"
"98",2008,"August","ANR08130807","All",41,23472.7338187605,0.25,"sq_km",7427.6,"HnL","0"
"99",2008,"August","ANR08130810","All",24,15005.6070571697,0.25,"sq_km",3500.7,"HnL","0"
"100",2008,"August","ANR08130811","All",21,13210.3406782303,0.25,"sq_km",3227.8,"HnL","0"
"101",2008,"August","BLM08130830","All",2,1208.33969975347,0.25,"sq_km",597.5,"HnL","1"
"102",2008,"August","BLM08200830","All",2,576.852854871738,0.25,"sq_km",597.5,"HnL","1"
"103",2008,"August","PBM08180805","All",1,454.117471287148,0.25,"sq_km",638.2,"HnL","1"
"104",2008,"August","PBM08180807","All",2,1485.15914811788,0.25,"sq_km",387.1,"HnL","1"
"105",2008,"August","PBM08180810","All",2,1558.67947777514,0.25,"sq_km",605.6,"HnL","1"
"106",2008,"August","PBM08180811","All",7,4593.08125072391,0.25,"sq_km",249.8,"HnL","1"
"107",2008,"August","PBM08260805","All",7,4446.87311122985,0.25,"sq_km",638.2,"HnL","1"
"108",2008,"August","PBM08260806","All",2,1179.33977491859,0.25,"sq_km",817.9,"HnL","1"
"109",2008,"August","PBM08260807","All",14,7845.05765509905,0.25,"sq_km",387.1,"HnL","1"
"110",2008,"August","PBR08110812","All",8,6060.95285189551,0.25,"sq_km",3666.7,"HnL","0"
"111",2008,"August","PBR08110814","All",5,3140.95905050035,0.25,"sq_km",3115.8,"HnL","0"
"112",2008,"August","PBR08270812","All",16,8834.77624336536,0.25,"sq_km",3666.7,"HnL","0"
"113",2008,"August","PBR08270817","All",1,454.117471287148,0.25,"sq_km",2071.6,"HnL","0"
"114",2008,"August","PBR08270820","All",6,4317.22941043969,0.25,"sq_km",1452.9,"HnL","0"
"115",2008,"August","PLM08260810","All",1,503.893647981712,0.25,"sq_km",457.2,"HnL","1"
"116",2008,"August","PLM08280809","All",2,1350.89225387376,0.25,"sq_km",412.1,"HnL","1"
"117",2008,"August","PLM08280810","All",3,1568.68225758725,0.25,"sq_km",457.2,"HnL","1"
"118",2008,"August","PLM08280813","All",4,1773.64646148731,0.25,"sq_km",501.9,"HnL","1"
"119",2008,"August","PLR08250804","All",2,1000.55247585209,0.25,"sq_km",4518,"HnL","0"
"120",2008,"August","PLR08250805","All",2,1232.72852008693,0.25,"sq_km",4354.3,"HnL","0"
"121",2008,"August","PLR08250814","All",2,364.858834341248,0.25,"sq_km",584.8,"HnL","0"
"122",2008,"August","PLR08250815","All",7,2841.92104111422,0.25,"sq_km",1094.9,"HnL","0"
"123",2008,"August","PLR08270805","All",1,503.893647981712,0.25,"sq_km",4354.3,"HnL","0"
"124",2008,"August","PLR08270816","All",1,407.817671109223,0.25,"sq_km",1609.7,"HnL","0"
"125",2008,"July","ANM07150814","All",18,12452.5148738916,0.25,"sq_km",327.5,"HnL","1"
"126",2008,"July","ANM07150822","All",12,6773.08650687149,0.25,"sq_km",1925.7,"HnL","1"
"127",2008,"July","ANM07170814","All",15,10360.0323558616,0.25,"sq_km",327.5,"HnL","1"
"128",2008,"July","ANM07170815","All",8,5379.05438640401,0.25,"sq_km",327.4,"HnL","1"
"129",2008,"July","ANM07170818","All",10,6916.4180191567,0.25,"sq_km",1655.6,"HnL","1"
"130",2008,"July","ANR07140801","All",13,5881.49956765116,0.25,"sq_km",12767.1,"HnL","0"
"131",2008,"July","ANR07140802","All",5,2234.58127270104,0.25,"sq_km",12250.5,"HnL","0"
"132",2008,"July","ANR07140805","All",8,3716.93487779468,0.25,"sq_km",9890.5,"HnL","0"
"133",2008,"July","ANR07160802","All",2,732.92402002443,0.25,"sq_km",12250.5,"HnL","0"
"134",2008,"July","ANR07160804","All",13,6635.86995867561,0.25,"sq_km",10943,"HnL","0"
"135",2008,"July","ANR07160805","All",6,2926.59379266976,0.25,"sq_km",9890.5,"HnL","0"
"136",2008,"July","ANR07160806","All",24,12836.7029568215,0.25,"sq_km",7994.8,"HnL","0"
"137",2008,"July","BLM07150802","All",1,325.106348915208,0.25,"sq_km",762.4,"HnL","1"
"138",2008,"July","BLR07160836","All",3,1698.50833099894,0.25,"sq_km",1351.8,"HnL","0"
"139",2008,"July","PBM07170805","All",5,2793.91100256335,0.25,"sq_km",638.2,"HnL","1"
"140",2008,"July","PBM07170806","All",1,675.446126936878,0.25,"sq_km",817.9,"HnL","1"
"141",2008,"July","PBM07170808","All",1,614.420656724938,0.25,"sq_km",692.8,"HnL","1"
"142",2008,"July","PBM07280805","All",7,3688.06060423054,0.25,"sq_km",638.2,"HnL","1"
"143",2008,"July","PBM07280808","All",4,2240.51581605035,0.25,"sq_km",692.8,"HnL","1"
"144",2008,"July","PBR07210814","All",4,3351.11711498548,0.25,"sq_km",3115.8,"HnL","0"
"145",2008,"July","PBR07210820","All",4,1927.53870304165,0.25,"sq_km",1452.9,"HnL","0"
"146",2008,"July","PBR07290812","All",1,407.817671109223,0.25,"sq_km",3666.7,"HnL","0"
"147",2008,"July","PBR07290814","All",2,815.635342218445,0.25,"sq_km",3115.8,"HnL","0"
"148",2008,"July","PBR07290818","All",7,3682.17990643598,0.25,"sq_km",2010,"HnL","0"
"149",2008,"July","PBR07290820","All",5,3413.74147580531,0.25,"sq_km",1452.9,"HnL","0"
"150",2008,"July","PLM07290808","All",1,503.893647981712,0.25,"sq_km",340.5,"HnL","1"
"151",2008,"July","PLM07290809","All",4,1776.98742489726,0.25,"sq_km",412.1,"HnL","1"
"152",2008,"July","PLR07280805","All",5,2384.31759980569,0.25,"sq_km",4354.3,"HnL","0"
"153",2008,"July","PLR07280817","All",3,1276.57015343218,0.25,"sq_km",2175.9,"HnL","0"
"154",2008,"July","PLR07300802","All",3,1565.06968911347,0.25,"sq_km",5687.6,"HnL","0"
"155",2008,"July","PLR07300805","All",12,5084.91663180612,0.25,"sq_km",4354.3,"HnL","0"
"156",2008,"July","PLR07300816","All",9,3742.79389680819,0.25,"sq_km",1609.7,"HnL","0"
"157",2008,"September","ANM09220814","All",25,17204.1014981469,0.25,"sq_km",327.5,"HnL","1"
"158",2008,"September","ANM09220817","All",22,14418.4515433278,0.25,"sq_km",1371.5,"HnL","1"
"159",2008,"September","ANM09220818","All",12,8415.88552373932,0.25,"sq_km",1655.6,"HnL","1"
"160",2008,"September","ANM09220822","All",1,503.893647981712,0.25,"sq_km",1925.7,"HnL","1"
"161",2008,"September","ANM09240812","All",21,15121.1043273421,0.25,"sq_km",246.2,"HnL","1"
"162",2008,"September","ANM09240816","All",12,7895.60160590974,0.25,"sq_km",853.2,"HnL","1"
"163",2008,"September","ANM09240818","All",9,6089.2107867341,0.25,"sq_km",1655.6,"HnL","1"
"164",2008,"September","ANR09230802","All",6,4669.64850019896,0.25,"sq_km",12250.5,"HnL","0"
"165",2008,"September","ANR09230805","All",26,15114.4282731747,0.25,"sq_km",9890.5,"HnL","0"
"166",2008,"September","ANR09230810","All",18,10936.5286557181,0.25,"sq_km",3500.7,"HnL","0"
"167",2008,"September","ANR09230811","All",5,3340.37985191987,0.25,"sq_km",3227.8,"HnL","0"
"168",2008,"September","ANR09250807","All",25,16608.1893489953,0.25,"sq_km",7427.6,"HnL","0"
"169",2008,"September","ANR09250808","All",43,25858.5326004864,0.25,"sq_km",6550.3,"HnL","0"
"170",2008,"September","ANR09250809","All",8,4684.59568355949,0.25,"sq_km",3910.2,"HnL","0"
"171",2008,"September","ANR09250811","All",1,961.198665911053,0.25,"sq_km",3227.8,"HnL","0"
"172",2008,"September","BLR09030840","All",1,675.446126936878,0.25,"sq_km",1816.8,"HnL","0"
"173",2008,"September","BLR09160836","All",1,407.817671109223,0.25,"sq_km",1351.8,"HnL","0"
"174",2008,"September","PBM09080801","All",14,9998.51233493302,0.25,"sq_km",252.5,"HnL","1"
"175",2008,"September","PBM09080806","All",4,2290.01735458164,0.25,"sq_km",817.9,"HnL","1"
"176",2008,"September","PBM09080810","All",4,2518.70809711169,0.25,"sq_km",605.6,"HnL","1"
"177",2008,"September","PBM09100804","All",10,5969.1135042779,0.25,"sq_km",386.6,"HnL","1"
"178",2008,"September","PBM09100810","All",4,2358.67954983718,0.25,"sq_km",605.6,"HnL","1"
"179",2008,"September","PBR09090812","All",1,557.28239315005,0.25,"sq_km",3666.7,"HnL","0"
