"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2010,"September","AN",21,"cm","Unknown","Gear is HnL",1,1
"2",2010,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"3",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"4",2009,"July","AN",35,"cm","Unknown","Gear is HnL",1,1
"5",2009,"July","AN",34,"cm","Unknown","Gear is HnL",1,1
"6",2009,"July","AN",35,"cm","Unknown","Gear is HnL",1,1
"7",2009,"July","AN",38,"cm","Unknown","Gear is HnL",1,1
"8",2008,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"9",2007,"October","AN",35,"cm","Unknown","Gear is HnL",1,1
"10",2007,"October","AN",30,"cm","Unknown","Gear is HnL",1,1
"11",2007,"October","AN",35,"cm","Unknown","Gear is HnL",1,1
"12",2007,"October","AN",37,"cm","Unknown","Gear is HnL",1,1
"13",2007,"October","AN",32,"cm","Unknown","Gear is HnL",1,1
"14",2007,"October","AN",32,"cm","Unknown","Gear is HnL",1,1
"15",2007,"October","AN",31,"cm","Unknown","Gear is HnL",1,1
"16",2007,"October","AN",36,"cm","Unknown","Gear is HnL",1,1
"17",2007,"October","AN",33,"cm","Unknown","Gear is HnL",1,1
"18",2007,"October","AN",32,"cm","Unknown","Gear is HnL",1,1
"19",2007,"October","AN",35,"cm","Unknown","Gear is HnL",1,1
"20",2007,"October","AN",35,"cm","Unknown","Gear is HnL",1,1
"21",2007,"October","AN",29,"cm","Unknown","Gear is HnL",1,1
"22",2007,"October","AN",33,"cm","Unknown","Gear is HnL",1,1
"23",2007,"October","AN",33,"cm","Unknown","Gear is HnL",1,1
"24",2007,"October","AN",30,"cm","Unknown","Gear is HnL",1,1
"25",2007,"October","AN",33,"cm","Unknown","Gear is HnL",1,1
"26",2007,"October","AN",29,"cm","Unknown","Gear is HnL",1,1
"27",2008,"August","PB",36,"cm","Unknown","Gear is HnL",0,1
"28",2008,"August","PB",37,"cm","Unknown","Gear is HnL",0,1
"29",2008,"August","PB",35,"cm","Unknown","Gear is HnL",0,1
"30",2008,"August","PB",34,"cm","Unknown","Gear is HnL",0,1
"31",2008,"August","PB",37,"cm","Unknown","Gear is HnL",0,1
"32",2008,"August","PB",27,"cm","Unknown","Gear is HnL",0,1
"33",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"34",2007,"August","PB",30,"cm","Unknown","Gear is HnL",0,1
"35",2007,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"36",2008,"July","PB",29,"cm","Unknown","Gear is HnL",0,1
"37",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"38",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"39",2007,"October","PB",36,"cm","Unknown","Gear is HnL",0,1
"40",2008,"August","PB",30,"cm","Unknown","Gear is HnL",0,1
"41",2008,"August","PB",34,"cm","Unknown","Gear is HnL",1,1
