"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",2156,1063817.08619374
"2","2007","MPA",820,477090.557078598
"3","2008","Fished",2020,1138763.47177523
"4","2008","MPA",1588,998961.516592812
"5","2009","Fished",1640,970684.336334411
"6","2009","MPA",816,559812.261942045
"7","2010","Fished",1964,488161.054206733
"8","2010","MPA",516,215672.187428704
"9","2011","Fished",2524,742281.642033563
"10","2011","MPA",732,315786.479971791
"11","2012","Fished",4256,1736518.32201302
"12","2012","MPA",1632,759658.680330964
"13","2013","Fished",8044,4247288.19025581
"14","2013","MPA",2672,1651555.67867786
