"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",22,8249.65993019136,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANM08200719","All",16,6232.75306539695,0.25,"sq_km",1552,"HnL","1"
"3",2007,"August","ANM08200721","All",1,61.8312712775827,0.25,"sq_km",1376.3,"HnL","1"
"4",2007,"August","ANM08230717","All",10,2674.63378071168,0.25,"sq_km",1371.5,"HnL","1"
"5",2007,"August","ANM08230722","All",3,690.390394967465,0.25,"sq_km",1925.7,"HnL","1"
"6",2007,"August","ANR08210702","All",22,2383.10002008269,0.25,"sq_km",12250.5,"HnL","0"
"7",2007,"August","ANR08210704","All",24,4145.00022308504,0.25,"sq_km",10943,"HnL","0"
"8",2007,"August","ANR08210705","All",23,5111.28670396697,0.25,"sq_km",9890.5,"HnL","0"
"9",2007,"August","ANR08210709","All",9,2372.93161133401,0.25,"sq_km",3910.2,"HnL","0"
"10",2007,"August","ANR08240703","All",40,9666.75845113877,0.25,"sq_km",11680.5,"HnL","0"
"11",2007,"August","ANR08240704","All",43,13461.6370697322,0.25,"sq_km",10943,"HnL","0"
"12",2007,"August","ANR08240708","All",24,6724.23105462939,0.25,"sq_km",6550.3,"HnL","0"
"13",2007,"August","ANR08240711","All",22,5157.11830816604,0.25,"sq_km",3227.8,"HnL","0"
"14",2007,"August","PBM08210703","All",10,1527.37358352282,0.25,"sq_km",881.8,"HnL","1"
"15",2007,"August","PBM08210705","All",20,4117.91183467896,0.25,"sq_km",638.2,"HnL","1"
"16",2007,"August","PBM08210708","All",18,2520.41468853507,0.25,"sq_km",692.8,"HnL","1"
"17",2007,"August","PBM08210709","All",75,18432.4400290405,0.25,"sq_km",586.3,"HnL","1"
"18",2007,"August","PBM08280702","All",2,179.677614383749,0.25,"sq_km",251.5,"HnL","1"
"19",2007,"August","PBM08280703","All",3,1176.39605757768,0.25,"sq_km",881.8,"HnL","1"
"20",2007,"August","PBM08280704","All",13,3996.59714381137,0.25,"sq_km",386.6,"HnL","1"
"21",2007,"August","PBM08280706","All",9,2302.20737124023,0.25,"sq_km",817.9,"HnL","1"
"22",2007,"August","PBM08280711","All",44,16877.4244572922,0.25,"sq_km",249.8,"HnL","1"
"23",2007,"August","PBR08220713","All",9,3220.43862162534,0.25,"sq_km",3186.7,"HnL","0"
"24",2007,"August","PBR08220716","All",6,977.571364758558,0.25,"sq_km",2564.5,"HnL","0"
"25",2007,"August","PBR08220717","All",10,2182.27680333384,0.25,"sq_km",2071.6,"HnL","0"
"26",2007,"August","PBR08220720","All",1,125.489311671573,0.25,"sq_km",1452.9,"HnL","0"
"27",2007,"August","PBR08270713","All",7,2159.12918916084,0.25,"sq_km",3186.7,"HnL","0"
"28",2007,"August","PBR08270714","All",2,250.978623343147,0.25,"sq_km",3115.8,"HnL","0"
"29",2007,"August","PBR08270716","All",2,454.697641533123,0.25,"sq_km",2564.5,"HnL","0"
"30",2007,"August","PBR08270720","All",2,295.276272456561,0.25,"sq_km",1452.9,"HnL","0"
"31",2007,"August","PLM08070706","All",110,51080.4692384614,0.25,"sq_km",362.4,"HnL","1"
