"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"2",2010,"September","AN",33,"cm","Unknown","Gear is HnL",1,1
"3",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"4",2010,"September","AN",18,"cm","Unknown","Gear is HnL",1,1
"5",2010,"September","AN",13,"cm","Unknown","Gear is HnL",1,1
"6",2010,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"7",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"8",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"9",2010,"September","AN",34,"cm","Unknown","Gear is HnL",1,1
"10",2010,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"11",2010,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"12",2010,"September","AN",24,"cm","Unknown","Gear is HnL",1,1
"13",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"14",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"15",2010,"September","AN",23,"cm","Unknown","Gear is HnL",1,1
"16",2010,"September","AN",33,"cm","Unknown","Gear is HnL",1,1
"17",2009,"July","AN",24,"cm","Unknown","Gear is HnL",1,1
"18",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"19",2007,"October","AN",23,"cm","Unknown","Gear is HnL",1,1
"20",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"21",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"22",2008,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"23",2008,"September","BL",34,"cm","Unknown","Gear is HnL",0,1
"24",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"25",2007,"August","PL",16,"cm","Unknown","Gear is HnL",1,1
"26",2007,"August","PL",18,"cm","Unknown","Gear is HnL",1,1
"27",2007,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"28",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"29",2007,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"30",2007,"August","PL",20,"cm","Unknown","Gear is HnL",1,1
"31",2007,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"32",2013,"July","PB",33,"cm","Unknown","Gear is HnL",1,1
"33",2013,"July","PB",31,"cm","Unknown","Gear is HnL",1,1
"34",2013,"July","PB",29,"cm","Unknown","Gear is HnL",1,1
"35",2013,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"36",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"37",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"38",2013,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"39",2013,"July","PB",33,"cm","Unknown","Gear is HnL",1,1
"40",2013,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"41",2009,"July","PL",23,"cm","Unknown","Gear is HnL",0,1
"42",2009,"July","PL",21,"cm","Unknown","Gear is HnL",0,1
"43",2009,"July","PL",26,"cm","Unknown","Gear is HnL",0,1
"44",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"45",2007,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"46",2007,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"47",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"48",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"49",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"50",2007,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"51",2007,"August","PB",16,"cm","Unknown","Gear is HnL",1,1
"52",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"53",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"54",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"55",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"56",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"57",2007,"August","PB",20,"cm","Unknown","Gear is HnL",0,1
"58",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"59",2007,"October","PB",20,"cm","Unknown","Gear is HnL",0,1
"60",2008,"July","BL",22,"cm","Unknown","Gear is HnL",1,1
"61",2008,"July","BL",30,"cm","Unknown","Gear is HnL",1,1
"62",2007,"October","PB",29,"cm","Unknown","Gear is HnL",0,1
"63",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"64",2007,"October","PB",20,"cm","Unknown","Gear is HnL",0,1
"65",2008,"August","PB",25,"cm","Unknown","Gear is HnL",0,1
"66",2013,"September","BL",21,"cm","Unknown","Gear is HnL",1,1
"67",2013,"September","BL",33,"cm","Unknown","Gear is HnL",1,1
"68",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"69",2009,"July","PL",20,"cm","Unknown","Gear is HnL",1,1
"70",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"71",2007,"August","PL",22,"cm","Unknown","Gear is HnL",1,1
"72",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"73",2007,"August","PL",38,"cm","Unknown","Gear is HnL",1,1
"74",2007,"August","PL",17,"cm","Unknown","Gear is HnL",1,1
"75",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"76",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"77",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"78",2007,"August","PL",20,"cm","Unknown","Gear is HnL",1,1
