"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2007,"LBAR",880,1.31,0.82,2.32,0.43,"FvM","None"
"2",2008,"LBAR",875,1.58,0.81,2.03,0.38,"FvM","None"
"3",2009,"LBAR",384,4.54,3.46,5.15,0.55,"FvM","None"
"4",2010,"LBAR",235,3.33,2.47,6.14,1.07,"FvM","None"
"5",2011,"LBAR",188,3.99,1.88,5.72,1.16,"FvM","None"
"6",2012,"LBAR",128,3.7,1.06,5.19,1.32,"FvM","None"
"7",2013,"LBAR",762,4.08,0.65,5.93,1.49,"FvM","None"
"8",2007,"CatchCurve",2791,1.46,0.97,2.06,0.39,"FvM","No MPA based M possible - derived from LHI and Lit"
"9",2008,"CatchCurve",2912,1.86,1.02,2.21,0.45,"FvM","No MPA based M possible - derived from LHI and Lit"
"10",2009,"CatchCurve",834,0.67,0.01,1.58,0.49,"FvM","None"
"11",2010,"CatchCurve",610,0.36,-0.04,3.52,1.28,"FvM","None"
"12",2011,"CatchCurve",522,0.07,NA,NA,NA,"FvM","None"
"13",2012,"CatchCurve",473,1.75,-0.56,11.83,4.66,"FvM","None"
"14",2013,"CatchCurve",1445,1.16,0.67,2.2,0.56,"FvM","None"
"15",2007,"1",0.553705839047613,0.37,0.9,0.11,1,"1","2007"
"16",2008,"1",0.531984740651127,0.4,0.7,0.07,1,"1","2008"
"17",2009,"1",0.913969989889661,0.59,1.28,0.17,1,"1","2009"
"18",2010,"1",1.09610554208443,0.66,1.71,0.25,1,"1","2010"
"19",2011,"1",0.807294149819309,0.53,1.3,0.17,1,"1","2011"
"20",2012,"1",0.439449806362078,0.27,0.71,0.1,1,"1","2012"
"21",2013,"1",1.03959014058088,0.73,1.6,0.21,1,"1","2013"
