"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2007,"August","PL",41,"cm","Unknown","Gear is HnL",1,1
"2",2011,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"3",2008,"August","PB",42,"cm","Unknown","Gear is HnL",1,1
"4",2010,"September","PL",40,"cm","Unknown","Gear is HnL",0,1
"5",2013,"August","PB",43,"cm","Unknown","Gear is HnL",0,1
"6",2011,"August","PB",45,"cm","Unknown","Gear is HnL",0,1
"7",2011,"August","PB",42,"cm","Unknown","Gear is HnL",0,1
"8",2011,"August","PB",52,"cm","Unknown","Gear is HnL",0,1
"9",2010,"July","PB",48,"cm","Unknown","Gear is HnL",1,1
"10",2010,"July","PB",45,"cm","Unknown","Gear is HnL",1,1
"11",2007,"October","PB",31,"cm","Unknown","Gear is HnL",0,1
"12",2011,"September","PB",41,"cm","Unknown","Gear is HnL",0,1
"13",2007,"October","PB",32,"cm","Unknown","Gear is HnL",1,1
"14",2008,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"15",2010,"September","PL",32,"cm","Unknown","Gear is HnL",0,1
"16",2013,"August","PB",38,"cm","Unknown","Gear is HnL",0,1
"17",2011,"September","PB",50,"cm","Unknown","Gear is HnL",0,1
"18",2007,"October","PL",38,"cm","Unknown","Gear is HnL",0,1
"19",2010,"August","PL",38,"cm","Unknown","Gear is HnL",0,1
"20",2009,"August","AN",46,"cm","Unknown","Gear is HnL",0,1
"21",2010,"July","PB",36,"cm","Unknown","Gear is HnL",1,1
"22",2010,"July","PB",50,"cm","Unknown","Gear is HnL",1,1
"23",2012,"August","BL",48,"cm","Unknown","Gear is HnL",1,1
"24",2007,"September","AN",37,"cm","Unknown","Gear is HnL",1,1
"25",2013,"August","PB",46,"cm","Unknown","Gear is HnL",1,1
"26",2013,"July","BL",43,"cm","Unknown","Gear is HnL",0,1
"27",2007,"August","PB",36,"cm","Unknown","Gear is HnL",1,1
"28",2012,"September","AN",44,"cm","Unknown","Gear is HnL",0,1
"29",2012,"September","AN",42,"cm","Unknown","Gear is HnL",0,1
"30",2007,"August","AN",32,"cm","Unknown","Gear is HnL",1,1
"31",2007,"August","AN",42,"cm","Unknown","Gear is HnL",1,1
"32",2011,"August","PL",37,"cm","Unknown","Gear is HnL",0,1
"33",2012,"July","BL",41,"cm","Unknown","Gear is HnL",1,1
"34",2012,"July","BL",47,"cm","Unknown","Gear is HnL",1,1
"35",2011,"September","BL",43,"cm","Unknown","Gear is HnL",1,1
"36",2011,"August","PL",35,"cm","Unknown","Gear is HnL",1,1
"37",2011,"August","PL",49,"cm","Unknown","Gear is HnL",1,1
"38",2011,"August","PL",42,"cm","Unknown","Gear is HnL",1,1
"39",2008,"July","PB",39,"cm","Unknown","Gear is HnL",0,1
"40",2013,"July","PB",54,"cm","Unknown","Gear is HnL",1,1
"41",2007,"August","PL",42,"cm","Unknown","Gear is HnL",1,1
"42",2008,"August","PB",33,"cm","Unknown","Gear is HnL",1,1
"43",2009,"September","PB",44,"cm","Unknown","Gear is HnL",1,1
