"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",24,31601.7585912564
"2","2007","MPA",36,36141.861030298
"3","2008","Fished",76,108388.436433552
"4","2008","MPA",24,36497.3437270342
"5","2009","Fished",48,91748.954961341
"6","2009","MPA",36,71168.9445825582
"7","2010","Fished",48,80200.7987258287
"8","2010","MPA",24,38633.0023420529
"9","2011","Fished",56,75283.4902677792
"10","2011","MPA",72,107329.491403304
"11","2012","Fished",40,54790.3414896019
"12","2012","MPA",56,121213.49262955
"13","2013","Fished",32,65769.0146245419
"14","2013","MPA",40,68578.9251099474
