"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2013,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"2",2013,"August","BL",21,"cm","Unknown","Gear is HnL",0,1
"3",2013,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"4",2013,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"5",2010,"September","AN",26,"cm","Unknown","Gear is HnL",1,1
"6",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"7",2010,"September","AN",22,"cm","Unknown","Gear is HnL",1,1
"8",2010,"September","AN",26,"cm","Unknown","Gear is HnL",1,1
"9",2010,"September","AN",25,"cm","Unknown","Gear is HnL",1,1
"10",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"11",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"12",2010,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"13",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"14",2010,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"15",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"16",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"17",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"18",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"19",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"20",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"21",2010,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"22",2010,"September","AN",31,"cm","Unknown","Gear is HnL",1,1
"23",2010,"September","AN",27,"cm","Unknown","Gear is HnL",1,1
"24",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"25",2010,"September","AN",29,"cm","Unknown","Gear is HnL",1,1
"26",2010,"September","AN",28,"cm","Unknown","Gear is HnL",1,1
"27",2009,"July","AN",27,"cm","Unknown","Gear is HnL",1,1
"28",2009,"July","AN",30,"cm","Unknown","Gear is HnL",1,1
"29",2008,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"30",2007,"October","AN",30,"cm","Unknown","Gear is HnL",1,1
"31",2007,"October","AN",28,"cm","Unknown","Gear is HnL",1,1
"32",2007,"October","AN",24,"cm","Unknown","Gear is HnL",1,1
"33",2012,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"34",2012,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"35",2012,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"36",2012,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"37",2008,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"38",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"39",2008,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"40",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"41",2011,"July","BL",23,"cm","Unknown","Gear is HnL",0,1
"42",2011,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"43",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"44",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"45",2011,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"46",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"47",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"48",2011,"July","BL",31,"cm","Unknown","Gear is HnL",0,1
"49",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"50",2011,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"51",2011,"July","BL",20,"cm","Unknown","Gear is HnL",0,1
"52",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"53",2011,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"54",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"55",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"56",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"57",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"58",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"59",2007,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"60",2007,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"61",2007,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"62",2007,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"63",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"64",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"65",2007,"August","PL",21,"cm","Unknown","Gear is HnL",1,1
"66",2013,"July","PB",27,"cm","Unknown","Gear is HnL",1,1
"67",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"68",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"69",2013,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"70",2013,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"71",2009,"July","PL",21,"cm","Unknown","Gear is HnL",0,1
"72",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"73",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"74",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"75",2009,"July","PL",27,"cm","Unknown","Gear is HnL",0,1
"76",2009,"July","PL",27,"cm","Unknown","Gear is HnL",0,1
"77",2009,"July","PL",26,"cm","Unknown","Gear is HnL",0,1
"78",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"79",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"80",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"81",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"82",2007,"August","PB",25,"cm","Unknown","Gear is HnL",1,1
"83",2007,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"84",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"85",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"86",2007,"August","PB",28,"cm","Unknown","Gear is HnL",1,1
"87",2007,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"88",2007,"August","PB",21,"cm","Unknown","Gear is HnL",1,1
"89",2007,"August","PB",22,"cm","Unknown","Gear is HnL",1,1
"90",2007,"August","PB",30,"cm","Unknown","Gear is HnL",1,1
"91",2007,"August","PB",30,"cm","Unknown","Gear is HnL",1,1
"92",2007,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"93",2007,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"94",2007,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"95",2007,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"96",2007,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"97",2007,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"98",2007,"October","PB",29,"cm","Unknown","Gear is HnL",0,1
"99",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"100",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"101",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"102",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"103",2007,"October","PB",27,"cm","Unknown","Gear is HnL",0,1
"104",2007,"October","PB",26,"cm","Unknown","Gear is HnL",0,1
"105",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"106",2008,"July","BL",28,"cm","Unknown","Gear is HnL",1,1
"107",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"108",2008,"July","BL",21,"cm","Unknown","Gear is HnL",1,1
"109",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"110",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"111",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"112",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"113",2008,"July","BL",23,"cm","Unknown","Gear is HnL",1,1
"114",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"115",2009,"July","PL",27,"cm","Unknown","Gear is HnL",0,1
"116",2009,"July","PL",24,"cm","Unknown","Gear is HnL",0,1
"117",2009,"July","PL",25,"cm","Unknown","Gear is HnL",0,1
"118",2009,"July","PL",30,"cm","Unknown","Gear is HnL",0,1
"119",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"120",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"121",2009,"July","PL",30,"cm","Unknown","Gear is HnL",0,1
"122",2007,"October","PB",27,"cm","Unknown","Gear is HnL",0,1
"123",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"124",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"125",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"126",2007,"October","PB",27,"cm","Unknown","Gear is HnL",0,1
"127",2007,"October","PB",24,"cm","Unknown","Gear is HnL",0,1
"128",2008,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"129",2008,"August","PB",23,"cm","Unknown","Gear is HnL",0,1
"130",2008,"August","PB",25,"cm","Unknown","Gear is HnL",0,1
"131",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"132",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"133",2007,"September","AN",30,"cm","Unknown","Gear is HnL",1,1
"134",2013,"September","BL",26,"cm","Unknown","Gear is HnL",1,1
"135",2013,"September","BL",16,"cm","Unknown","Gear is HnL",1,1
"136",2008,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"137",2008,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"138",2008,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"139",2008,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"140",2008,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"141",2008,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"142",2008,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"143",2008,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"144",2008,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"145",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"146",2008,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"147",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"148",2008,"August","PB",23,"cm","Unknown","Gear is HnL",1,1
"149",2008,"August","PB",23,"cm","Unknown","Gear is HnL",1,1
"150",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"151",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"152",2008,"August","PB",28,"cm","Unknown","Gear is HnL",1,1
"153",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"154",2009,"July","PL",30,"cm","Unknown","Gear is HnL",1,1
"155",2009,"July","PL",28,"cm","Unknown","Gear is HnL",1,1
"156",2009,"July","PL",27,"cm","Unknown","Gear is HnL",1,1
"157",2009,"July","PL",22,"cm","Unknown","Gear is HnL",1,1
"158",2009,"July","PL",22,"cm","Unknown","Gear is HnL",1,1
"159",2009,"July","PL",21,"cm","Unknown","Gear is HnL",1,1
"160",2009,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"161",2009,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"162",2009,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"163",2009,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"164",2009,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"165",2009,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"166",2009,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"167",2009,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"168",2009,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"169",2009,"September","PB",26,"cm","Unknown","Gear is HnL",1,1
"170",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"171",2007,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"172",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"173",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"174",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"175",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"176",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"177",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"178",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"179",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"180",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"181",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"182",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"183",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"184",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"185",2010,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"186",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"187",2010,"August","PL",20,"cm","Unknown","Gear is HnL",1,1
"188",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"189",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"190",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"191",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"192",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"193",2012,"August","PL",21,"cm","Unknown","Gear is HnL",0,1
"194",2012,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"195",2012,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"196",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"197",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"198",2012,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"199",2012,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"200",2012,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"201",2012,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"202",2012,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"203",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"204",2008,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"205",2008,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"206",2011,"July","PB",26,"cm","Unknown","Gear is HnL",1,1
"207",2011,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"208",2008,"August","AN",26,"cm","Unknown","Gear is HnL",0,1
"209",2008,"August","AN",25,"cm","Unknown","Gear is HnL",0,1
"210",2008,"August","AN",24,"cm","Unknown","Gear is HnL",0,1
"211",2008,"August","AN",23,"cm","Unknown","Gear is HnL",0,1
"212",2008,"August","AN",24,"cm","Unknown","Gear is HnL",0,1
"213",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"214",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"215",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"216",2009,"July","PL",27,"cm","Unknown","Gear is HnL",1,1
"217",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"218",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"219",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"220",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"221",2009,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
"222",2009,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"223",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"224",2010,"August","PL",22,"cm","Unknown","Gear is HnL",1,1
"225",2012,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"226",2012,"August","AN",31,"cm","Unknown","Gear is HnL",1,1
"227",2012,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"228",2009,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"229",2009,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"230",2009,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"231",2009,"August","AN",30,"cm","Unknown","Gear is HnL",1,1
"232",2009,"August","AN",29,"cm","Unknown","Gear is HnL",1,1
"233",2009,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"234",2009,"August","AN",26,"cm","Unknown","Gear is HnL",1,1
"235",2009,"August","AN",28,"cm","Unknown","Gear is HnL",1,1
"236",2009,"August","AN",27,"cm","Unknown","Gear is HnL",1,1
"237",2013,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"238",2013,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"239",2013,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"240",2013,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"241",2013,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"242",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"243",2007,"September","PL",28,"cm","Unknown","Gear is HnL",1,1
"244",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"245",2007,"September","PL",27,"cm","Unknown","Gear is HnL",1,1
"246",2007,"September","PL",27,"cm","Unknown","Gear is HnL",1,1
"247",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"248",2007,"September","PL",23,"cm","Unknown","Gear is HnL",1,1
"249",2007,"October","PB",26,"cm","Unknown","Gear is HnL",0,1
"250",2009,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"251",2009,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"252",2009,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"253",2010,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"254",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"255",2010,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"256",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"257",2010,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"258",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"259",2010,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"260",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"261",2010,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"262",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"263",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"264",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"265",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
