"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",3108,983535.791275616
"2","2007","MPA",4544,1431238.71392275
"3","2008","Fished",4028,1318227.64003012
"4","2008","MPA",5684,1793012.95162205
"5","2009","Fished",2516,854188.995763669
"6","2009","MPA",2964,942585.764500016
"7","2010","Fished",3244,1089618.94229945
"8","2010","MPA",4896,1580051.3600413
"9","2011","Fished",2388,792450.050119908
"10","2011","MPA",3844,1322888.00436814
"11","2012","Fished",2772,965476.764734919
"12","2012","MPA",4124,1441069.48064477
"13","2013","Fished",940,329090.991351623
"14","2013","MPA",1612,627556.541287624
