"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2007,"LBAR",776,3.37,1.52,4.04,0.88,"FvM","None"
"2",2008,"LBAR",1007,3.45,1.26,4.5,1,"FvM","None"
"3",2009,"LBAR",627,2.88,0.96,3.99,1.07,"FvM","None"
"4",2010,"LBAR",811,3.02,1.18,4.55,1.14,"FvM","None"
"5",2011,"LBAR",595,3.98,1.86,5.06,1.19,"FvM","None"
"6",2012,"LBAR",693,4.75,0.98,7.08,2.27,"FvM","None"
"7",2013,"LBAR",235,3.18,0.96,3.6,0.98,"FvM","None"
"8",2007,"CatchCurve",1905,2.74,0.62,5.25,1.54,"FvM","No MPA based M possible - derived from LHI and Lit"
"9",2008,"CatchCurve",2426,3.1,0.24,5.65,1.9,"FvM","No MPA based M possible - derived from LHI and Lit"
"10",2009,"CatchCurve",1366,0.81,0.29,2.88,0.84,"FvM","None"
"11",2010,"CatchCurve",2034,0.84,0.08,0.97,0.3,"FvM","None"
"12",2011,"CatchCurve",1556,0.77,0.01,0.89,0.29,"FvM","None"
"13",2012,"CatchCurve",1724,0.37,-0.19,0.45,0.23,"FvM","None"
"14",2013,"CatchCurve",638,0.13,-0.74,0.6,0.38,"FvM","None"
"15",2007,"1",0.54240925072579,0.39,0.81,0.09,1,"1","2007"
"16",2008,"1",0.582327656916831,0.47,0.69,0.06,1,"1","2008"
"17",2009,"1",-999,-999,0.87,487.56,1,"1","2009"
"18",2010,"1",-999,-999,0.71,487.5,1,"1","2010"
"19",2011,"1",0.488580999694338,0.37,0.64,0.06,1,"1","2011"
"20",2012,"1",0.545417570264849,0.44,0.73,0.07,1,"1","2012"
"21",2013,"1",0.475101671114276,0.38,0.65,0.06,1,"1","2013"
