"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2010,"September","AN",59,"cm","Unknown","Gear is HnL",1,1
"2",2010,"September","AN",75,"cm","Unknown","Gear is HnL",1,1
"3",2010,"September","AN",68,"cm","Unknown","Gear is HnL",1,1
"4",2010,"September","AN",58,"cm","Unknown","Gear is HnL",1,1
"5",2008,"August","PB",58,"cm","Unknown","Gear is HnL",0,1
"6",2008,"August","PB",72,"cm","Unknown","Gear is HnL",0,1
"7",2007,"August","PL",69,"cm","Unknown","Gear is HnL",1,1
"8",2007,"August","PL",47,"cm","Unknown","Gear is HnL",1,1
"9",2007,"August","PB",46,"cm","Unknown","Gear is HnL",1,1
"10",2008,"July","PB",50,"cm","Unknown","Gear is HnL",0,1
"11",2007,"September","AN",52,"cm","Unknown","Gear is HnL",1,1
"12",2008,"August","PB",51,"cm","Unknown","Gear is HnL",1,1
"13",2009,"September","PB",56,"cm","Unknown","Gear is HnL",1,1
"14",2010,"August","PL",41,"cm","Unknown","Gear is HnL",1,1
"15",2010,"August","PL",70,"cm","Unknown","Gear is HnL",1,1
"16",2012,"August","PL",41,"cm","Unknown","Gear is HnL",0,1
"17",2012,"August","PL",66,"cm","Unknown","Gear is HnL",0,1
"18",2012,"August","PL",72,"cm","Unknown","Gear is HnL",0,1
"19",2012,"August","PL",56,"cm","Unknown","Gear is HnL",0,1
"20",2012,"August","PL",53,"cm","Unknown","Gear is HnL",0,1
"21",2008,"August","AN",64,"cm","Unknown","Gear is HnL",1,1
"22",2011,"July","PB",46,"cm","Unknown","Gear is HnL",1,1
"23",2008,"August","AN",72,"cm","Unknown","Gear is HnL",0,1
"24",2009,"September","PB",56,"cm","Unknown","Gear is HnL",1,1
"25",2010,"August","PL",48,"cm","Unknown","Gear is HnL",1,1
"26",2010,"August","PL",61,"cm","Unknown","Gear is HnL",1,1
"27",2012,"August","AN",42,"cm","Unknown","Gear is HnL",1,1
"28",2012,"August","AN",53,"cm","Unknown","Gear is HnL",1,1
"29",2013,"August","PL",58,"cm","Unknown","Gear is HnL",0,1
"30",2010,"September","PL",48,"cm","Unknown","Gear is HnL",0,1
"31",2010,"September","PL",44,"cm","Unknown","Gear is HnL",0,1
"32",2011,"August","BL",44,"cm","Unknown","Gear is HnL",0,1
"33",2008,"August","PB",46,"cm","Unknown","Gear is HnL",0,1
"34",2008,"August","PB",55,"cm","Unknown","Gear is HnL",0,1
"35",2010,"September","PL",51,"cm","Unknown","Gear is HnL",0,1
"36",2010,"September","PL",54,"cm","Unknown","Gear is HnL",0,1
"37",2011,"August","BL",47,"cm","Unknown","Gear is HnL",0,1
"38",2011,"August","BL",52,"cm","Unknown","Gear is HnL",0,1
"39",2011,"August","BL",45,"cm","Unknown","Gear is HnL",0,1
"40",2011,"August","BL",37,"cm","Unknown","Gear is HnL",0,1
"41",2008,"July","PL",75,"cm","Unknown","Gear is HnL",0,1
"42",2009,"August","PL",77,"cm","Unknown","Gear is HnL",0,1
"43",2012,"September","PL",57,"cm","Unknown","Gear is HnL",0,1
"44",2012,"September","PL",54,"cm","Unknown","Gear is HnL",0,1
"45",2012,"September","PL",67,"cm","Unknown","Gear is HnL",0,1
"46",2010,"September","BL",51,"cm","Unknown","Gear is HnL",0,1
"47",2010,"August","PB",55,"cm","Unknown","Gear is HnL",0,1
"48",2010,"August","PB",58,"cm","Unknown","Gear is HnL",0,1
"49",2011,"August","PL",58,"cm","Unknown","Gear is HnL",0,1
