"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",196,678122.715176686
"2","2007","MPA",284,1293259.41566193
"3","2008","Fished",224,1066277.23100346
"4","2008","MPA",412,1789539.11626289
"5","2009","Fished",216,564483.197588745
"6","2009","MPA",240,830436.995015318
"7","2010","Fished",320,874382.651529948
"8","2010","MPA",456,1521876.47498469
"9","2011","Fished",412,1057742.73275622
"10","2011","MPA",696,2415864.50953854
"11","2012","Fished",708,2469223.13307003
"12","2012","MPA",1132,4355628.83363441
"13","2013","Fished",520,1863194.07959223
"14","2013","MPA",1020,4261793.05599476
