"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2011,"LBAR",103,3.68,2.98,8.24,1.6,"FvM","None"
"2",2012,"LBAR",176,3.56,2.37,4.73,0.78,"FvM","None"
"3",2013,"LBAR",130,3.81,2.54,6.23,1.13,"FvM","None"
"4",2011,"CatchCurve",277,0.81,0.4,2.21,0.58,"FvM","None"
"5",2012,"CatchCurve",459,0.24,-0.16,0.79,0.31,"FvM","None"
"6",2013,"CatchCurve",385,0.49,-0.02,0.74,0.23,"FvM","None"
"7",2007,"1",0.91608620308169,0.49,1.58,0.22,1,"1","2007"
"8",2008,"1",1.00300921689467,0.66,1.38,0.18,1,"1","2008"
"9",2009,"1",0.73912207839756,0.46,1.25,0.16,1,"1","2009"
"10",2010,"1",0.530689532826535,0.38,0.8,0.1,1,"1","2010"
"11",2011,"1",0.338028970363626,0.24,0.47,0.05,1,"1","2011"
"12",2012,"1",0.641005420553473,0.43,0.93,0.12,1,"1","2012"
"13",2013,"1",0.54552141469001,0.39,0.87,0.1,1,"1","2013"
