"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","ANM08200718","All",1,364.858834341248,0.25,"sq_km",1655.6,"HnL","1"
"2",2007,"August","ANR08240703","All",1,254.686132412009,0.25,"sq_km",11680.5,"HnL","0"
"3",2007,"August","PBM08210705","All",2,1232.72852008693,0.25,"sq_km",638.2,"HnL","1"
"4",2007,"August","PBM08210708","All",1,557.28239315005,0.25,"sq_km",692.8,"HnL","1"
"5",2007,"August","PBM08210709","All",8,3862.51371056051,0.25,"sq_km",586.3,"HnL","1"
"6",2007,"August","PBM08280704","All",1,454.117471287148,0.25,"sq_km",386.6,"HnL","1"
"7",2007,"August","PBM08280711","All",7,3501.83389350322,0.25,"sq_km",249.8,"HnL","1"
"8",2007,"August","PBR08220713","All",3,2302.73242187565,0.25,"sq_km",3186.7,"HnL","0"
"9",2007,"August","PBR08220716","All",6,3851.72813141799,0.25,"sq_km",2564.5,"HnL","0"
"10",2007,"August","PBR08220717","All",2,845.708820585919,0.25,"sq_km",2071.6,"HnL","0"
"11",2007,"August","PBR08270716","All",3,1597.58735442818,0.25,"sq_km",2564.5,"HnL","0"
"12",2007,"August","PLM08070706","All",107,75853.3829871076,0.25,"sq_km",362.4,"HnL","1"
"13",2007,"August","PLM08070707","All",47,33206.0370884314,0.25,"sq_km",238.8,"HnL","1"
"14",2007,"August","PLM08070710","All",39,26175.4143964999,0.25,"sq_km",457.2,"HnL","1"
"15",2007,"August","PLM08070711","All",8,5710.01418917645,0.25,"sq_km",387.4,"HnL","1"
"16",2007,"August","PLM08090708","All",30,24056.6782197887,0.25,"sq_km",340.5,"HnL","1"
"17",2007,"August","PLM08090709","All",45,38051.728922129,0.25,"sq_km",412.1,"HnL","1"
"18",2007,"August","PLM08090712","All",8,7495.92391218083,0.25,"sq_km",837.4,"HnL","1"
"19",2007,"August","PLM08090713","All",2,1289.86678366182,0.25,"sq_km",501.9,"HnL","1"
"20",2007,"August","PLR08060702","All",3,1951.98502881557,0.25,"sq_km",5687.6,"HnL","0"
"21",2007,"August","PLR08060703","All",4,2109.47203426748,0.25,"sq_km",5084.5,"HnL","0"
"22",2007,"August","PLR08060704","All",3,1888.81209456937,0.25,"sq_km",4518,"HnL","0"
"23",2007,"August","PLR08060715","All",7,5424.22277425297,0.25,"sq_km",1094.9,"HnL","0"
"24",2007,"August","PLR08080702","All",3,2001.50362718918,0.25,"sq_km",5687.6,"HnL","0"
"25",2007,"August","PLR08080703","All",3,1774.81308544028,0.25,"sq_km",5084.5,"HnL","0"
"26",2007,"August","PLR08080705","All",9,4378.03258272897,0.25,"sq_km",4354.3,"HnL","0"
"27",2007,"August","PLR08080714","All",7,5549.50907857141,0.25,"sq_km",584.8,"HnL","0"
"28",2007,"October","PBM10150703","All",5,3946.77785266688,0.25,"sq_km",881.8,"HnL","1"
"29",2007,"October","PBM10150706","All",4,2216.45375332353,0.25,"sq_km",817.9,"HnL","1"
"30",2007,"October","PBM10150711","All",2,1040.30496127813,0.25,"sq_km",249.8,"HnL","1"
"31",2007,"October","PBM10240703","All",1,675.446126936878,0.25,"sq_km",881.8,"HnL","1"
"32",2007,"October","PBM10240709","All",1,325.106348915208,0.25,"sq_km",586.3,"HnL","1"
"33",2007,"October","PBM10240711","All",1,364.858834341248,0.25,"sq_km",249.8,"HnL","1"
"34",2007,"October","PBR10160717","All",7,4885.3873634881,0.25,"sq_km",2071.6,"HnL","0"
"35",2007,"October","PBR10160718","All",1,557.28239315005,0.25,"sq_km",2010,"HnL","0"
