"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2011,"July","BL",34,"cm","Unknown","Gear is HnL",0,1
"2",2007,"August","PL",37,"cm","Unknown","Gear is HnL",1,1
"3",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"4",2007,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"5",2007,"August","PL",36,"cm","Unknown","Gear is HnL",1,1
"6",2007,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"7",2007,"August","PL",40,"cm","Unknown","Gear is HnL",1,1
"8",2007,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"9",2007,"August","PL",36,"cm","Unknown","Gear is HnL",1,1
"10",2009,"August","BL",38,"cm","Unknown","Gear is HnL",1,1
"11",2009,"August","BL",40,"cm","Unknown","Gear is HnL",1,1
"12",2009,"August","BL",38,"cm","Unknown","Gear is HnL",1,1
"13",2009,"August","BL",43,"cm","Unknown","Gear is HnL",1,1
"14",2009,"August","BL",44,"cm","Unknown","Gear is HnL",1,1
"15",2009,"August","BL",43,"cm","Unknown","Gear is HnL",1,1
"16",2007,"October","PB",31,"cm","Unknown","Gear is HnL",0,1
"17",2008,"July","BL",37,"cm","Unknown","Gear is HnL",1,1
"18",2008,"July","BL",32,"cm","Unknown","Gear is HnL",1,1
"19",2008,"July","BL",42,"cm","Unknown","Gear is HnL",1,1
"20",2008,"July","BL",40,"cm","Unknown","Gear is HnL",1,1
"21",2008,"July","BL",38,"cm","Unknown","Gear is HnL",1,1
"22",2008,"July","BL",35,"cm","Unknown","Gear is HnL",1,1
"23",2008,"July","BL",38,"cm","Unknown","Gear is HnL",1,1
"24",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"25",2008,"July","BL",36,"cm","Unknown","Gear is HnL",1,1
"26",2008,"July","BL",36,"cm","Unknown","Gear is HnL",1,1
"27",2008,"July","BL",41,"cm","Unknown","Gear is HnL",1,1
"28",2009,"July","PL",38,"cm","Unknown","Gear is HnL",0,1
"29",2013,"September","BL",40,"cm","Unknown","Gear is HnL",1,1
"30",2013,"September","BL",46,"cm","Unknown","Gear is HnL",1,1
"31",2009,"July","PL",34,"cm","Unknown","Gear is HnL",1,1
"32",2009,"July","PL",37,"cm","Unknown","Gear is HnL",1,1
"33",2009,"July","PL",43,"cm","Unknown","Gear is HnL",1,1
"34",2009,"July","PL",35,"cm","Unknown","Gear is HnL",1,1
"35",2009,"July","PL",35,"cm","Unknown","Gear is HnL",1,1
"36",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"37",2007,"August","PL",34,"cm","Unknown","Gear is HnL",1,1
"38",2010,"August","PL",40,"cm","Unknown","Gear is HnL",1,1
"39",2010,"August","PL",37,"cm","Unknown","Gear is HnL",1,1
"40",2012,"August","PL",36,"cm","Unknown","Gear is HnL",0,1
"41",2012,"August","PL",36,"cm","Unknown","Gear is HnL",0,1
"42",2012,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"43",2012,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"44",2011,"July","PB",26,"cm","Unknown","Gear is HnL",1,1
"45",2011,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"46",2011,"July","PB",27,"cm","Unknown","Gear is HnL",1,1
"47",2009,"July","PL",33,"cm","Unknown","Gear is HnL",1,1
"48",2009,"September","PB",27,"cm","Unknown","Gear is HnL",1,1
"49",2010,"August","PL",38,"cm","Unknown","Gear is HnL",1,1
"50",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"51",2010,"August","PL",37,"cm","Unknown","Gear is HnL",1,1
"52",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"53",2007,"September","PL",35,"cm","Unknown","Gear is HnL",1,1
"54",2007,"September","PL",36,"cm","Unknown","Gear is HnL",1,1
"55",2009,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"56",2010,"August","PL",40,"cm","Unknown","Gear is HnL",1,1
"57",2010,"August","BL",42,"cm","Unknown","Gear is HnL",1,1
