"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",624,445866.581955707
"2","2007","MPA",2432,1826415.88495221
"3","2008","Fished",336,238915.741903111
"4","2008","MPA",2032,1737700.80186537
"5","2009","Fished",108,80203.318845798
"6","2009","MPA",604,575268.996658291
"7","2010","Fished",108,78714.9488823319
"8","2010","MPA",504,413594.146975691
"9","2011","Fished",312,195346.136182265
"10","2011","MPA",1064,803579.892904982
"11","2012","Fished",500,304158.040245262
"12","2012","MPA",1316,946193.07412061
"13","2013","Fished",304,172289.99539573
"14","2013","MPA",496,363332.278535086
