"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2008,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"2",2010,"August","BL",32,"cm","Unknown","Gear is HnL",1,1
"3",2010,"August","BL",34,"cm","Unknown","Gear is HnL",1,1
"4",2013,"July","BL",24,"cm","Unknown","Gear is HnL",1,1
"5",2013,"July","BL",28,"cm","Unknown","Gear is HnL",1,1
"6",2013,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"7",2013,"July","BL",24,"cm","Unknown","Gear is HnL",1,1
"8",2011,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"9",2011,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"10",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"11",2011,"August","BL",38,"cm","Unknown","Gear is HnL",0,1
"12",2011,"August","BL",36,"cm","Unknown","Gear is HnL",0,1
"13",2012,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"14",2012,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"15",2009,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"16",2009,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"17",2009,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"18",2009,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"19",2008,"September","BL",34,"cm","Unknown","Gear is HnL",0,1
"20",2008,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"21",2008,"August","BL",37,"cm","Unknown","Gear is HnL",1,1
"22",2013,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"23",2013,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"24",2013,"July","BL",37,"cm","Unknown","Gear is HnL",0,1
"25",2013,"September","BL",26,"cm","Unknown","Gear is HnL",1,1
"26",2013,"September","BL",30,"cm","Unknown","Gear is HnL",1,1
"27",2013,"September","BL",28,"cm","Unknown","Gear is HnL",1,1
"28",2013,"September","BL",32,"cm","Unknown","Gear is HnL",1,1
"29",2013,"July","BL",36,"cm","Unknown","Gear is HnL",0,1
"30",2013,"July","BL",34,"cm","Unknown","Gear is HnL",0,1
"31",2013,"July","BL",34,"cm","Unknown","Gear is HnL",0,1
"32",2013,"July","BL",35,"cm","Unknown","Gear is HnL",0,1
"33",2013,"July","BL",30,"cm","Unknown","Gear is HnL",0,1
"34",2013,"July","BL",32,"cm","Unknown","Gear is HnL",0,1
"35",2013,"July","BL",35,"cm","Unknown","Gear is HnL",0,1
"36",2013,"July","BL",34,"cm","Unknown","Gear is HnL",0,1
"37",2013,"July","BL",35,"cm","Unknown","Gear is HnL",0,1
"38",2013,"July","BL",34,"cm","Unknown","Gear is HnL",0,1
"39",2013,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"40",2013,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"41",2013,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"42",2013,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"43",2013,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"44",2013,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"45",2013,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"46",2013,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"47",2013,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"48",2011,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"49",2008,"July","BL",30,"cm","Unknown","Gear is HnL",0,1
"50",2008,"July","BL",35,"cm","Unknown","Gear is HnL",0,1
"51",2008,"July","BL",31,"cm","Unknown","Gear is HnL",0,1
"52",2008,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"53",2008,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"54",2013,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"55",2013,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"56",2013,"September","BL",36,"cm","Unknown","Gear is HnL",0,1
