"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2008,"August","BLM08130802","All",12,5166.18960558007,0.25,"sq_km",762.4,"HnL","1"
"2",2008,"August","BLM08130830","All",51,17455.4611888755,0.25,"sq_km",597.5,"HnL","1"
"3",2008,"August","BLM08200809","All",12,3137.43517350845,0.25,"sq_km",1413.1,"HnL","1"
"4",2008,"August","BLM08200817","All",14,1998.41774518178,0.25,"sq_km",821.2,"HnL","1"
"5",2008,"August","BLM08200821","All",6,2085.48596055953,0.25,"sq_km",1411.6,"HnL","1"
"6",2008,"August","BLM08200830","All",42,21878.7681863281,0.25,"sq_km",597.5,"HnL","1"
"7",2008,"August","BLR08120853","All",30,12647.3300004926,0.25,"sq_km",3508.5,"HnL","0"
"8",2008,"August","BLR08190835","All",34,15804.5566891567,0.25,"sq_km",1227,"HnL","0"
"9",2008,"August","BLR08190856","All",17,6926.37207479079,0.25,"sq_km",4862,"HnL","0"
"10",2008,"July","BLM07150802","All",19,7618.66869726798,0.25,"sq_km",762.4,"HnL","1"
"11",2008,"July","BLM07150813","All",2,623.904432072135,0.25,"sq_km",1085.1,"HnL","1"
"12",2008,"July","BLM07150816","All",4,464.271331650888,0.25,"sq_km",295.3,"HnL","1"
"13",2008,"July","BLM07230808","All",6,1205.12050704514,0.25,"sq_km",913.4,"HnL","1"
"14",2008,"July","BLM07230813","All",16,7280.40393076961,0.25,"sq_km",1085.1,"HnL","1"
"15",2008,"July","BLM07230816","All",6,806.262199776105,0.25,"sq_km",295.3,"HnL","1"
"16",2008,"July","BLR07160836","All",13,6069.54958441411,0.25,"sq_km",1351.8,"HnL","0"
"17",2008,"July","BLR07220851","All",2,800.935438608452,0.25,"sq_km",2955.2,"HnL","0"
"18",2008,"September","BLM09020804","All",7,1600.6401466812,0.25,"sq_km",792.9,"HnL","1"
"19",2008,"September","BLM09020808","All",14,2050.89156893461,0.25,"sq_km",913.4,"HnL","1"
"20",2008,"September","BLM09020822","All",2,708.803603699157,0.25,"sq_km",813.4,"HnL","1"
"21",2008,"September","BLM09160803","All",17,2824.81625239858,0.25,"sq_km",451.5,"HnL","1"
"22",2008,"September","BLM09160805","All",34,8866.36887763233,0.25,"sq_km",1400.3,"HnL","1"
"23",2008,"September","BLR09030840","All",4,2200.62668904093,0.25,"sq_km",1816.8,"HnL","0"
"24",2008,"September","BLR09030846","All",4,1629.11453852041,0.25,"sq_km",2203.3,"HnL","0"
"25",2008,"September","BLR09160836","All",1,614.420656724938,0.25,"sq_km",1351.8,"HnL","0"
"26",2008,"September","BLR09170836","All",4,2022.79080368625,0.25,"sq_km",1351.8,"HnL","0"
