"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"2",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"3",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"4",2008,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"5",2008,"September","BL",34,"cm","Unknown","Gear is HnL",0,1
"6",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"7",2008,"July","BL",22,"cm","Unknown","Gear is HnL",1,1
"8",2008,"July","BL",30,"cm","Unknown","Gear is HnL",1,1
"9",2013,"September","BL",21,"cm","Unknown","Gear is HnL",1,1
"10",2013,"September","BL",33,"cm","Unknown","Gear is HnL",1,1
"11",2010,"August","BL",32,"cm","Unknown","Gear is HnL",1,1
"12",2010,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"13",2010,"August","BL",28,"cm","Unknown","Gear is HnL",1,1
"14",2010,"August","BL",33,"cm","Unknown","Gear is HnL",1,1
"15",2011,"August","BL",37,"cm","Unknown","Gear is HnL",0,1
"16",2011,"August","BL",22,"cm","Unknown","Gear is HnL",0,1
"17",2011,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"18",2011,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"19",2011,"August","BL",23,"cm","Unknown","Gear is HnL",0,1
"20",2011,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"21",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"22",2011,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"23",2009,"August","BL",33,"cm","Unknown","Gear is HnL",1,1
"24",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"25",2009,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"26",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"27",2009,"August","BL",32,"cm","Unknown","Gear is HnL",1,1
"28",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"29",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"30",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"31",2009,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"32",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"33",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"34",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"35",2009,"August","BL",21,"cm","Unknown","Gear is HnL",1,1
"36",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"37",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"38",2009,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"39",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"40",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"41",2009,"August","BL",35,"cm","Unknown","Gear is HnL",1,1
"42",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"43",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"44",2009,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"45",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"46",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"47",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"48",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"49",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"50",2008,"September","BL",22,"cm","Unknown","Gear is HnL",0,1
"51",2008,"September","BL",23,"cm","Unknown","Gear is HnL",0,1
"52",2008,"September","BL",36,"cm","Unknown","Gear is HnL",0,1
"53",2008,"September","BL",30,"cm","Unknown","Gear is HnL",0,1
"54",2008,"September","BL",31,"cm","Unknown","Gear is HnL",0,1
"55",2008,"September","BL",35,"cm","Unknown","Gear is HnL",0,1
"56",2008,"September","BL",21,"cm","Unknown","Gear is HnL",0,1
"57",2008,"September","BL",21,"cm","Unknown","Gear is HnL",0,1
"58",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"59",2008,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"60",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"61",2008,"September","BL",22,"cm","Unknown","Gear is HnL",0,1
"62",2008,"September","BL",20,"cm","Unknown","Gear is HnL",0,1
"63",2008,"September","BL",21,"cm","Unknown","Gear is HnL",0,1
"64",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"65",2008,"September","BL",22,"cm","Unknown","Gear is HnL",0,1
"66",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"67",2008,"July","BL",29,"cm","Unknown","Gear is HnL",1,1
"68",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"69",2008,"July","BL",31,"cm","Unknown","Gear is HnL",1,1
"70",2008,"July","BL",19,"cm","Unknown","Gear is HnL",1,1
"71",2008,"July","BL",32,"cm","Unknown","Gear is HnL",1,1
"72",2008,"July","BL",19,"cm","Unknown","Gear is HnL",1,1
"73",2008,"July","BL",32,"cm","Unknown","Gear is HnL",1,1
"74",2008,"July","BL",22,"cm","Unknown","Gear is HnL",1,1
"75",2008,"July","BL",29,"cm","Unknown","Gear is HnL",1,1
"76",2008,"July","BL",35,"cm","Unknown","Gear is HnL",1,1
"77",2008,"July","BL",35,"cm","Unknown","Gear is HnL",1,1
"78",2008,"July","BL",32,"cm","Unknown","Gear is HnL",1,1
"79",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"80",2008,"July","BL",17,"cm","Unknown","Gear is HnL",1,1
"81",2008,"July","BL",34,"cm","Unknown","Gear is HnL",1,1
"82",2008,"July","BL",33,"cm","Unknown","Gear is HnL",1,1
"83",2008,"July","BL",21,"cm","Unknown","Gear is HnL",1,1
"84",2008,"July","BL",30,"cm","Unknown","Gear is HnL",1,1
"85",2008,"September","BL",19,"cm","Unknown","Gear is HnL",1,1
"86",2008,"September","BL",18,"cm","Unknown","Gear is HnL",1,1
"87",2008,"September","BL",18,"cm","Unknown","Gear is HnL",1,1
"88",2008,"September","BL",21,"cm","Unknown","Gear is HnL",1,1
"89",2008,"September","BL",19,"cm","Unknown","Gear is HnL",1,1
"90",2008,"September","BL",32,"cm","Unknown","Gear is HnL",1,1
"91",2008,"September","BL",31,"cm","Unknown","Gear is HnL",1,1
"92",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"93",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"94",2008,"July","BL",19,"cm","Unknown","Gear is HnL",1,1
"95",2008,"July","BL",19,"cm","Unknown","Gear is HnL",1,1
"96",2011,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"97",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"98",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"99",2011,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"100",2011,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"101",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"102",2011,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"103",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"104",2011,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"105",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"106",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"107",2011,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"108",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"109",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"110",2011,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"111",2011,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"112",2011,"August","BL",36,"cm","Unknown","Gear is HnL",0,1
"113",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"114",2011,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"115",2011,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"116",2011,"August","BL",35,"cm","Unknown","Gear is HnL",0,1
"117",2011,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"118",2011,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"119",2011,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"120",2011,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"121",2012,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"122",2008,"September","BL",32,"cm","Unknown","Gear is HnL",0,1
"123",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"124",2008,"September","BL",33,"cm","Unknown","Gear is HnL",0,1
"125",2008,"September","BL",35,"cm","Unknown","Gear is HnL",0,1
"126",2009,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"127",2009,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"128",2011,"August","BL",15,"cm","Unknown","Gear is HnL",1,1
"129",2011,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"130",2011,"August","BL",21,"cm","Unknown","Gear is HnL",1,1
"131",2008,"July","BL",20,"cm","Unknown","Gear is HnL",0,1
"132",2008,"July","BL",34,"cm","Unknown","Gear is HnL",0,1
"133",2010,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"134",2010,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"135",2013,"August","BL",38,"cm","Unknown","Gear is HnL",0,1
"136",2013,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"137",2013,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"138",2013,"August","BL",37,"cm","Unknown","Gear is HnL",0,1
"139",2013,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"140",2013,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"141",2013,"August","BL",19,"cm","Unknown","Gear is HnL",0,1
"142",2013,"August","BL",33,"cm","Unknown","Gear is HnL",0,1
"143",2013,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"144",2013,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"145",2013,"August","BL",23,"cm","Unknown","Gear is HnL",0,1
"146",2013,"August","BL",20,"cm","Unknown","Gear is HnL",0,1
"147",2013,"August","BL",21,"cm","Unknown","Gear is HnL",0,1
"148",2013,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"149",2013,"August","BL",32,"cm","Unknown","Gear is HnL",0,1
"150",2013,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
