"","Year","MPA","NumberDensity","BiomassDensity"
"1","2008","Fished",484,210422.612244425
"2","2008","MPA",1056,343087.637631845
"3","2009","Fished",52,25919.0754726168
"4","2009","MPA",296,103522.286095749
"5","2010","Fished",84,38290.3399746347
"6","2010","MPA",208,90712.5706615344
"7","2011","Fished",260,144089.741113506
"8","2011","MPA",420,194451.11032774
"9","2012","Fished",28,15532.1895216666
"10","2012","MPA",532,237525.934900084
"11","2013","Fished",536,201480.643089371
"12","2013","MPA",652,286155.007536911
