"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2008,"LBAR",121,2.2,1.78,9.16,2.98,"FvM","None"
"2",2013,"LBAR",134,2.41,0.86,7.55,2.06,"FvM","None"
"3",2008,"CatchCurve",385,0.56,-0.11,3.31,1.23,"FvM","No MPA based M possible - derived from LHI and Lit"
"4",2013,"CatchCurve",296,1.47,NA,NA,NA,"FvM","None"
"5",2008,"1",1.11952833936565,0.46,2.54,0.45,1,"1","2008"
"6",2009,"1",0.655121861945814,0.34,1.19,0.19,1,"1","2009"
"7",2010,"1",0.6859982110495,0.37,1.05,0.16,1,"1","2010"
"8",2011,"1",0.973946039645702,0.43,2.9,0.52,1,"1","2011"
"9",2012,"1",0.411822658566481,0.07,1.1,0.25,1,"1","2012"
"10",2013,"1",0.758096389663272,0.31,2.09,0.39,1,"1","2013"
