"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2013,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"2",2013,"August","BL",21,"cm","Unknown","Gear is HnL",0,1
"3",2013,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"4",2013,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"5",2008,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"6",2012,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"7",2012,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"8",2012,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"9",2012,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"10",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"11",2011,"July","BL",23,"cm","Unknown","Gear is HnL",0,1
"12",2011,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"13",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"14",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"15",2011,"July","BL",25,"cm","Unknown","Gear is HnL",0,1
"16",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"17",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"18",2011,"July","BL",31,"cm","Unknown","Gear is HnL",0,1
"19",2011,"July","BL",27,"cm","Unknown","Gear is HnL",0,1
"20",2011,"July","BL",26,"cm","Unknown","Gear is HnL",0,1
"21",2011,"July","BL",20,"cm","Unknown","Gear is HnL",0,1
"22",2011,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"23",2011,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"24",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"25",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"26",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"27",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"28",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"29",2008,"July","BL",28,"cm","Unknown","Gear is HnL",1,1
"30",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"31",2008,"July","BL",21,"cm","Unknown","Gear is HnL",1,1
"32",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"33",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"34",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"35",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"36",2008,"July","BL",23,"cm","Unknown","Gear is HnL",1,1
"37",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"38",2013,"September","BL",26,"cm","Unknown","Gear is HnL",1,1
"39",2013,"September","BL",16,"cm","Unknown","Gear is HnL",1,1
"40",2008,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"41",2008,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"42",2008,"August","BL",31,"cm","Unknown","Gear is HnL",0,1
"43",2008,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"44",2008,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"45",2008,"August","BL",29,"cm","Unknown","Gear is HnL",0,1
"46",2008,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"47",2008,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"48",2008,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"49",2009,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"50",2009,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"51",2009,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"52",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"53",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"54",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"55",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"56",2010,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"57",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"58",2010,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"59",2010,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"60",2010,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"61",2010,"August","BL",28,"cm","Unknown","Gear is HnL",1,1
"62",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"63",2010,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"64",2010,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"65",2010,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"66",2010,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"67",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"68",2010,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"69",2010,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"70",2010,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"71",2010,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"72",2010,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"73",2010,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"74",2010,"August","BL",29,"cm","Unknown","Gear is HnL",1,1
"75",2010,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"76",2010,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"77",2010,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"78",2010,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"79",2011,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"80",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"81",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"82",2011,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"83",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"84",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"85",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"86",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"87",2011,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"88",2011,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"89",2011,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"90",2010,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"91",2011,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"92",2010,"September","BL",21,"cm","Unknown","Gear is HnL",1,1
"93",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"94",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"95",2010,"September","BL",26,"cm","Unknown","Gear is HnL",1,1
"96",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"97",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"98",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"99",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"100",2010,"September","BL",26,"cm","Unknown","Gear is HnL",1,1
"101",2010,"September","BL",16,"cm","Unknown","Gear is HnL",1,1
"102",2010,"September","BL",22,"cm","Unknown","Gear is HnL",1,1
"103",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"104",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"105",2010,"September","BL",22,"cm","Unknown","Gear is HnL",1,1
"106",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"107",2011,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"108",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"109",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"110",2011,"August","BL",25,"cm","Unknown","Gear is HnL",0,1
"111",2011,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"112",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"113",2011,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"114",2011,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"115",2011,"August","BL",26,"cm","Unknown","Gear is HnL",0,1
"116",2011,"August","BL",24,"cm","Unknown","Gear is HnL",0,1
"117",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"118",2010,"September","BL",22,"cm","Unknown","Gear is HnL",1,1
"119",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"120",2010,"September","BL",22,"cm","Unknown","Gear is HnL",1,1
"121",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"122",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"123",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"124",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"125",2010,"September","BL",18,"cm","Unknown","Gear is HnL",1,1
"126",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"127",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"128",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"129",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"130",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"131",2010,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"132",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"133",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"134",2010,"September","BL",20,"cm","Unknown","Gear is HnL",1,1
"135",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"136",2010,"September","BL",24,"cm","Unknown","Gear is HnL",1,1
"137",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"138",2010,"September","BL",23,"cm","Unknown","Gear is HnL",1,1
"139",2010,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"140",2010,"September","BL",31,"cm","Unknown","Gear is HnL",0,1
"141",2010,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"142",2010,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"143",2010,"September","BL",23,"cm","Unknown","Gear is HnL",0,1
"144",2010,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"145",2010,"September","BL",30,"cm","Unknown","Gear is HnL",0,1
"146",2010,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"147",2010,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"148",2010,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"149",2010,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"150",2010,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"151",2010,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"152",2010,"September","BL",30,"cm","Unknown","Gear is HnL",0,1
"153",2010,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"154",2010,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"155",2010,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"156",2010,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"157",2010,"September","BL",22,"cm","Unknown","Gear is HnL",0,1
"158",2010,"September","BL",30,"cm","Unknown","Gear is HnL",0,1
"159",2010,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"160",2013,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"161",2013,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"162",2013,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"163",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"164",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"165",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"166",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"167",2009,"August","BL",28,"cm","Unknown","Gear is HnL",1,1
"168",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"169",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"170",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"171",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"172",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"173",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"174",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"175",2009,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"176",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"177",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"178",2009,"August","BL",22,"cm","Unknown","Gear is HnL",1,1
"179",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"180",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"181",2009,"August","BL",28,"cm","Unknown","Gear is HnL",1,1
"182",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"183",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"184",2009,"August","BL",19,"cm","Unknown","Gear is HnL",1,1
"185",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"186",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"187",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"188",2009,"August","BL",26,"cm","Unknown","Gear is HnL",1,1
"189",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"190",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"191",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"192",2009,"August","BL",21,"cm","Unknown","Gear is HnL",1,1
"193",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"194",2009,"August","BL",25,"cm","Unknown","Gear is HnL",1,1
"195",2009,"August","BL",23,"cm","Unknown","Gear is HnL",1,1
"196",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"197",2009,"August","BL",24,"cm","Unknown","Gear is HnL",1,1
"198",2009,"September","BL",27,"cm","Unknown","Gear is HnL",1,1
"199",2009,"September","BL",28,"cm","Unknown","Gear is HnL",1,1
"200",2009,"September","BL",28,"cm","Unknown","Gear is HnL",1,1
"201",2009,"September","BL",22,"cm","Unknown","Gear is HnL",1,1
"202",2009,"September","BL",29,"cm","Unknown","Gear is HnL",1,1
"203",2009,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"204",2009,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"205",2009,"September","BL",25,"cm","Unknown","Gear is HnL",1,1
"206",2009,"September","BL",28,"cm","Unknown","Gear is HnL",1,1
"207",2009,"September","BL",30,"cm","Unknown","Gear is HnL",1,1
"208",2008,"July","BL",28,"cm","Unknown","Gear is HnL",0,1
"209",2008,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"210",2008,"September","BL",30,"cm","Unknown","Gear is HnL",0,1
"211",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"212",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"213",2008,"September","BL",29,"cm","Unknown","Gear is HnL",0,1
"214",2008,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"215",2008,"September","BL",21,"cm","Unknown","Gear is HnL",0,1
"216",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"217",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"218",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"219",2008,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"220",2008,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"221",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"222",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"223",2008,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"224",2008,"September","BL",23,"cm","Unknown","Gear is HnL",0,1
"225",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"226",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"227",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"228",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"229",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"230",2008,"September","BL",23,"cm","Unknown","Gear is HnL",0,1
"231",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"232",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"233",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"234",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"235",2008,"September","BL",25,"cm","Unknown","Gear is HnL",0,1
"236",2008,"September","BL",24,"cm","Unknown","Gear is HnL",0,1
"237",2008,"September","BL",28,"cm","Unknown","Gear is HnL",0,1
"238",2008,"September","BL",27,"cm","Unknown","Gear is HnL",0,1
"239",2008,"September","BL",23,"cm","Unknown","Gear is HnL",0,1
"240",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"241",2008,"September","BL",26,"cm","Unknown","Gear is HnL",0,1
"242",2008,"July","BL",32,"cm","Unknown","Gear is HnL",0,1
"243",2008,"July","BL",29,"cm","Unknown","Gear is HnL",0,1
"244",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"245",2011,"August","BL",22,"cm","Unknown","Gear is HnL",0,1
"246",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"247",2011,"August","BL",30,"cm","Unknown","Gear is HnL",0,1
"248",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"249",2011,"August","BL",28,"cm","Unknown","Gear is HnL",0,1
"250",2011,"August","BL",27,"cm","Unknown","Gear is HnL",0,1
"251",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"252",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"253",2008,"July","BL",22,"cm","Unknown","Gear is HnL",1,1
"254",2008,"July","BL",24,"cm","Unknown","Gear is HnL",1,1
"255",2008,"July","BL",26,"cm","Unknown","Gear is HnL",1,1
"256",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"257",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"258",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"259",2008,"July","BL",27,"cm","Unknown","Gear is HnL",1,1
"260",2008,"July","BL",20,"cm","Unknown","Gear is HnL",1,1
"261",2008,"July","BL",24,"cm","Unknown","Gear is HnL",1,1
"262",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"263",2008,"July","BL",25,"cm","Unknown","Gear is HnL",1,1
"264",2008,"September","BL",26,"cm","Unknown","Gear is HnL",1,1
"265",2008,"September","BL",22,"cm","Unknown","Gear is HnL",1,1
