"","Year","MPA","NumberDensity","BiomassDensity"
"1","2008","Fished",640,194346.357337968
"2","2008","MPA",1188,316928.903403705
"3","2009","Fished",972,306687.241398423
"4","2009","MPA",600,164432.909953915
"5","2010","Fished",1064,325957.985781263
"6","2010","MPA",992,246258.272508462
"7","2011","Fished",904,280115.09900322
"8","2011","MPA",684,201844.296282581
"9","2012","Fished",936,303480.226908388
"10","2012","MPA",772,221511.148140111
"11","2013","Fished",460,152392.153446222
"12","2013","MPA",316,108196.887270061
