"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2008,"LBAR",160,5.02,4.17,15.84,3.66,"FvM","None"
"2",2009,"LBAR",241,4.03,2.07,9.1,2.03,"FvM","None"
"3",2010,"LBAR",266,3.73,2.83,6.79,1.27,"FvM","None"
"4",2011,"LBAR",224,5.34,3.66,11.09,2.2,"FvM","None"
"5",2012,"LBAR",234,4.22,3.45,12.44,2.78,"FvM","None"
"6",2008,"CatchCurve",456,3.2,2.81,6.37,1.2,"FvM","No MPA based M possible - derived from LHI and Lit"
"7",2009,"CatchCurve",391,0.23,-0.09,3.06,0.93,"FvM","None"
"8",2010,"CatchCurve",513,0.85,-0.01,0.97,0.28,"FvM","None"
"9",2011,"CatchCurve",395,0.27,0.3,1.19,0.29,"FvM","None"
"10",2012,"CatchCurve",427,0.49,0.1,0.64,0.18,"FvM","None"
"11",2008,"1",0.790636412593412,0.35,1.27,0.21,1,"1","2008"
"12",2009,"1",1.48995494882493,1.02,2.32,0.27,1,"1","2009"
"13",2010,"1",1.29616588882295,0.73,2.05,0.32,1,"1","2010"
"14",2011,"1",1.03510280811133,0.58,1.74,0.27,1,"1","2011"
"15",2012,"1",1.17584183587688,0.69,2.06,0.29,1,"1","2012"
"16",2013,"1",1.37373216526742,0.85,2.45,0.32,1,"1","2013"
