"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2008,"August","BLM08200817","All",1,2444.28695216722,0.25,"sq_km",821.2,"HnL","1"
"2",2008,"August","BLM08200830","All",1,3478.36084008886,0.25,"sq_km",597.5,"HnL","1"
"3",2008,"August","BLR08120853","All",1,2599.5740732482,0.25,"sq_km",3508.5,"HnL","0"
"4",2008,"August","BLR08190835","All",1,2016.6790924193,0.25,"sq_km",1227,"HnL","0"
"5",2008,"July","BLM07230808","All",2,11412.5785126921,0.25,"sq_km",913.4,"HnL","1"
"6",2008,"July","BLM07230813","All",1,5022.76047860661,0.25,"sq_km",1085.1,"HnL","1"
"7",2008,"July","BLM07230816","All",1,8663.23919537059,0.25,"sq_km",295.3,"HnL","1"
"8",2008,"July","BLR07160836","All",1,6376.30241690269,0.25,"sq_km",1351.8,"HnL","0"
"9",2008,"July","BLR07220851","All",1,2761.4847502501,0.25,"sq_km",2955.2,"HnL","0"
"10",2008,"September","BLM09020804","All",1,3288.45582764763,0.25,"sq_km",792.9,"HnL","1"
"11",2008,"September","BLM09020808","All",3,14233.0314371123,0.25,"sq_km",913.4,"HnL","1"
"12",2008,"September","BLM09020822","All",1,2761.4847502501,0.25,"sq_km",813.4,"HnL","1"
"13",2008,"September","BLM09160803","All",1,2016.6790924193,0.25,"sq_km",451.5,"HnL","1"
"14",2008,"September","BLM09160805","All",4,11445.6172927563,0.25,"sq_km",1400.3,"HnL","1"
"15",2008,"September","BLR09030846","All",1,2761.4847502501,0.25,"sq_km",2203.3,"HnL","0"
"16",2008,"September","BLR09170856","All",2,5305.13492006692,0.25,"sq_km",4862,"HnL","0"
"17",2009,"August","BLM08030901","All",3,7106.52356210445,0.25,"sq_km",701.4,"HnL","1"
"18",2009,"August","BLM08030923","All",1,2152.98773979953,0.25,"sq_km",373.9,"HnL","1"
"19",2009,"August","BLM08260908","All",1,1762.00620301823,0.25,"sq_km",913.4,"HnL","1"
"20",2009,"August","BLR08060947","All",2,3781.22150018508,0.25,"sq_km",2429.3,"HnL","0"
"21",2009,"August","BLR08250935","All",2,4924.2008004904,0.25,"sq_km",1227,"HnL","0"
"22",2009,"August","BLR08250943","All",1,1131.02937200066,0.25,"sq_km",2993.6,"HnL","0"
"23",2009,"August","BLR08250946","All",2,5983.95914451766,0.25,"sq_km",2203.3,"HnL","0"
"24",2009,"August","BLR08250951","All",1,146.493782857946,0.25,"sq_km",2955.2,"HnL","0"
"25",2009,"July","BLM07290911","All",1,4541.57018347069,0.25,"sq_km",1364.9,"HnL","1"
"26",2009,"July","BLM07290922","All",1,3675.64183994104,0.25,"sq_km",813.4,"HnL","1"
