"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2011,"August","BL",44,"cm","Unknown","Gear is HnL",0,1
"2",2011,"August","BL",47,"cm","Unknown","Gear is HnL",0,1
"3",2011,"August","BL",52,"cm","Unknown","Gear is HnL",0,1
"4",2011,"August","BL",45,"cm","Unknown","Gear is HnL",0,1
"5",2011,"August","BL",37,"cm","Unknown","Gear is HnL",0,1
"6",2010,"September","BL",51,"cm","Unknown","Gear is HnL",0,1
"7",2009,"August","BL",27,"cm","Unknown","Gear is HnL",1,1
"8",2009,"August","BL",58,"cm","Unknown","Gear is HnL",1,1
"9",2009,"August","BL",55,"cm","Unknown","Gear is HnL",1,1
"10",2009,"September","BL",42,"cm","Unknown","Gear is HnL",1,1
"11",2008,"September","BL",53,"cm","Unknown","Gear is HnL",0,1
"12",2009,"August","BL",40,"cm","Unknown","Gear is HnL",0,1
"13",2008,"September","BL",48,"cm","Unknown","Gear is HnL",0,1
"14",2008,"September","BL",56,"cm","Unknown","Gear is HnL",0,1
"15",2011,"August","BL",54,"cm","Unknown","Gear is HnL",0,1
"16",2011,"August","BL",62,"cm","Unknown","Gear is HnL",0,1
"17",2008,"September","BL",56,"cm","Unknown","Gear is HnL",1,1
"18",2011,"July","BL",61,"cm","Unknown","Gear is HnL",0,1
"19",2011,"August","BL",63,"cm","Unknown","Gear is HnL",0,1
"20",2011,"August","BL",70,"cm","Unknown","Gear is HnL",0,1
"21",2012,"August","BL",54,"cm","Unknown","Gear is HnL",0,1
"22",2012,"August","BL",47,"cm","Unknown","Gear is HnL",0,1
"23",2012,"August","BL",52,"cm","Unknown","Gear is HnL",0,1
"24",2012,"August","BL",45,"cm","Unknown","Gear is HnL",0,1
"25",2009,"August","BL",55,"cm","Unknown","Gear is HnL",0,1
"26",2009,"August","BL",34,"cm","Unknown","Gear is HnL",0,1
"27",2012,"August","BL",53,"cm","Unknown","Gear is HnL",0,1
"28",2012,"August","BL",45,"cm","Unknown","Gear is HnL",0,1
"29",2012,"August","BL",47,"cm","Unknown","Gear is HnL",0,1
