"","Year","MPA","NumberDensity","BiomassDensity"
"1","2008","Fished",28,87282.6400125492
"2","2008","MPA",64,259065.977516444
"3","2009","Fished",56,99473.3301574767
"4","2009","MPA",48,148840.222245465
"5","2010","Fished",68,217873.096972507
"6","2010","MPA",40,111828.956834804
"7","2011","Fished",88,216093.903906734
"8","2011","MPA",52,193887.819431231
"9","2012","Fished",104,268441.03627267
"10","2012","MPA",88,270537.706388709
"11","2013","Fished",104,269265.326162497
"12","2013","MPA",80,271575.15420508
