"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PBM08210705","All",1,325.106348915208,0.25,"sq_km",638.2,"HnL","1"
"2",2007,"August","PBM08210709","All",2,828.99999689692,0.25,"sq_km",586.3,"HnL","1"
"3",2007,"August","PBM08280702","All",1,288.426427435869,0.25,"sq_km",251.5,"HnL","1"
"4",2007,"August","PBM08280704","All",1,364.858834341248,0.25,"sq_km",386.6,"HnL","1"
"5",2007,"August","PBM08280711","All",9,4326.01366396805,0.25,"sq_km",249.8,"HnL","1"
"6",2007,"August","PBR08220713","All",1,557.28239315005,0.25,"sq_km",3186.7,"HnL","0"
"7",2007,"August","PBR08220720","All",2,861.935142396371,0.25,"sq_km",1452.9,"HnL","0"
"8",2007,"August","PBR08270714","All",6,3476.85690461105,0.25,"sq_km",3115.8,"HnL","0"
"9",2007,"August","PBR08270716","All",8,3076.03140924923,0.25,"sq_km",2564.5,"HnL","0"
"10",2007,"August","PBR08270720","All",1,557.28239315005,0.25,"sq_km",1452.9,"HnL","0"
"11",2007,"October","PBM10150703","All",2,1770.91168709206,0.25,"sq_km",881.8,"HnL","1"
"12",2007,"October","PBM10150709","All",1,407.817671109223,0.25,"sq_km",586.3,"HnL","1"
"13",2007,"October","PBM10150711","All",6,3763.23664505398,0.25,"sq_km",249.8,"HnL","1"
"14",2007,"October","PBM10240704","All",5,3064.67986910209,0.25,"sq_km",386.6,"HnL","1"
"15",2007,"October","PBM10240711","All",4,2019.58445234431,0.25,"sq_km",249.8,"HnL","1"
"16",2007,"October","PBR10160717","All",1,364.858834341248,0.25,"sq_km",2071.6,"HnL","0"
"17",2007,"October","PBR10160718","All",1,675.446126936878,0.25,"sq_km",2010,"HnL","0"
"18",2007,"October","PBR10230713","All",1,557.28239315005,0.25,"sq_km",3186.7,"HnL","0"
"19",2007,"October","PBR10230714","All",10,6301.65901308532,0.25,"sq_km",3115.8,"HnL","0"
"20",2007,"October","PBR10230717","All",2,818.976305628396,0.25,"sq_km",2071.6,"HnL","0"
"21",2007,"October","PBR10230720","All",3,1731.8542486723,0.25,"sq_km",1452.9,"HnL","0"
"22",2007,"September","PBM09190702","All",10,5754.41320844845,0.25,"sq_km",251.5,"HnL","1"
"23",2007,"September","PBM09190706","All",1,740.497211730075,0.25,"sq_km",817.9,"HnL","1"
"24",2007,"September","PBM09190709","All",20,8997.58502930299,0.25,"sq_km",586.3,"HnL","1"
"25",2007,"September","PBM09250701","All",2,1485.15914811788,0.25,"sq_km",252.5,"HnL","1"
"26",2007,"September","PBM09250704","All",2,1636.64479284793,0.25,"sq_km",386.6,"HnL","1"
"27",2007,"September","PBM09250708","All",1,454.117471287148,0.25,"sq_km",692.8,"HnL","1"
