"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2008,"August","PB",36,"cm","Unknown","Gear is HnL",0,1
"2",2008,"August","PB",37,"cm","Unknown","Gear is HnL",0,1
"3",2008,"August","PB",35,"cm","Unknown","Gear is HnL",0,1
"4",2008,"August","PB",34,"cm","Unknown","Gear is HnL",0,1
"5",2008,"August","PB",37,"cm","Unknown","Gear is HnL",0,1
"6",2008,"August","PB",27,"cm","Unknown","Gear is HnL",0,1
"7",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"8",2007,"August","PB",30,"cm","Unknown","Gear is HnL",0,1
"9",2007,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"10",2008,"July","PB",29,"cm","Unknown","Gear is HnL",0,1
"11",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"12",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"13",2007,"October","PB",36,"cm","Unknown","Gear is HnL",0,1
"14",2008,"August","PB",30,"cm","Unknown","Gear is HnL",0,1
"15",2008,"August","PB",34,"cm","Unknown","Gear is HnL",1,1
"16",2008,"August","PB",31,"cm","Unknown","Gear is HnL",1,1
"17",2009,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"18",2009,"September","PB",37,"cm","Unknown","Gear is HnL",1,1
"19",2009,"September","PB",32,"cm","Unknown","Gear is HnL",1,1
"20",2009,"September","PB",32,"cm","Unknown","Gear is HnL",1,1
"21",2009,"September","PB",36,"cm","Unknown","Gear is HnL",1,1
"22",2009,"September","PB",32,"cm","Unknown","Gear is HnL",1,1
"23",2009,"September","PB",36,"cm","Unknown","Gear is HnL",1,1
"24",2009,"September","PB",34,"cm","Unknown","Gear is HnL",1,1
"25",2008,"August","PB",34,"cm","Unknown","Gear is HnL",1,1
"26",2008,"August","PB",36,"cm","Unknown","Gear is HnL",1,1
"27",2008,"August","PB",36,"cm","Unknown","Gear is HnL",0,1
"28",2008,"August","PB",35,"cm","Unknown","Gear is HnL",0,1
"29",2008,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"30",2008,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"31",2008,"August","PB",36,"cm","Unknown","Gear is HnL",0,1
"32",2010,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"33",2010,"August","PB",35,"cm","Unknown","Gear is HnL",0,1
"34",2007,"September","PB",26,"cm","Unknown","Gear is HnL",0,1
"35",2007,"September","PB",29,"cm","Unknown","Gear is HnL",0,1
"36",2007,"September","PB",30,"cm","Unknown","Gear is HnL",0,1
"37",2007,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"38",2007,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"39",2007,"August","PB",32,"cm","Unknown","Gear is HnL",0,1
"40",2007,"August","PB",34,"cm","Unknown","Gear is HnL",0,1
"41",2007,"August","PB",30,"cm","Unknown","Gear is HnL",0,1
"42",2007,"August","PB",34,"cm","Unknown","Gear is HnL",0,1
"43",2008,"September","PB",33,"cm","Unknown","Gear is HnL",0,1
"44",2008,"September","PB",33,"cm","Unknown","Gear is HnL",0,1
"45",2008,"September","PB",25,"cm","Unknown","Gear is HnL",0,1
"46",2008,"September","PB",28,"cm","Unknown","Gear is HnL",0,1
"47",2008,"September","PB",25,"cm","Unknown","Gear is HnL",0,1
"48",2008,"September","PB",31,"cm","Unknown","Gear is HnL",0,1
"49",2008,"September","PB",29,"cm","Unknown","Gear is HnL",0,1
"50",2013,"July","PB",29,"cm","Unknown","Gear is HnL",0,1
"51",2013,"July","PB",36,"cm","Unknown","Gear is HnL",0,1
"52",2013,"July","PB",29,"cm","Unknown","Gear is HnL",0,1
"53",2013,"July","PB",31,"cm","Unknown","Gear is HnL",0,1
"54",2013,"July","PB",28,"cm","Unknown","Gear is HnL",0,1
"55",2013,"July","PB",35,"cm","Unknown","Gear is HnL",0,1
"56",2013,"July","PB",30,"cm","Unknown","Gear is HnL",0,1
"57",2013,"July","PB",33,"cm","Unknown","Gear is HnL",0,1
"58",2013,"July","PB",35,"cm","Unknown","Gear is HnL",0,1
"59",2013,"July","PB",31,"cm","Unknown","Gear is HnL",0,1
"60",2013,"July","PB",32,"cm","Unknown","Gear is HnL",0,1
"61",2008,"September","PB",33,"cm","Unknown","Gear is HnL",1,1
"62",2008,"September","PB",32,"cm","Unknown","Gear is HnL",1,1
"63",2008,"September","PB",33,"cm","Unknown","Gear is HnL",1,1
"64",2008,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"65",2008,"September","PB",33,"cm","Unknown","Gear is HnL",1,1
"66",2008,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"67",2008,"September","PB",34,"cm","Unknown","Gear is HnL",1,1
"68",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"69",2008,"September","PB",31,"cm","Unknown","Gear is HnL",1,1
"70",2008,"September","PB",35,"cm","Unknown","Gear is HnL",1,1
"71",2011,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
