"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",200,107081.445456031
"2","2007","MPA",272,144912.209831974
"3","2008","Fished",416,245498.645898794
"4","2008","MPA",356,218838.771745596
"5","2009","Fished",100,78137.1631400723
"6","2009","MPA",144,100586.774894905
"7","2010","Fished",44,15858.0865356342
"8","2010","MPA",4,2229.1295726002
"9","2011","Fished",252,115422.907996372
"10","2011","MPA",64,32033.7256664339
"11","2012","Fished",436,209699.436651988
"12","2012","MPA",312,130160.643489153
"13","2013","Fished",472,218518.561230922
"14","2013","MPA",312,163102.224747882
