"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2013,"July","PB",33,"cm","Unknown","Gear is HnL",1,1
"2",2013,"July","PB",31,"cm","Unknown","Gear is HnL",1,1
"3",2013,"July","PB",29,"cm","Unknown","Gear is HnL",1,1
"4",2013,"July","PB",25,"cm","Unknown","Gear is HnL",1,1
"5",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"6",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"7",2013,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"8",2013,"July","PB",33,"cm","Unknown","Gear is HnL",1,1
"9",2013,"July","PB",30,"cm","Unknown","Gear is HnL",1,1
"10",2007,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"11",2007,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"12",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"13",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"14",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"15",2007,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"16",2007,"August","PB",16,"cm","Unknown","Gear is HnL",1,1
"17",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"18",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"19",2007,"August","PB",17,"cm","Unknown","Gear is HnL",1,1
"20",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"21",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"22",2007,"August","PB",20,"cm","Unknown","Gear is HnL",0,1
"23",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"24",2007,"October","PB",20,"cm","Unknown","Gear is HnL",0,1
"25",2007,"October","PB",29,"cm","Unknown","Gear is HnL",0,1
"26",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"27",2007,"October","PB",20,"cm","Unknown","Gear is HnL",0,1
"28",2008,"August","PB",25,"cm","Unknown","Gear is HnL",0,1
"29",2011,"July","PB",23,"cm","Unknown","Gear is HnL",1,1
"30",2011,"July","PB",20,"cm","Unknown","Gear is HnL",1,1
"31",2011,"July","PB",31,"cm","Unknown","Gear is HnL",1,1
"32",2010,"July","PB",26,"cm","Unknown","Gear is HnL",1,1
"33",2008,"August","PB",31,"cm","Unknown","Gear is HnL",1,1
"34",2008,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"35",2008,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"36",2008,"August","PB",34,"cm","Unknown","Gear is HnL",1,1
"37",2008,"August","PB",25,"cm","Unknown","Gear is HnL",0,1
"38",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"39",2008,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"40",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
