"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",444,129405.413451497
"2","2007","MPA",1452,385110.024116379
"3","2008","Fished",652,209811.159013064
"4","2008","MPA",988,335744.367413274
"5","2009","Fished",148,57396.1637987426
"6","2009","MPA",68,25654.9892801288
"7","2010","Fished",40,17957.3685951798
"8","2010","MPA",172,57553.3517345201
"9","2011","Fished",188,69061.5575045388
"10","2011","MPA",252,110613.942951474
"11","2012","Fished",136,56794.4945515312
"12","2012","MPA",88,26727.2478674019
"13","2013","Fished",204,80295.5721814125
"14","2013","MPA",484,175832.075518639
