"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2007,"LBAR",111,1.44,1.01,33.13,9.92,"FvM","None"
"2",2008,"LBAR",163,2.84,1.56,4.78,0.96,"FvM","None"
"3",2007,"CatchCurve",471,0.82,0.31,1.79,0.46,"FvM","No MPA based M possible - derived from LHI and Lit"
"4",2008,"CatchCurve",409,2.01,0.81,2.66,0.62,"FvM","No MPA based M possible - derived from LHI and Lit"
"5",2007,"1",0.423076713825365,0.24,0.74,0.12,1,"1","2007"
"6",2008,"1",0.683757842922842,0.45,1.05,0.14,1,"1","2008"
"7",2009,"1",1.02657734728538,0.67,1.73,0.24,1,"1","2009"
"8",2010,"1",0.685389365502323,0.37,1.39,0.25,1,"1","2010"
"9",2011,"1",0.708740067489942,0.48,1.09,0.14,1,"1","2011"
"10",2012,"1",1.40439561085686,0.75,2.65,0.46,1,"1","2012"
"11",2013,"1",0.59562590924781,0.38,1.14,0.18,1,"1","2013"
