"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PBM08210703","All",8,1862.95069719736,0.25,"sq_km",881.8,"HnL","1"
"2",2007,"August","PBM08210705","All",50,15437.3455382118,0.25,"sq_km",638.2,"HnL","1"
"3",2007,"August","PBM08210708","All",43,12509.8453748247,0.25,"sq_km",692.8,"HnL","1"
"4",2007,"August","PBM08210709","All",53,15292.6480119951,0.25,"sq_km",586.3,"HnL","1"
"5",2007,"August","PBM08280702","All",2,908.234942574296,0.25,"sq_km",251.5,"HnL","1"
"6",2007,"August","PBM08280703","All",19,5022.20909145278,0.25,"sq_km",881.8,"HnL","1"
"7",2007,"August","PBM08280704","All",4,1383.00293045961,0.25,"sq_km",386.6,"HnL","1"
"8",2007,"August","PBM08280706","All",18,4882.7032056147,0.25,"sq_km",817.9,"HnL","1"
"9",2007,"August","PBM08280711","All",15,5497.27873961501,0.25,"sq_km",249.8,"HnL","1"
"10",2007,"August","PBR08220713","All",28,9365.81841004266,0.25,"sq_km",3186.7,"HnL","0"
"11",2007,"August","PBR08220716","All",23,6463.28455051264,0.25,"sq_km",2564.5,"HnL","0"
"12",2007,"August","PBR08220717","All",49,14208.526550968,0.25,"sq_km",2071.6,"HnL","0"
"13",2007,"August","PBR08220720","All",6,1765.83671279839,0.25,"sq_km",1452.9,"HnL","0"
"14",2007,"August","PBR08270713","All",17,5039.98781594325,0.25,"sq_km",3186.7,"HnL","0"
"15",2007,"August","PBR08270714","All",3,1253.52649169514,0.25,"sq_km",3115.8,"HnL","0"
"16",2007,"August","PBR08270716","All",24,7047.60821037074,0.25,"sq_km",2564.5,"HnL","0"
"17",2007,"August","PBR08270720","All",13,3363.40874216881,0.25,"sq_km",1452.9,"HnL","0"
"18",2007,"October","PBM10150703","All",37,11219.1223029418,0.25,"sq_km",881.8,"HnL","1"
"19",2007,"October","PBM10150706","All",30,7998.56320101289,0.25,"sq_km",817.9,"HnL","1"
"20",2007,"October","PBM10150709","All",12,4399.34701374984,0.25,"sq_km",586.3,"HnL","1"
"21",2007,"October","PBM10150711","All",16,6375.3426082181,0.25,"sq_km",249.8,"HnL","1"
"22",2007,"October","PBM10240703","All",58,15619.0517183227,0.25,"sq_km",881.8,"HnL","1"
"23",2007,"October","PBM10240704","All",12,3946.23733165596,0.25,"sq_km",386.6,"HnL","1"
"24",2007,"October","PBM10240709","All",18,5144.61482326518,0.25,"sq_km",586.3,"HnL","1"
"25",2007,"October","PBM10240711","All",13,4468.99010690256,0.25,"sq_km",249.8,"HnL","1"
"26",2007,"October","PBR10160715","All",19,6573.87561994027,0.25,"sq_km",2627.5,"HnL","0"
"27",2007,"October","PBR10160717","All",21,5670.28572083123,0.25,"sq_km",2071.6,"HnL","0"
"28",2007,"October","PBR10160718","All",6,1717.7961940632,0.25,"sq_km",2010,"HnL","0"
"29",2007,"October","PBR10160721","All",1,288.426427435869,0.25,"sq_km",899,"HnL","0"
"30",2007,"October","PBR10230713","All",11,3962.80101832462,0.25,"sq_km",3186.7,"HnL","0"
"31",2007,"October","PBR10230714","All",7,2450.65317809784,0.25,"sq_km",3115.8,"HnL","0"
"32",2007,"October","PBR10230717","All",12,3345.08236305166,0.25,"sq_km",2071.6,"HnL","0"
"33",2007,"October","PBR10230720","All",6,2250.22479986708,0.25,"sq_km",1452.9,"HnL","0"
"34",2007,"October","PBR10230721","All",10,3344.4762015381,0.25,"sq_km",899,"HnL","0"
"35",2007,"October","PBR10230722","All",8,3202.67916695014,0.25,"sq_km",894.3,"HnL","0"
"36",2007,"September","PBM09190701","All",62,19559.1038081457,0.25,"sq_km",252.5,"HnL","1"
"37",2007,"September","PBM09190702","All",18,5256.75015705768,0.25,"sq_km",251.5,"HnL","1"
"38",2007,"September","PBM09190706","All",19,5319.75616110578,0.25,"sq_km",817.9,"HnL","1"
"39",2007,"September","PBM09190709","All",20,5559.93462058205,0.25,"sq_km",586.3,"HnL","1"
"40",2007,"September","PBM09250701","All",38,11835.079880564,0.25,"sq_km",252.5,"HnL","1"
"41",2007,"September","PBM09250703","All",35,10081.946758043,0.25,"sq_km",881.8,"HnL","1"
"42",2007,"September","PBM09250704","All",2,576.852854871738,0.25,"sq_km",386.6,"HnL","1"
"43",2007,"September","PBM09250708","All",23,6065.54143917298,0.25,"sq_km",692.8,"HnL","1"
"44",2007,"September","PBR09180715","All",14,3855.95818192062,0.25,"sq_km",2627.5,"HnL","0"
"45",2007,"September","PBR09180717","All",32,8616.07611943032,0.25,"sq_km",2071.6,"HnL","0"
"46",2007,"September","PBR09180718","All",15,4049.56403362411,0.25,"sq_km",2010,"HnL","0"
"47",2007,"September","PBR09180719","All",20,6160.75284361954,0.25,"sq_km",1516.2,"HnL","0"
"48",2007,"September","PBR09240714","All",16,5562.35524327006,0.25,"sq_km",3115.8,"HnL","0"
"49",2007,"September","PBR09240717","All",10,2777.21362518009,0.25,"sq_km",2071.6,"HnL","0"
"50",2007,"September","PBR09240718","All",10,2385.87911142306,0.25,"sq_km",2010,"HnL","0"
"51",2007,"September","PBR09240720","All",9,2458.68168208532,0.25,"sq_km",1452.9,"HnL","0"
"52",2008,"August","PBM08180805","All",24,6097.13422863306,0.25,"sq_km",638.2,"HnL","1"
"53",2008,"August","PBM08180807","All",14,3756.59750506989,0.25,"sq_km",387.1,"HnL","1"
"54",2008,"August","PBM08180808","All",14,5156.12472521309,0.25,"sq_km",692.8,"HnL","1"
"55",2008,"August","PBM08180810","All",17,5409.70222581338,0.25,"sq_km",605.6,"HnL","1"
"56",2008,"August","PBM08180811","All",37,12272.5850096833,0.25,"sq_km",249.8,"HnL","1"
"57",2008,"August","PBM08260805","All",22,6658.72929375847,0.25,"sq_km",638.2,"HnL","1"
"58",2008,"August","PBM08260806","All",8,2280.03180379484,0.25,"sq_km",817.9,"HnL","1"
"59",2008,"August","PBM08260807","All",11,2808.61472727814,0.25,"sq_km",387.1,"HnL","1"
"60",2008,"August","PBM08260809","All",13,4210.34136161621,0.25,"sq_km",586.3,"HnL","1"
"61",2008,"August","PBR08110812","All",5,1999.47048218809,0.25,"sq_km",3666.7,"HnL","0"
"62",2008,"August","PBR08110814","All",1,503.893647981712,0.25,"sq_km",3115.8,"HnL","0"
"63",2008,"August","PBR08110819","All",17,5571.23567869211,0.25,"sq_km",1516.2,"HnL","0"
"64",2008,"August","PBR08110822","All",6,2735.1339572728,0.25,"sq_km",894.3,"HnL","0"
"65",2008,"August","PBR08270812","All",7,2433.02979126264,0.25,"sq_km",3666.7,"HnL","0"
"66",2008,"August","PBR08270817","All",5,1391.89490689227,0.25,"sq_km",2071.6,"HnL","0"
"67",2008,"August","PBR08270819","All",19,5829.40140564559,0.25,"sq_km",1516.2,"HnL","0"
"68",2008,"August","PBR08270820","All",3,1104.06176965431,0.25,"sq_km",1452.9,"HnL","0"
"69",2008,"August","PBR08270821","All",16,6343.69979008454,0.25,"sq_km",899,"HnL","0"
"70",2008,"July","PBM07170803","All",11,2426.20978686001,0.25,"sq_km",881.8,"HnL","1"
"71",2008,"July","PBM07170805","All",7,1810.61902497971,0.25,"sq_km",638.2,"HnL","1"
"72",2008,"July","PBM07170806","All",16,4229.41706693177,0.25,"sq_km",817.9,"HnL","1"
"73",2008,"July","PBM07170808","All",8,2333.86981139788,0.25,"sq_km",692.8,"HnL","1"
"74",2008,"July","PBM07280805","All",14,3799.32971890045,0.25,"sq_km",638.2,"HnL","1"
"75",2008,"July","PBM07280806","All",37,9674.84381090808,0.25,"sq_km",817.9,"HnL","1"
"76",2008,"July","PBM07280808","All",40,9463.82800176138,0.25,"sq_km",692.8,"HnL","1"
"77",2008,"July","PBM07280809","All",34,11998.2422806112,0.25,"sq_km",586.3,"HnL","1"
"78",2008,"July","PBR07210814","All",13,4991.58280686855,0.25,"sq_km",3115.8,"HnL","0"
"79",2008,"July","PBR07210817","All",49,14647.7396792282,0.25,"sq_km",2071.6,"HnL","0"
"80",2008,"July","PBR07210819","All",34,10789.2302490696,0.25,"sq_km",1516.2,"HnL","0"
"81",2008,"July","PBR07210820","All",19,5566.84113252339,0.25,"sq_km",1452.9,"HnL","0"
"82",2008,"July","PBR07290814","All",11,4492.34557559755,0.25,"sq_km",3115.8,"HnL","0"
"83",2008,"July","PBR07290817","All",43,12701.9793279763,0.25,"sq_km",2071.6,"HnL","0"
"84",2008,"July","PBR07290818","All",39,10957.4948179323,0.25,"sq_km",2010,"HnL","0"
"85",2008,"July","PBR07290820","All",15,4739.08717123264,0.25,"sq_km",1452.9,"HnL","0"
"86",2008,"September","PBM09080801","All",27,9061.83002348496,0.25,"sq_km",252.5,"HnL","1"
"87",2008,"September","PBM09080803","All",12,3699.233229313,0.25,"sq_km",881.8,"HnL","1"
"88",2008,"September","PBM09080806","All",19,5202.53696269389,0.25,"sq_km",817.9,"HnL","1"
"89",2008,"September","PBM09080810","All",13,4330.53445452573,0.25,"sq_km",605.6,"HnL","1"
"90",2008,"September","PBM09100803","All",35,9244.68566778614,0.25,"sq_km",881.8,"HnL","1"
"91",2008,"September","PBM09100804","All",15,4488.82652921265,0.25,"sq_km",386.6,"HnL","1"
"92",2008,"September","PBM09100810","All",13,4101.12387938846,0.25,"sq_km",605.6,"HnL","1"
"93",2008,"September","PBR09090812","All",3,1236.81766800614,0.25,"sq_km",3666.7,"HnL","0"
"94",2008,"September","PBR09090815","All",24,7893.1121840653,0.25,"sq_km",2627.5,"HnL","0"
"95",2008,"September","PBR09090820","All",45,13535.0482409066,0.25,"sq_km",1452.9,"HnL","0"
"96",2008,"September","PBR09110812","All",9,3345.39215421389,0.25,"sq_km",3666.7,"HnL","0"
"97",2008,"September","PBR09110814","All",1,325.106348915208,0.25,"sq_km",3115.8,"HnL","0"
"98",2008,"September","PBR09110816","All",18,6144.41660297831,0.25,"sq_km",2564.5,"HnL","0"
