"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2008,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"2",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"3",2008,"August","PB",29,"cm","Unknown","Gear is HnL",0,1
"4",2013,"July","PB",27,"cm","Unknown","Gear is HnL",1,1
"5",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"6",2013,"July","PB",28,"cm","Unknown","Gear is HnL",1,1
"7",2013,"July","PB",24,"cm","Unknown","Gear is HnL",1,1
"8",2013,"July","PB",22,"cm","Unknown","Gear is HnL",1,1
"9",2007,"August","PB",25,"cm","Unknown","Gear is HnL",1,1
"10",2007,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"11",2007,"August","PB",26,"cm","Unknown","Gear is HnL",1,1
"12",2007,"August","PB",18,"cm","Unknown","Gear is HnL",1,1
"13",2007,"August","PB",28,"cm","Unknown","Gear is HnL",1,1
"14",2007,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"15",2007,"August","PB",21,"cm","Unknown","Gear is HnL",1,1
"16",2007,"August","PB",22,"cm","Unknown","Gear is HnL",1,1
"17",2007,"August","PB",30,"cm","Unknown","Gear is HnL",1,1
"18",2007,"August","PB",30,"cm","Unknown","Gear is HnL",1,1
"19",2007,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"20",2007,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"21",2007,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"22",2007,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"23",2007,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"24",2007,"August","PB",24,"cm","Unknown","Gear is HnL",0,1
"25",2007,"October","PB",29,"cm","Unknown","Gear is HnL",0,1
"26",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"27",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"28",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"29",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"30",2007,"October","PB",27,"cm","Unknown","Gear is HnL",0,1
"31",2007,"October","PB",26,"cm","Unknown","Gear is HnL",0,1
"32",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"33",2007,"October","PB",27,"cm","Unknown","Gear is HnL",0,1
"34",2007,"October","PB",30,"cm","Unknown","Gear is HnL",0,1
"35",2007,"October","PB",32,"cm","Unknown","Gear is HnL",0,1
"36",2007,"October","PB",28,"cm","Unknown","Gear is HnL",0,1
"37",2007,"October","PB",27,"cm","Unknown","Gear is HnL",0,1
"38",2007,"October","PB",24,"cm","Unknown","Gear is HnL",0,1
"39",2008,"August","PB",28,"cm","Unknown","Gear is HnL",0,1
"40",2008,"August","PB",23,"cm","Unknown","Gear is HnL",0,1
"41",2008,"August","PB",25,"cm","Unknown","Gear is HnL",0,1
"42",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"43",2008,"August","PB",26,"cm","Unknown","Gear is HnL",0,1
"44",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"45",2008,"August","PB",24,"cm","Unknown","Gear is HnL",1,1
"46",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"47",2008,"August","PB",23,"cm","Unknown","Gear is HnL",1,1
"48",2008,"August","PB",23,"cm","Unknown","Gear is HnL",1,1
"49",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"50",2008,"August","PB",27,"cm","Unknown","Gear is HnL",1,1
"51",2008,"August","PB",28,"cm","Unknown","Gear is HnL",1,1
"52",2009,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"53",2009,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"54",2009,"September","PB",28,"cm","Unknown","Gear is HnL",1,1
"55",2009,"September","PB",30,"cm","Unknown","Gear is HnL",1,1
"56",2009,"September","PB",25,"cm","Unknown","Gear is HnL",1,1
"57",2009,"September","PB",24,"cm","Unknown","Gear is HnL",1,1
