"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",1560,468723.116060611
"2","2007","MPA",2500,744889.813270229
"3","2008","Fished",1700,549161.35509388
"4","2008","MPA",1844,538059.964518463
"5","2009","Fished",652,226549.904783072
"6","2009","MPA",720,223119.886599782
"7","2010","Fished",828,305042.869493992
"8","2010","MPA",1484,493371.565181291
"9","2011","Fished",568,205444.717312819
"10","2011","MPA",876,321997.882952509
"11","2012","Fished",496,188093.691124296
"12","2012","MPA",1280,460052.546522821
"13","2013","Fished",188,73338.8124058287
"14","2013","MPA",544,202441.5305109
