"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2007,"LBAR",389,4.51,1.81,12.57,3.12,"FvM","None"
"2",2008,"LBAR",425,3.5,0.96,5.68,1.58,"FvM","None"
"3",2009,"LBAR",163,3.47,0.94,7.17,2.12,"FvM","None"
"4",2010,"LBAR",207,2.78,0.19,5.05,1.61,"FvM","None"
"5",2011,"LBAR",142,4.86,0.77,7.27,2.39,"FvM","None"
"6",2012,"LBAR",124,5.51,0.25,10.67,3.73,"FvM","None"
"7",2007,"CatchCurve",1007,3.55,2.39,6.59,1.53,"FvM","No MPA based M possible - derived from LHI and Lit"
"8",2008,"CatchCurve",885,2.52,1.98,6.98,1.77,"FvM","No MPA based M possible - derived from LHI and Lit"
"9",2009,"CatchCurve",343,0.45,-0.19,3.02,0.99,"FvM","None"
"10",2010,"CatchCurve",578,0.01,0.08,1.17,0.31,"FvM","None"
"11",2011,"CatchCurve",361,0.51,-0.41,0.56,0.31,"FvM","None"
"12",2012,"CatchCurve",444,0.7,0.11,1.08,0.28,"FvM","None"
"13",2007,"1",0.617897867927907,0.44,0.91,0.1,1,"1","2007"
"14",2008,"1",0.84625307369668,0.64,1.12,0.11,1,"1","2008"
"15",2009,"1",0.944486077987281,0.69,1.41,0.17,1,"1","2009"
"16",2010,"1",0.633586366153212,0.51,0.84,0.07,1,"1","2010"
"17",2011,"1",0.714031504464825,0.5,1.05,0.12,1,"1","2011"
"18",2012,"1",0.421130980817552,0.31,0.56,0.07,1,"1","2012"
"19",2013,"1",0.364708709882935,0.27,0.57,0.06,1,"1","2013"
