"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PBM08210703","All",1,1762.00620301823,0.25,"sq_km",881.8,"HnL","1"
"2",2007,"August","PBM08210705","All",1,1762.00620301823,0.25,"sq_km",638.2,"HnL","1"
"3",2007,"August","PBM08210709","All",2,5011.48008624979,0.25,"sq_km",586.3,"HnL","1"
"4",2007,"August","PBM08280703","All",1,2295.47435205579,0.25,"sq_km",881.8,"HnL","1"
"5",2007,"August","PBM08280706","All",2,8634.50998465999,0.25,"sq_km",817.9,"HnL","1"
"6",2007,"August","PBM08280711","All",1,4541.57018347069,0.25,"sq_km",249.8,"HnL","1"
"7",2007,"August","PBR08220716","All",2,4066.97403915925,0.25,"sq_km",2564.5,"HnL","0"
"8",2007,"August","PBR08220717","All",1,1530.28203814784,0.25,"sq_km",2071.6,"HnL","0"
"9",2007,"August","PBR08270716","All",1,6087.76475536881,0.25,"sq_km",2564.5,"HnL","0"
"10",2007,"August","PBR08270720","All",1,1131.02937200066,0.25,"sq_km",1452.9,"HnL","0"
"11",2007,"October","PBM10150706","All",5,26354.6136248537,0.25,"sq_km",817.9,"HnL","1"
"12",2007,"October","PBM10150709","All",1,3105.7753732482,0.25,"sq_km",586.3,"HnL","1"
"13",2007,"October","PBM10150711","All",4,14502.3067357827,0.25,"sq_km",249.8,"HnL","1"
"14",2007,"October","PBM10240703","All",1,2761.4847502501,0.25,"sq_km",881.8,"HnL","1"
"15",2007,"October","PBM10240704","All",1,5275.95105762378,0.25,"sq_km",386.6,"HnL","1"
"16",2007,"October","PBM10240709","All",1,6981.21596248015,0.25,"sq_km",586.3,"HnL","1"
"17",2007,"October","PBM10240711","All",1,2761.4847502501,0.25,"sq_km",249.8,"HnL","1"
"18",2007,"October","PBR10160715","All",2,2774.37791683891,0.25,"sq_km",2627.5,"HnL","0"
"19",2007,"October","PBR10160717","All",5,11882.7114069941,0.25,"sq_km",2071.6,"HnL","0"
"20",2007,"October","PBR10160718","All",1,4541.57018347069,0.25,"sq_km",2010,"HnL","0"
"21",2007,"October","PBR10230713","All",1,1643.34854483825,0.25,"sq_km",3186.7,"HnL","0"
"22",2007,"October","PBR10230714","All",2,6605.81035189639,0.25,"sq_km",3115.8,"HnL","0"
"23",2007,"October","PBR10230717","All",5,16091.2163805877,0.25,"sq_km",2071.6,"HnL","0"
"24",2007,"September","PBM09190701","All",1,2930.16851195535,0.25,"sq_km",252.5,"HnL","1"
"25",2007,"September","PBM09250701","All",1,5022.76047860661,0.25,"sq_km",252.5,"HnL","1"
"26",2007,"September","PBR09180717","All",3,8998.63447378493,0.25,"sq_km",2071.6,"HnL","0"
"27",2007,"September","PBR09180719","All",2,5661.25170554323,0.25,"sq_km",1516.2,"HnL","0"
"28",2007,"September","PBR09240714","All",1,4313.26188372734,0.25,"sq_km",3115.8,"HnL","0"
"29",2007,"September","PBR09240717","All",1,2761.4847502501,0.25,"sq_km",2071.6,"HnL","0"
"30",2007,"September","PBR09240720","All",1,2016.6790924193,0.25,"sq_km",1452.9,"HnL","0"
"31",2008,"August","PBM08180810","All",2,6956.72168017773,0.25,"sq_km",605.6,"HnL","1"
"32",2008,"August","PBM08260806","All",1,2444.28695216722,0.25,"sq_km",817.9,"HnL","1"
"33",2008,"August","PBM08260807","All",3,9872.59204098469,0.25,"sq_km",387.1,"HnL","1"
"34",2008,"August","PBM08260809","All",1,2599.5740732482,0.25,"sq_km",586.3,"HnL","1"
"35",2008,"August","PBR08110812","All",2,17419.4820419031,0.25,"sq_km",3666.7,"HnL","0"
"36",2008,"August","PBR08110814","All",2,4867.78157626643,0.25,"sq_km",3115.8,"HnL","0"
"37",2008,"August","PBR08110819","All",5,12801.5374801237,0.25,"sq_km",1516.2,"HnL","0"
"38",2008,"August","PBR08270812","All",1,3880.45071424913,0.25,"sq_km",3666.7,"HnL","0"
"39",2008,"August","PBR08270819","All",2,9276.69031453594,0.25,"sq_km",1516.2,"HnL","0"
"40",2008,"August","PBR08270820","All",2,10973.5479137582,0.25,"sq_km",1452.9,"HnL","0"
"41",2008,"August","PBR08270821","All",2,11084.248722183,0.25,"sq_km",899,"HnL","0"
"42",2008,"July","PBM07170803","All",2,8849.24950561891,0.25,"sq_km",881.8,"HnL","1"
"43",2008,"July","PBM07170806","All",1,3478.36084008886,0.25,"sq_km",817.9,"HnL","1"
"44",2008,"July","PBM07280805","All",1,3288.45582764763,0.25,"sq_km",638.2,"HnL","1"
"45",2008,"July","PBM07280806","All",1,9795.18684057387,0.25,"sq_km",817.9,"HnL","1"
"46",2008,"July","PBM07280808","All",1,2295.47435205579,0.25,"sq_km",692.8,"HnL","1"
"47",2008,"July","PBR07210817","All",3,11853.764270011,0.25,"sq_km",2071.6,"HnL","0"
"48",2008,"July","PBR07210819","All",1,3675.64183994104,0.25,"sq_km",1516.2,"HnL","0"
"49",2008,"July","PBR07290812","All",1,2295.47435205579,0.25,"sq_km",3666.7,"HnL","0"
"50",2008,"July","PBR07290817","All",1,1762.00620301823,0.25,"sq_km",2071.6,"HnL","0"
"51",2008,"July","PBR07290818","All",1,3675.64183994104,0.25,"sq_km",2010,"HnL","0"
"52",2008,"July","PBR07290820","All",1,2761.4847502501,0.25,"sq_km",1452.9,"HnL","0"
"53",2008,"September","PBM09080801","All",1,5022.76047860661,0.25,"sq_km",252.5,"HnL","1"
"54",2008,"September","PBM09080803","All",4,14660.5083925219,0.25,"sq_km",881.8,"HnL","1"
"55",2008,"September","PBM09080806","All",2,6437.12659019114,0.25,"sq_km",817.9,"HnL","1"
"56",2008,"September","PBM09080810","All",1,74.9417049979932,0.25,"sq_km",605.6,"HnL","1"
"57",2008,"September","PBM09100803","All",1,5275.95105762378,0.25,"sq_km",881.8,"HnL","1"
"58",2008,"September","PBM09100804","All",1,3288.45582764763,0.25,"sq_km",386.6,"HnL","1"
"59",2008,"September","PBM09100810","All",1,3478.36084008886,0.25,"sq_km",605.6,"HnL","1"
"60",2008,"September","PBR09090815","All",2,5318.99038477929,0.25,"sq_km",2627.5,"HnL","0"
"61",2008,"September","PBR09090820","All",1,3105.7753732482,0.25,"sq_km",1452.9,"HnL","0"
"62",2008,"September","PBR09110812","All",1,3675.64183994104,0.25,"sq_km",3666.7,"HnL","0"
"63",2008,"September","PBR09110821","All",1,3880.45071424913,0.25,"sq_km",899,"HnL","0"
"64",2009,"August","PBM08100901","All",2,12053.4812116251,0.25,"sq_km",252.5,"HnL","1"
"65",2009,"August","PBM08100904","All",1,1643.34854483825,0.25,"sq_km",386.6,"HnL","1"
"66",2009,"August","PBM08100910","All",1,3880.45071424913,0.25,"sq_km",605.6,"HnL","1"
"67",2009,"August","PBM08100911","All",3,10992.5555825702,0.25,"sq_km",249.8,"HnL","1"
"68",2009,"August","PBR08110919","All",2,1061.17604113176,0.25,"sq_km",1516.2,"HnL","0"
"69",2009,"August","PBR08110921","All",1,4313.26188372734,0.25,"sq_km",899,"HnL","0"
"70",2009,"July","PBM07200903","All",2,12900.246258953,0.25,"sq_km",881.8,"HnL","1"
"71",2009,"July","PBM07200909","All",2,2574.03212438912,0.25,"sq_km",586.3,"HnL","1"
"72",2009,"July","PBR07210912","All",1,3675.64183994104,0.25,"sq_km",3666.7,"HnL","0"
"73",2009,"September","PBM09090902","All",3,7660.23609782323,0.25,"sq_km",251.5,"HnL","1"
"74",2009,"September","PBM09090907","All",3,6285.49715628656,0.25,"sq_km",387.1,"HnL","1"
"75",2009,"September","PBM09090910","All",1,675.446126936878,0.25,"sq_km",605.6,"HnL","1"
"76",2009,"September","PBM09150901","All",1,2599.5740732482,0.25,"sq_km",252.5,"HnL","1"
"77",2009,"September","PBM09150906","All",1,3288.45582764763,0.25,"sq_km",817.9,"HnL","1"
"78",2009,"September","PBM09150908","All",1,3288.45582764763,0.25,"sq_km",692.8,"HnL","1"
"79",2009,"September","PBR09100913","All",1,3288.45582764763,0.25,"sq_km",3186.7,"HnL","0"
"80",2009,"September","PBR09100917","All",4,8664.41182777781,0.25,"sq_km",2071.6,"HnL","0"
"81",2009,"September","PBR09100921","All",2,7154.0026800299,0.25,"sq_km",899,"HnL","0"
"82",2009,"September","PBR09160917","All",1,3478.36084008886,0.25,"sq_km",2071.6,"HnL","0"
"83",2009,"September","PBR09160919","All",2,3892.51412225076,0.25,"sq_km",1516.2,"HnL","0"
"84",2009,"September","PBR09160921","All",3,6063.25678271946,0.25,"sq_km",899,"HnL","0"
"85",2010,"August","PBM08171001","All",3,7926.15205288092,0.25,"sq_km",252.5,"HnL","1"
"86",2010,"August","PBM08171008","All",6,9975.10606983836,0.25,"sq_km",692.8,"HnL","1"
"87",2010,"August","PBM08171009","All",2,3405.35474785648,0.25,"sq_km",586.3,"HnL","1"
"88",2010,"August","PBM08311002","All",3,8345.41492995352,0.25,"sq_km",251.5,"HnL","1"
"89",2010,"August","PBM08311005","All",4,12734.5937752329,0.25,"sq_km",638.2,"HnL","1"
"90",2010,"August","PBM08311007","All",2,7424.14591569651,0.25,"sq_km",387.1,"HnL","1"
"91",2010,"August","PBM08311008","All",3,7871.62509662682,0.25,"sq_km",692.8,"HnL","1"
"92",2010,"August","PBR08161012","All",2,5631.34857988839,0.25,"sq_km",3666.7,"HnL","0"
"93",2010,"August","PBR08161015","All",4,13299.2488265468,0.25,"sq_km",2627.5,"HnL","0"
"94",2010,"August","PBR08161019","All",5,9415.08116213427,0.25,"sq_km",1516.2,"HnL","0"
"95",2010,"August","PBR08161020","All",2,6781.41721318924,0.25,"sq_km",1452.9,"HnL","0"
"96",2010,"August","PBR08301012","All",2,4597.27469196675,0.25,"sq_km",3666.7,"HnL","0"
"97",2010,"August","PBR08301016","All",1,2599.5740732482,0.25,"sq_km",2564.5,"HnL","0"
"98",2010,"July","PBM07141003","All",2,13971.973252887,0.25,"sq_km",881.8,"HnL","1"
"99",2010,"July","PBM07141007","All",1,1530.28203814784,0.25,"sq_km",387.1,"HnL","1"
"100",2010,"July","PBM07141008","All",3,4998.31043301351,0.25,"sq_km",692.8,"HnL","1"
"101",2010,"July","PBM07271002","All",2,5854.94600420753,0.25,"sq_km",251.5,"HnL","1"
"102",2010,"July","PBM07271003","All",3,11579.5274441127,0.25,"sq_km",881.8,"HnL","1"
"103",2010,"July","PBM07271007","All",1,10193.9155079292,0.25,"sq_km",387.1,"HnL","1"
"104",2010,"July","PBM07271010","All",1,3105.7753732482,0.25,"sq_km",605.6,"HnL","1"
"105",2010,"July","PBR07151017","All",4,9617.37808220902,0.25,"sq_km",2071.6,"HnL","0"
"106",2010,"July","PBR07151021","All",3,6810.60170616898,0.25,"sq_km",899,"HnL","0"
"107",2010,"July","PBR07261013","All",3,7274.69712472664,0.25,"sq_km",3186.7,"HnL","0"
"108",2010,"July","PBR07261019","All",3,8274.81505892367,0.25,"sq_km",1516.2,"HnL","0"
"109",2011,"August","PBM08081101","All",6,23473.1959476945,0.25,"sq_km",252.5,"HnL","1"
"110",2011,"August","PBM08081103","All",12,53584.4720175865,0.25,"sq_km",881.8,"HnL","1"
"111",2011,"August","PBM08081104","All",2,9564.3306620773,0.25,"sq_km",386.6,"HnL","1"
"112",2011,"August","PBM08081108","All",2,11423.9504276602,0.25,"sq_km",692.8,"HnL","1"
"113",2011,"August","PBM08291101","All",9,44064.9106342213,0.25,"sq_km",252.5,"HnL","1"
