"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2008,"August","PB",58,"cm","Unknown","Gear is HnL",0,1
"2",2008,"August","PB",72,"cm","Unknown","Gear is HnL",0,1
"3",2007,"August","PB",46,"cm","Unknown","Gear is HnL",1,1
"4",2008,"July","PB",50,"cm","Unknown","Gear is HnL",0,1
"5",2008,"August","PB",51,"cm","Unknown","Gear is HnL",1,1
"6",2009,"September","PB",56,"cm","Unknown","Gear is HnL",1,1
"7",2011,"July","PB",46,"cm","Unknown","Gear is HnL",1,1
"8",2009,"September","PB",56,"cm","Unknown","Gear is HnL",1,1
"9",2008,"August","PB",46,"cm","Unknown","Gear is HnL",0,1
"10",2008,"August","PB",55,"cm","Unknown","Gear is HnL",0,1
"11",2010,"August","PB",55,"cm","Unknown","Gear is HnL",0,1
"12",2010,"August","PB",58,"cm","Unknown","Gear is HnL",0,1
"13",2007,"August","PB",50,"cm","Unknown","Gear is HnL",1,1
"14",2007,"September","PB",48,"cm","Unknown","Gear is HnL",0,1
"15",2013,"August","PB",49,"cm","Unknown","Gear is HnL",0,1
"16",2013,"July","PB",61,"cm","Unknown","Gear is HnL",0,1
"17",2008,"September","PB",56,"cm","Unknown","Gear is HnL",1,1
"18",2011,"August","PB",43,"cm","Unknown","Gear is HnL",0,1
"19",2007,"August","PB",40,"cm","Unknown","Gear is HnL",0,1
"20",2007,"October","PB",55,"cm","Unknown","Gear is HnL",0,1
"21",2007,"October","PB",56,"cm","Unknown","Gear is HnL",0,1
"22",2007,"October","PB",56,"cm","Unknown","Gear is HnL",0,1
"23",2007,"October","PB",57,"cm","Unknown","Gear is HnL",0,1
"24",2007,"October","PB",54,"cm","Unknown","Gear is HnL",0,1
"25",2009,"September","PB",52,"cm","Unknown","Gear is HnL",1,1
"26",2012,"August","PB",54,"cm","Unknown","Gear is HnL",1,1
"27",2012,"August","PB",62,"cm","Unknown","Gear is HnL",1,1
"28",2012,"August","PB",68,"cm","Unknown","Gear is HnL",1,1
"29",2012,"August","PB",61,"cm","Unknown","Gear is HnL",1,1
"30",2012,"August","PB",48,"cm","Unknown","Gear is HnL",1,1
"31",2012,"August","PB",50,"cm","Unknown","Gear is HnL",1,1
"32",2012,"August","PB",43,"cm","Unknown","Gear is HnL",1,1
"33",2007,"September","PB",61,"cm","Unknown","Gear is HnL",0,1
"34",2009,"September","PB",40,"cm","Unknown","Gear is HnL",0,1
"35",2009,"September","PB",53,"cm","Unknown","Gear is HnL",0,1
"36",2007,"September","PB",53,"cm","Unknown","Gear is HnL",0,1
"37",2009,"September","PB",57,"cm","Unknown","Gear is HnL",0,1
