"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",116,320425.58758011
"2","2007","MPA",96,374811.233030094
"3","2008","Fished",116,449234.441321817
"4","2008","MPA",96,351272.028016963
"5","2009","Fished",68,166364.327381258
"6","2009","MPA",84,271367.118184859
"7","2010","Fished",116,297205.746076008
"8","2010","MPA",144,435668.490566526
"9","2011","Fished",100,341753.319582862
"10","2011","MPA",272,1090336.48529179
"11","2012","Fished",108,359930.577524561
"12","2012","MPA",216,928215.845543139
"13","2013","Fished",64,211486.360207982
"14","2013","MPA",220,879259.989390285
