"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PLM08070706","All",5,2916.61840390857,0.25,"sq_km",362.4,"HnL","1"
"2",2007,"August","PLM08070707","All",1,454.117471287148,0.25,"sq_km",238.8,"HnL","1"
"3",2007,"August","PLM08090708","All",3,1965.31291059869,0.25,"sq_km",340.5,"HnL","1"
"4",2007,"August","PLM08090709","All",3,1801.67325286184,0.25,"sq_km",412.1,"HnL","1"
"5",2007,"August","PLM08090713","All",2,958.01111926886,0.25,"sq_km",501.9,"HnL","1"
"6",2007,"August","PLR08060715","All",2,543.112559847878,0.25,"sq_km",1094.9,"HnL","0"
"7",2007,"August","PLR08080702","All",5,3018.85222668685,0.25,"sq_km",5687.6,"HnL","0"
"8",2007,"August","PLR08080703","All",3,1552.46573729213,0.25,"sq_km",5084.5,"HnL","0"
"9",2007,"August","PLR08080705","All",8,3198.5445848472,0.25,"sq_km",4354.3,"HnL","0"
"10",2007,"August","PLR08080714","All",13,6171.70437267085,0.25,"sq_km",584.8,"HnL","0"
"11",2007,"October","PLM10220711","All",4,1647.97630252532,0.25,"sq_km",387.4,"HnL","1"
"12",2007,"October","PLM10240706","All",1,146.493782857946,0.25,"sq_km",362.4,"HnL","1"
"13",2007,"October","PLM10240708","All",1,740.497211730075,0.25,"sq_km",340.5,"HnL","1"
"14",2007,"October","PLM10240710","All",5,3390.63082679031,0.25,"sq_km",457.2,"HnL","1"
"15",2007,"October","PLR10250714","All",1,503.893647981712,0.25,"sq_km",584.8,"HnL","0"
"16",2007,"September","PLM09270708","All",10,5314.73211148975,0.25,"sq_km",340.5,"HnL","1"
"17",2007,"September","PLM09270710","All",1,675.446126936878,0.25,"sq_km",457.2,"HnL","1"
"18",2007,"September","PLR09250702","All",1,557.28239315005,0.25,"sq_km",5687.6,"HnL","0"
"19",2007,"September","PLR09250717","All",6,3063.49204823681,0.25,"sq_km",2175.9,"HnL","0"
"20",2007,"September","PLR09260715","All",6,2626.71262652688,0.25,"sq_km",1094.9,"HnL","0"
"21",2007,"September","PLR09260716","All",12,5448.20869755976,0.25,"sq_km",1609.7,"HnL","0"
"22",2007,"September","PLR09260717","All",7,3038.26139865938,0.25,"sq_km",2175.9,"HnL","0"
"23",2008,"August","PLM08260810","All",1,503.893647981712,0.25,"sq_km",457.2,"HnL","1"
"24",2008,"August","PLM08280809","All",2,1350.89225387376,0.25,"sq_km",412.1,"HnL","1"
"25",2008,"August","PLM08280810","All",3,1568.68225758725,0.25,"sq_km",457.2,"HnL","1"
