"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2009,"July","PL",33,"cm","Unknown","Gear is HnL",1,1
"2",2009,"July","PL",36,"cm","Unknown","Gear is HnL",1,1
"3",2009,"July","PL",35,"cm","Unknown","Gear is HnL",1,1
"4",2007,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"5",2007,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"6",2008,"July","PL",31,"cm","Unknown","Gear is HnL",0,1
"7",2008,"July","PL",31,"cm","Unknown","Gear is HnL",0,1
"8",2008,"July","PL",32,"cm","Unknown","Gear is HnL",0,1
"9",2009,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"10",2011,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"11",2008,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"12",2008,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"13",2008,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"14",2008,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"15",2007,"August","PL",35,"cm","Unknown","Gear is HnL",1,1
"16",2007,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"17",2007,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"18",2007,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"19",2007,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"20",2007,"August","PL",35,"cm","Unknown","Gear is HnL",0,1
"21",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"22",2007,"August","PL",34,"cm","Unknown","Gear is HnL",1,1
"23",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"24",2007,"August","PL",34,"cm","Unknown","Gear is HnL",1,1
"25",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"26",2007,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"27",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"28",2007,"August","PL",30,"cm","Unknown","Gear is HnL",0,1
"29",2007,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"30",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"31",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"32",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"33",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"34",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"35",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"36",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"37",2007,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"38",2008,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"39",2007,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"40",2007,"August","PL",34,"cm","Unknown","Gear is HnL",0,1
"41",2007,"August","PL",20,"cm","Unknown","Gear is HnL",0,1
"42",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"43",2007,"August","PL",30,"cm","Unknown","Gear is HnL",0,1
"44",2007,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"45",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"46",2007,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"47",2008,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"48",2012,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"49",2008,"August","PL",34,"cm","Unknown","Gear is HnL",1,1
"50",2008,"August","PL",34,"cm","Unknown","Gear is HnL",1,1
"51",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"52",2009,"July","PL",29,"cm","Unknown","Gear is HnL",0,1
"53",2007,"October","PL",31,"cm","Unknown","Gear is HnL",0,1
"54",2008,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"55",2008,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"56",2008,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"57",2009,"July","PL",35,"cm","Unknown","Gear is HnL",1,1
"58",2009,"July","PL",29,"cm","Unknown","Gear is HnL",1,1
"59",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
