"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",256,118890.121173838
"2","2007","MPA",144,80046.0380810215
"3","2008","Fished",228,101657.314678919
"4","2008","MPA",80,39118.4078856827
"5","2009","Fished",40,19132.3510732328
"6","2009","MPA",36,22427.401334776
"7","2010","Fished",52,22934.5952734371
"8","2010","MPA",24,11058.9268111049
"9","2011","Fished",24,7966.96195949582
"10","2011","MPA",84,32427.8267665789
"11","2012","Fished",68,28866.5870211312
"12","2012","MPA",60,32127.8441193721
"13","2013","Fished",292,188069.488049776
"14","2013","MPA",112,71811.2659536074
