"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PLM08070706","All",110,51080.4692384614,0.25,"sq_km",362.4,"HnL","1"
"2",2007,"August","PLM08070707","All",90,42349.4476157336,0.25,"sq_km",238.8,"HnL","1"
"3",2007,"August","PLM08070710","All",105,48514.022488843,0.25,"sq_km",457.2,"HnL","1"
"4",2007,"August","PLM08070711","All",8,2027.01398266501,0.25,"sq_km",387.4,"HnL","1"
"5",2007,"August","PLM08090708","All",113,52313.9982083883,0.25,"sq_km",340.5,"HnL","1"
"6",2007,"August","PLM08090709","All",122,53972.9802725204,0.25,"sq_km",412.1,"HnL","1"
"7",2007,"August","PLM08090712","All",24,7458.44295652469,0.25,"sq_km",837.4,"HnL","1"
"8",2007,"August","PLM08090713","All",9,3298.30628686823,0.25,"sq_km",501.9,"HnL","1"
"9",2007,"August","PLR08060702","All",11,4766.80607688336,0.25,"sq_km",5687.6,"HnL","0"
"10",2007,"August","PLR08060703","All",8,3424.20085226294,0.25,"sq_km",5084.5,"HnL","0"
"11",2007,"August","PLR08060704","All",48,14264.8196621492,0.25,"sq_km",4518,"HnL","0"
"12",2007,"August","PLR08060715","All",45,15166.0071044132,0.25,"sq_km",1094.9,"HnL","0"
"13",2007,"August","PLR08080702","All",13,5736.60565384403,0.25,"sq_km",5687.6,"HnL","0"
"14",2007,"August","PLR08080703","All",17,8988.22155354972,0.25,"sq_km",5084.5,"HnL","0"
"15",2007,"August","PLR08080705","All",34,10818.542347332,0.25,"sq_km",4354.3,"HnL","0"
"16",2007,"August","PLR08080714","All",22,6343.46451384745,0.25,"sq_km",584.8,"HnL","0"
"17",2007,"October","PLM10220708","All",10,3677.90610462079,0.25,"sq_km",340.5,"HnL","1"
"18",2007,"October","PLM10220709","All",65,22939.0035467512,0.25,"sq_km",412.1,"HnL","1"
"19",2007,"October","PLM10220710","All",42,16277.5686026935,0.25,"sq_km",457.2,"HnL","1"
"20",2007,"October","PLM10220711","All",9,3608.42882812274,0.25,"sq_km",387.4,"HnL","1"
"21",2007,"October","PLM10240706","All",53,24121.5193255551,0.25,"sq_km",362.4,"HnL","1"
"22",2007,"October","PLM10240707","All",30,9474.01739025928,0.25,"sq_km",238.8,"HnL","1"
"23",2007,"October","PLM10240708","All",50,20447.3530354618,0.25,"sq_km",340.5,"HnL","1"
"24",2007,"October","PLM10240710","All",18,5928.76110367877,0.25,"sq_km",457.2,"HnL","1"
"25",2007,"October","PLR10230701","All",2,447.506806516432,0.25,"sq_km",6230.8,"HnL","0"
"26",2007,"October","PLR10230703","All",1,125.489311671573,0.25,"sq_km",5084.5,"HnL","0"
"27",2007,"October","PLR10230714","All",13,2979.8232460346,0.25,"sq_km",584.8,"HnL","0"
"28",2007,"October","PLR10250714","All",16,5748.62292145821,0.25,"sq_km",584.8,"HnL","0"
"29",2007,"October","PLR10250715","All",25,7147.86755878877,0.25,"sq_km",1094.9,"HnL","0"
"30",2007,"September","PLM09240707","All",137,66972.8062723272,0.25,"sq_km",238.8,"HnL","1"
"31",2007,"September","PLM09240708","All",163,53135.0913610636,0.25,"sq_km",340.5,"HnL","1"
"32",2007,"September","PLM09240712","All",21,6325.04762937679,0.25,"sq_km",837.4,"HnL","1"
"33",2007,"September","PLM09240713","All",6,2952.73736466664,0.25,"sq_km",501.9,"HnL","1"
"34",2007,"September","PLM09270708","All",95,42233.1822499801,0.25,"sq_km",340.5,"HnL","1"
"35",2007,"September","PLM09270709","All",41,16085.4610485709,0.25,"sq_km",412.1,"HnL","1"
"36",2007,"September","PLM09270710","All",121,44279.7699397366,0.25,"sq_km",457.2,"HnL","1"
"37",2007,"September","PLM09270711","All",24,6657.15190139428,0.25,"sq_km",387.4,"HnL","1"
"38",2007,"September","PLR09250701","All",10,3545.87020239046,0.25,"sq_km",6230.8,"HnL","0"
"39",2007,"September","PLR09250702","All",6,3281.3443273699,0.25,"sq_km",5687.6,"HnL","0"
"40",2007,"September","PLR09250703","All",11,3626.45081144498,0.25,"sq_km",5084.5,"HnL","0"
"41",2007,"September","PLR09250717","All",31,11554.6664997465,0.25,"sq_km",2175.9,"HnL","0"
"42",2007,"September","PLR09260701","All",9,2764.53412272184,0.25,"sq_km",6230.8,"HnL","0"
"43",2007,"September","PLR09260715","All",25,8331.55720341399,0.25,"sq_km",1094.9,"HnL","0"
"44",2007,"September","PLR09260716","All",63,24350.4961323908,0.25,"sq_km",1609.7,"HnL","0"
"45",2007,"September","PLR09260717","All",48,19182.122934227,0.25,"sq_km",2175.9,"HnL","0"
"46",2008,"August","PLM08260806","All",38,19415.2039272913,0.25,"sq_km",362.4,"HnL","1"
"47",2008,"August","PLM08260807","All",36,12116.3379401944,0.25,"sq_km",238.8,"HnL","1"
"48",2008,"August","PLM08260810","All",56,21194.9917119882,0.25,"sq_km",457.2,"HnL","1"
"49",2008,"August","PLM08280807","All",51,23184.523658049,0.25,"sq_km",238.8,"HnL","1"
"50",2008,"August","PLM08280809","All",8,3790.65957846695,0.25,"sq_km",412.1,"HnL","1"
"51",2008,"August","PLM08280810","All",49,23576.7743422682,0.25,"sq_km",457.2,"HnL","1"
"52",2008,"August","PLM08280813","All",26,12045.5030395993,0.25,"sq_km",501.9,"HnL","1"
"53",2008,"August","PLR08250804","All",8,3353.27651942832,0.25,"sq_km",4518,"HnL","0"
"54",2008,"August","PLR08250805","All",18,8322.12384653862,0.25,"sq_km",4354.3,"HnL","0"
"55",2008,"August","PLR08250814","All",9,2128.13140154304,0.25,"sq_km",584.8,"HnL","0"
"56",2008,"August","PLR08250815","All",10,3106.19966395093,0.25,"sq_km",1094.9,"HnL","0"
"57",2008,"August","PLR08270804","All",3,1186.66535280334,0.25,"sq_km",4518,"HnL","0"
"58",2008,"August","PLR08270805","All",5,2384.52483521719,0.25,"sq_km",4354.3,"HnL","0"
"59",2008,"August","PLR08270816","All",5,1417.07866093651,0.25,"sq_km",1609.7,"HnL","0"
"60",2008,"July","PLM07290807","All",88,45735.9769858857,0.25,"sq_km",238.8,"HnL","1"
"61",2008,"July","PLM07290808","All",54,21332.6458242303,0.25,"sq_km",340.5,"HnL","1"
"62",2008,"July","PLM07290809","All",31,14693.0202443976,0.25,"sq_km",412.1,"HnL","1"
"63",2008,"July","PLM07290812","All",13,1934.43194503513,0.25,"sq_km",837.4,"HnL","1"
"64",2008,"July","PLM07310806","All",128,66684.7985546217,0.25,"sq_km",362.4,"HnL","1"
"65",2008,"July","PLM07310808","All",52,23338.3321007765,0.25,"sq_km",340.5,"HnL","1"
"66",2008,"July","PLM07310810","All",82,35815.0722340306,0.25,"sq_km",457.2,"HnL","1"
"67",2008,"July","PLM07310811","All",10,2526.70556801914,0.25,"sq_km",387.4,"HnL","1"
"68",2008,"July","PLR07280805","All",20,5990.67100190405,0.25,"sq_km",4354.3,"HnL","0"
"69",2008,"July","PLR07280814","All",6,1872.92779177978,0.25,"sq_km",584.8,"HnL","0"
"70",2008,"July","PLR07280815","All",24,7132.66091294243,0.25,"sq_km",1094.9,"HnL","0"
"71",2008,"July","PLR07280817","All",5,2239.49129409311,0.25,"sq_km",2175.9,"HnL","0"
"72",2008,"July","PLR07300801","All",14,5364.96105160995,0.25,"sq_km",6230.8,"HnL","0"
"73",2008,"July","PLR07300802","All",5,2567.13316085786,0.25,"sq_km",5687.6,"HnL","0"
"74",2008,"July","PLR07300805","All",35,12078.4438274887,0.25,"sq_km",4354.3,"HnL","0"
"75",2008,"July","PLR07300816","All",41,16872.9522625451,0.25,"sq_km",1609.7,"HnL","0"
"76",2008,"September","PLM09170806","All",75,31518.2955249378,0.25,"sq_km",362.4,"HnL","1"
"77",2008,"September","PLM09170807","All",50,17497.458765845,0.25,"sq_km",238.8,"HnL","1"
"78",2008,"September","PLM09170808","All",64,30624.7044576282,0.25,"sq_km",340.5,"HnL","1"
"79",2008,"September","PLM09170812","All",48,13324.5098174466,0.25,"sq_km",837.4,"HnL","1"
"80",2008,"September","PLM09190807","All",36,19622.7260332162,0.25,"sq_km",238.8,"HnL","1"
"81",2008,"September","PLM09190808","All",105,44316.2296841044,0.25,"sq_km",340.5,"HnL","1"
"82",2008,"September","PLM09190810","All",38,13528.0109060838,0.25,"sq_km",457.2,"HnL","1"
"83",2008,"September","PLM09190813","All",30,9801.14038006296,0.25,"sq_km",501.9,"HnL","1"
"84",2008,"September","PLR09160801","All",7,3178.34979179223,0.25,"sq_km",6230.8,"HnL","0"
"85",2008,"September","PLR09160803","All",8,2682.13897197699,0.25,"sq_km",5084.5,"HnL","0"
"86",2008,"September","PLR09160816","All",31,6895.82980800446,0.25,"sq_km",1609.7,"HnL","0"
"87",2008,"September","PLR09160817","All",8,3713.94171997163,0.25,"sq_km",2175.9,"HnL","0"
"88",2008,"September","PLR09180801","All",5,2785.19425737906,0.25,"sq_km",6230.8,"HnL","0"
"89",2008,"September","PLR09180805","All",8,3429.15548658168,0.25,"sq_km",4354.3,"HnL","0"
"90",2008,"September","PLR09180814","All",17,5703.11921490389,0.25,"sq_km",584.8,"HnL","0"
"91",2008,"September","PLR09180816","All",58,22495.602552991,0.25,"sq_km",1609.7,"HnL","0"
"92",2009,"August","PLM08100906","All",10,2215.5044504857,0.25,"sq_km",362.4,"HnL","1"
"93",2009,"August","PLM08100909","All",7,3434.10000912524,0.25,"sq_km",412.1,"HnL","1"
"94",2009,"August","PLM08100910","All",3,1292.2915312703,0.25,"sq_km",457.2,"HnL","1"
"95",2009,"August","PLM08120907","All",1,254.686132412009,0.25,"sq_km",238.8,"HnL","1"
"96",2009,"August","PLM08120908","All",8,1737.06540483854,0.25,"sq_km",340.5,"HnL","1"
"97",2009,"August","PLM08120909","All",9,3116.19227365188,0.25,"sq_km",412.1,"HnL","1"
"98",2009,"August","PLR08110902","All",1,223.753403258216,0.25,"sq_km",5687.6,"HnL","0"
"99",2009,"August","PLR08130905","All",1,288.426427435869,0.25,"sq_km",4354.3,"HnL","0"
"100",2009,"August","PLR08130914","All",3,589.037449310474,0.25,"sq_km",584.8,"HnL","0"
"101",2009,"July","PLM07210909","All",3,1831.95134901517,0.25,"sq_km",412.1,"HnL","1"
"102",2009,"July","PLM07210910","All",47,16068.9635850354,0.25,"sq_km",457.2,"HnL","1"
"103",2009,"July","PLM07210911","All",2,393.540364043203,0.25,"sq_km",387.4,"HnL","1"
"104",2009,"July","PLM07210913","All",2,380.175444083583,0.25,"sq_km",501.9,"HnL","1"
"105",2009,"July","PLM07230906","All",32,10403.8505911375,0.25,"sq_km",362.4,"HnL","1"
"106",2009,"July","PLM07230907","All",18,7025.68308011854,0.25,"sq_km",238.8,"HnL","1"
"107",2009,"July","PLM07230910","All",17,7269.63952381238,0.25,"sq_km",457.2,"HnL","1"
"108",2009,"July","PLR07200903","All",3,630.417295561086,0.25,"sq_km",5084.5,"HnL","0"
"109",2009,"July","PLR07200905","All",12,3244.27931885559,0.25,"sq_km",4354.3,"HnL","0"
"110",2009,"July","PLR07200915","All",2,471.600131773154,0.25,"sq_km",1094.9,"HnL","0"
"111",2009,"July","PLR07220901","All",1,557.28239315005,0.25,"sq_km",6230.8,"HnL","0"
"112",2009,"July","PLR07220903","All",6,1485.51267606451,0.25,"sq_km",5084.5,"HnL","0"
"113",2009,"July","PLR07220904","All",1,503.893647981712,0.25,"sq_km",4518,"HnL","0"
"114",2010,"August","PLM08101006","All",14,4572.66664427054,0.25,"sq_km",362.4,"HnL","1"
"115",2010,"August","PLM08101007","All",15,5985.27022653582,0.25,"sq_km",238.8,"HnL","1"
"116",2010,"August","PLM08101008","All",12,4606.03116428963,0.25,"sq_km",340.5,"HnL","1"
