"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"2",2007,"August","PL",16,"cm","Unknown","Gear is HnL",1,1
"3",2007,"August","PL",18,"cm","Unknown","Gear is HnL",1,1
"4",2007,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"5",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"6",2007,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"7",2007,"August","PL",20,"cm","Unknown","Gear is HnL",1,1
"8",2007,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"9",2009,"July","PL",23,"cm","Unknown","Gear is HnL",0,1
"10",2009,"July","PL",21,"cm","Unknown","Gear is HnL",0,1
"11",2009,"July","PL",26,"cm","Unknown","Gear is HnL",0,1
"12",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"13",2009,"July","PL",20,"cm","Unknown","Gear is HnL",1,1
"14",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"15",2007,"August","PL",22,"cm","Unknown","Gear is HnL",1,1
"16",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"17",2007,"August","PL",38,"cm","Unknown","Gear is HnL",1,1
"18",2007,"August","PL",17,"cm","Unknown","Gear is HnL",1,1
"19",2007,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"20",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"21",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"22",2007,"August","PL",20,"cm","Unknown","Gear is HnL",1,1
"23",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"24",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"25",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"26",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"27",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"28",2012,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"29",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"30",2012,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"31",2012,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"32",2012,"August","PL",18,"cm","Unknown","Gear is HnL",0,1
"33",2012,"August","PL",18,"cm","Unknown","Gear is HnL",0,1
"34",2012,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"35",2009,"July","PL",22,"cm","Unknown","Gear is HnL",1,1
"36",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"37",2010,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"38",2010,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"39",2013,"August","PL",17,"cm","Unknown","Gear is HnL",0,1
"40",2013,"August","PL",34,"cm","Unknown","Gear is HnL",0,1
"41",2013,"August","PL",30,"cm","Unknown","Gear is HnL",0,1
"42",2013,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"43",2013,"August","PL",30,"cm","Unknown","Gear is HnL",0,1
"44",2013,"August","PL",30,"cm","Unknown","Gear is HnL",0,1
"45",2013,"August","PL",33,"cm","Unknown","Gear is HnL",0,1
"46",2013,"August","PL",33,"cm","Unknown","Gear is HnL",0,1
"47",2013,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"48",2013,"August","PL",36,"cm","Unknown","Gear is HnL",0,1
"49",2013,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
