"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",1832,650380.079369828
"2","2007","MPA",5864,2424521.94701706
"3","2008","Fished",1400,507602.29354896
"4","2008","MPA",4672,2030472.21289672
"5","2009","Fished",120,31976.8109735626
"6","2009","MPA",636,221694.574956118
"7","2010","Fished",136,47894.0145695297
"8","2010","MPA",512,178719.091677957
"9","2011","Fished",112,41285.074497803
"10","2011","MPA",428,210477.678311619
"11","2012","Fished",268,87161.6424339776
"12","2012","MPA",448,198112.349690851
"13","2013","Fished",1332,590226.391423647
"14","2013","MPA",1156,514622.921880495
