"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2007,"LBAR",457,1.22,0.66,3.46,0.76,"FvM","None"
"2",2008,"LBAR",350,1.34,0.64,1.96,0.42,"FvM","None"
"3",2013,"LBAR",333,4.29,2.26,7.72,1.85,"FvM","None"
"4",2007,"CatchCurve",1922,1.43,0.9,3.19,0.76,"FvM","No MPA based M possible - derived from LHI and Lit"
"5",2008,"CatchCurve",1513,1.37,1,2.09,0.37,"FvM","No MPA based M possible - derived from LHI and Lit"
"6",2013,"CatchCurve",621,0.52,-0.43,2.08,1.06,"FvM","None"
"7",2007,"1",0.272693596296244,0.17,0.44,0.06,1,"1","2007"
"8",2008,"1",0.249641662401163,0.18,0.36,0.04,1,"1","2008"
"9",2009,"1",0.227045469684333,0.12,0.37,0.06,1,"1","2009"
"10",2010,"1",0.344779020810348,0.17,0.6,0.11,1,"1","2010"
"11",2011,"1",0.403376396988827,0.2,0.78,0.13,1,"1","2011"
"12",2012,"1",0.532558165736006,0.19,0.97,0.19,1,"1","2012"
"13",2013,"1",1.3621901661417,0.61,2.59,0.44,1,"1","2013"
