"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PLM08070706","All",18,6558.99090908764,0.25,"sq_km",362.4,"HnL","1"
"2",2007,"August","PLM08070707","All",34,11792.6083111941,0.25,"sq_km",238.8,"HnL","1"
"3",2007,"August","PLM08070710","All",12,4724.58559927045,0.25,"sq_km",457.2,"HnL","1"
"4",2007,"August","PLM08070711","All",11,2723.7167720041,0.25,"sq_km",387.4,"HnL","1"
"5",2007,"August","PLM08090708","All",8,3076.90058663283,0.25,"sq_km",340.5,"HnL","1"
"6",2007,"August","PLM08090709","All",3,1054.8240175977,0.25,"sq_km",412.1,"HnL","1"
"7",2007,"August","PLM08090712","All",45,14297.6397981022,0.25,"sq_km",837.4,"HnL","1"
"8",2007,"August","PLM08090713","All",7,2234.99162884593,0.25,"sq_km",501.9,"HnL","1"
"9",2007,"August","PLR08060702","All",26,7155.97950976832,0.25,"sq_km",5687.6,"HnL","0"
"10",2007,"August","PLR08060703","All",22,5451.27744841182,0.25,"sq_km",5084.5,"HnL","0"
"11",2007,"August","PLR08060704","All",15,4435.31222664269,0.25,"sq_km",4518,"HnL","0"
"12",2007,"August","PLR08060715","All",44,16540.866150772,0.25,"sq_km",1094.9,"HnL","0"
"13",2007,"August","PLR08080702","All",5,1417.07866093651,0.25,"sq_km",5687.6,"HnL","0"
"14",2007,"August","PLR08080703","All",7,2275.80745199095,0.25,"sq_km",5084.5,"HnL","0"
"15",2007,"August","PLR08080705","All",6,1355.90341241657,0.25,"sq_km",4354.3,"HnL","0"
"16",2007,"August","PLR08080714","All",6,2154.00760393938,0.25,"sq_km",584.8,"HnL","0"
"17",2007,"October","PLM10220708","All",23,7331.7179659277,0.25,"sq_km",340.5,"HnL","1"
"18",2007,"October","PLM10220709","All",23,8396.25918146335,0.25,"sq_km",412.1,"HnL","1"
"19",2007,"October","PLM10220710","All",12,4149.63516395192,0.25,"sq_km",457.2,"HnL","1"
"20",2007,"October","PLM10220711","All",12,3210.15348309873,0.25,"sq_km",387.4,"HnL","1"
"21",2007,"October","PLM10240706","All",7,2048.64973530395,0.25,"sq_km",362.4,"HnL","1"
"22",2007,"October","PLM10240707","All",22,6713.97455232436,0.25,"sq_km",238.8,"HnL","1"
"23",2007,"October","PLM10240708","All",30,9398.70896687787,0.25,"sq_km",340.5,"HnL","1"
"24",2007,"October","PLM10240710","All",14,5090.71894769142,0.25,"sq_km",457.2,"HnL","1"
"25",2007,"October","PLR10230701","All",3,987.61015243644,0.25,"sq_km",6230.8,"HnL","0"
"26",2007,"October","PLR10230703","All",17,5154.00496111273,0.25,"sq_km",5084.5,"HnL","0"
"27",2007,"October","PLR10230714","All",18,6428.03013454824,0.25,"sq_km",584.8,"HnL","0"
"28",2007,"October","PLR10250714","All",14,4861.19017914093,0.25,"sq_km",584.8,"HnL","0"
"29",2007,"October","PLR10250715","All",31,11352.3028742466,0.25,"sq_km",1094.9,"HnL","0"
"30",2007,"September","PLM09240707","All",49,19474.465567286,0.25,"sq_km",238.8,"HnL","1"
"31",2007,"September","PLM09240708","All",26,9340.45235709626,0.25,"sq_km",340.5,"HnL","1"
"32",2007,"September","PLM09240712","All",9,2950.82981342251,0.25,"sq_km",837.4,"HnL","1"
"33",2007,"September","PLM09240713","All",7,2075.84789974654,0.25,"sq_km",501.9,"HnL","1"
"34",2007,"September","PLM09270708","All",16,5255.78925801914,0.25,"sq_km",340.5,"HnL","1"
"35",2007,"September","PLM09270709","All",20,6729.91049807531,0.25,"sq_km",412.1,"HnL","1"
"36",2007,"September","PLM09270710","All",11,3704.33815661753,0.25,"sq_km",457.2,"HnL","1"
"37",2007,"September","PLM09270711","All",40,10604.869469139,0.25,"sq_km",387.4,"HnL","1"
"38",2007,"September","PLR09250701","All",11,3318.77997119675,0.25,"sq_km",6230.8,"HnL","0"
"39",2007,"September","PLR09250702","All",4,1654.25521781395,0.25,"sq_km",5687.6,"HnL","0"
"40",2007,"September","PLR09250703","All",11,3225.61099521025,0.25,"sq_km",5084.5,"HnL","0"
"41",2007,"September","PLR09250717","All",5,1764.64612320579,0.25,"sq_km",2175.9,"HnL","0"
"42",2007,"September","PLR09260701","All",12,3524.9192261692,0.25,"sq_km",6230.8,"HnL","0"
"43",2007,"September","PLR09260715","All",22,6235.44543392385,0.25,"sq_km",1094.9,"HnL","0"
"44",2007,"September","PLR09260716","All",11,3786.6976257927,0.25,"sq_km",1609.7,"HnL","0"
"45",2007,"September","PLR09260717","All",12,4295.32028961801,0.25,"sq_km",2175.9,"HnL","0"
"46",2008,"August","PLM08260806","All",3,1187.04149131158,0.25,"sq_km",362.4,"HnL","1"
"47",2008,"August","PLM08260807","All",23,8396.36071417704,0.25,"sq_km",238.8,"HnL","1"
"48",2008,"August","PLM08260810","All",4,1537.80360059608,0.25,"sq_km",457.2,"HnL","1"
"49",2008,"August","PLM08280807","All",10,3385.22026118695,0.25,"sq_km",238.8,"HnL","1"
"50",2008,"August","PLM08280809","All",4,1419.68285193895,0.25,"sq_km",412.1,"HnL","1"
"51",2008,"August","PLM08280810","All",4,2030.02562379759,0.25,"sq_km",457.2,"HnL","1"
"52",2008,"August","PLM08280813","All",13,3987.92638163533,0.25,"sq_km",501.9,"HnL","1"
"53",2008,"August","PLR08250804","All",5,1310.73029997644,0.25,"sq_km",4518,"HnL","0"
"54",2008,"August","PLR08250805","All",11,2798.43082547396,0.25,"sq_km",4354.3,"HnL","0"
"55",2008,"August","PLR08250814","All",26,7608.35862323842,0.25,"sq_km",584.8,"HnL","0"
"56",2008,"August","PLR08250815","All",8,2606.0628519557,0.25,"sq_km",1094.9,"HnL","0"
"57",2008,"August","PLR08270804","All",2,613.532776351077,0.25,"sq_km",4518,"HnL","0"
"58",2008,"August","PLR08270816","All",15,5626.27477788269,0.25,"sq_km",1609.7,"HnL","0"
"59",2008,"August","PLR08270817","All",4,1469.18900345881,0.25,"sq_km",2175.9,"HnL","0"
"60",2008,"July","PLM07290807","All",34,13189.0356183263,0.25,"sq_km",238.8,"HnL","1"
"61",2008,"July","PLM07290808","All",18,5140.3976148869,0.25,"sq_km",340.5,"HnL","1"
"62",2008,"July","PLM07290809","All",23,7704.42597073944,0.25,"sq_km",412.1,"HnL","1"
"63",2008,"July","PLM07290812","All",56,14453.3819961665,0.25,"sq_km",837.4,"HnL","1"
"64",2008,"July","PLM07310806","All",4,1389.35591650544,0.25,"sq_km",362.4,"HnL","1"
"65",2008,"July","PLM07310808","All",17,5690.96184100703,0.25,"sq_km",340.5,"HnL","1"
"66",2008,"July","PLM07310810","All",9,2941.51760685411,0.25,"sq_km",457.2,"HnL","1"
"67",2008,"July","PLM07310811","All",14,4161.97249478555,0.25,"sq_km",387.4,"HnL","1"
"68",2008,"July","PLR07280805","All",23,5418.98628319641,0.25,"sq_km",4354.3,"HnL","0"
"69",2008,"July","PLR07280814","All",24,8605.9555284548,0.25,"sq_km",584.8,"HnL","0"
"70",2008,"July","PLR07280815","All",24,9027.04427694692,0.25,"sq_km",1094.9,"HnL","0"
"71",2008,"July","PLR07280817","All",4,1564.99658086805,0.25,"sq_km",2175.9,"HnL","0"
"72",2008,"July","PLR07300801","All",31,9036.23896519802,0.25,"sq_km",6230.8,"HnL","0"
"73",2008,"July","PLR07300802","All",7,2002.41634609713,0.25,"sq_km",5687.6,"HnL","0"
"74",2008,"July","PLR07300805","All",11,2625.22358329522,0.25,"sq_km",4354.3,"HnL","0"
"75",2008,"July","PLR07300816","All",16,5035.12107092535,0.25,"sq_km",1609.7,"HnL","0"
"76",2008,"September","PLM09170806","All",2,650.212697830415,0.25,"sq_km",362.4,"HnL","1"
"77",2008,"September","PLM09170807","All",26,9622.1496551017,0.25,"sq_km",238.8,"HnL","1"
"78",2008,"September","PLM09170808","All",25,10120.5429853999,0.25,"sq_km",340.5,"HnL","1"
"79",2008,"September","PLM09170812","All",19,5951.26903046988,0.25,"sq_km",837.4,"HnL","1"
"80",2008,"September","PLM09190807","All",18,6143.80116483367,0.25,"sq_km",238.8,"HnL","1"
"81",2008,"September","PLM09190808","All",16,4788.19771378191,0.25,"sq_km",340.5,"HnL","1"
"82",2008,"September","PLM09190810","All",40,15142.2222806586,0.25,"sq_km",457.2,"HnL","1"
"83",2008,"September","PLM09190813","All",47,14608.5542028905,0.25,"sq_km",501.9,"HnL","1"
"84",2008,"September","PLR09160801","All",8,2567.44023076875,0.25,"sq_km",6230.8,"HnL","0"
"85",2008,"September","PLR09160803","All",9,2343.95255447504,0.25,"sq_km",5084.5,"HnL","0"
"86",2008,"September","PLR09160816","All",4,919.366402897192,0.25,"sq_km",1609.7,"HnL","0"
"87",2008,"September","PLR09160817","All",1,614.420656724938,0.25,"sq_km",2175.9,"HnL","0"
"88",2008,"September","PLR09180801","All",5,1561.25665596624,0.25,"sq_km",6230.8,"HnL","0"
"89",2008,"September","PLR09180805","All",9,2477.8013907283,0.25,"sq_km",4354.3,"HnL","0"
"90",2008,"September","PLR09180814","All",13,4384.53375766133,0.25,"sq_km",584.8,"HnL","0"
"91",2008,"September","PLR09180816","All",5,1564.46300730818,0.25,"sq_km",1609.7,"HnL","0"
"92",2009,"August","PLM08100906","All",13,3944.23646610013,0.25,"sq_km",362.4,"HnL","1"
"93",2009,"August","PLM08100909","All",15,4791.92563906123,0.25,"sq_km",412.1,"HnL","1"
"94",2009,"August","PLM08100910","All",7,2549.13035678785,0.25,"sq_km",457.2,"HnL","1"
"95",2009,"August","PLM08100911","All",11,4137.25013860557,0.25,"sq_km",387.4,"HnL","1"
"96",2009,"August","PLM08120907","All",30,9525.62704674217,0.25,"sq_km",238.8,"HnL","1"
"97",2009,"August","PLM08120908","All",35,10131.7197464872,0.25,"sq_km",340.5,"HnL","1"
"98",2009,"August","PLM08120909","All",9,2984.6110556901,0.25,"sq_km",412.1,"HnL","1"
"99",2009,"August","PLM08120913","All",17,5535.88409300838,0.25,"sq_km",501.9,"HnL","1"
"100",2009,"August","PLR08110901","All",8,2493.41232596915,0.25,"sq_km",6230.8,"HnL","0"
"101",2009,"August","PLR08110902","All",8,2601.44552386924,0.25,"sq_km",5687.6,"HnL","0"
"102",2009,"August","PLR08110903","All",3,673.936620937496,0.25,"sq_km",5084.5,"HnL","0"
"103",2009,"August","PLR08110917","All",7,2728.63239339067,0.25,"sq_km",2175.9,"HnL","0"
"104",2009,"August","PLR08130904","All",5,1541.95388164278,0.25,"sq_km",4518,"HnL","0"
"105",2009,"August","PLR08130905","All",6,1861.70919101629,0.25,"sq_km",4354.3,"HnL","0"
"106",2009,"August","PLR08130914","All",8,2419.60940665323,0.25,"sq_km",584.8,"HnL","0"
"107",2009,"July","PLM07210909","All",8,3169.74402145069,0.25,"sq_km",412.1,"HnL","1"
"108",2009,"July","PLM07210910","All",11,4250.95586979596,0.25,"sq_km",457.2,"HnL","1"
"109",2009,"July","PLM07210911","All",8,2046.04381749169,0.25,"sq_km",387.4,"HnL","1"
"110",2009,"July","PLM07210913","All",7,1853.90376222974,0.25,"sq_km",501.9,"HnL","1"
"111",2009,"July","PLM07230906","All",16,5234.76437302321,0.25,"sq_km",362.4,"HnL","1"
"112",2009,"July","PLM07230907","All",18,6019.48865443565,0.25,"sq_km",238.8,"HnL","1"
"113",2009,"July","PLM07230910","All",4,1594.8591624208,0.25,"sq_km",457.2,"HnL","1"
"114",2009,"July","PLM07230913","All",8,2257.17418919987,0.25,"sq_km",501.9,"HnL","1"
"115",2009,"July","PLR07200903","All",4,1303.49795960753,0.25,"sq_km",5084.5,"HnL","0"
"116",2009,"July","PLR07200905","All",14,3959.52839290174,0.25,"sq_km",4354.3,"HnL","0"
"117",2009,"July","PLR07200915","All",9,3167.81218418848,0.25,"sq_km",1094.9,"HnL","0"
"118",2009,"July","PLR07200917","All",1,503.893647981712,0.25,"sq_km",2175.9,"HnL","0"
"119",2009,"July","PLR07220901","All",11,3150.50692410047,0.25,"sq_km",6230.8,"HnL","0"
"120",2009,"July","PLR07220903","All",7,1992.13709932206,0.25,"sq_km",5084.5,"HnL","0"
"121",2009,"July","PLR07220904","All",4,1103.8809223639,0.25,"sq_km",4518,"HnL","0"
"122",2009,"July","PLR07220915","All",7,2441.49849584223,0.25,"sq_km",1094.9,"HnL","0"
"123",2009,"July","PLR072209RR","All",3,876.211451540442,0.25,"sq_km",NA,"HnL","0"
"124",2010,"August","PLM08101006","All",12,3446.02861922913,0.25,"sq_km",362.4,"HnL","1"
"125",2010,"August","PLM08101007","All",19,6346.51520751398,0.25,"sq_km",238.8,"HnL","1"
"126",2010,"August","PLM08101008","All",37,12736.0248502066,0.25,"sq_km",340.5,"HnL","1"
"127",2010,"August","PLM08101010","All",15,4870.90673265227,0.25,"sq_km",457.2,"HnL","1"
"128",2010,"August","PLM08121006","All",16,4393.44265025267,0.25,"sq_km",362.4,"HnL","1"
"129",2010,"August","PLM08121010","All",16,4638.85769153423,0.25,"sq_km",457.2,"HnL","1"
"130",2010,"August","PLM08121012","All",16,4659.27636766795,0.25,"sq_km",837.4,"HnL","1"
"131",2010,"August","PLM08121013","All",14,3802.0977492525,0.25,"sq_km",501.9,"HnL","1"
"132",2010,"August","PLM08311007","All",30,9014.23434649979,0.25,"sq_km",238.8,"HnL","1"
"133",2010,"August","PLM08311010","All",2,673.6806087667,0.25,"sq_km",457.2,"HnL","1"
"134",2010,"August","PLM08311011","All",18,5346.53014468535,0.25,"sq_km",387.4,"HnL","1"
"135",2010,"August","PLM08311013","All",18,5995.64452959997,0.25,"sq_km",501.9,"HnL","1"
