"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"2",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"3",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"4",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"5",2007,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"6",2007,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"7",2007,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"8",2007,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"9",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"10",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"11",2007,"August","PL",21,"cm","Unknown","Gear is HnL",1,1
"12",2009,"July","PL",21,"cm","Unknown","Gear is HnL",0,1
"13",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"14",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"15",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"16",2009,"July","PL",27,"cm","Unknown","Gear is HnL",0,1
"17",2009,"July","PL",27,"cm","Unknown","Gear is HnL",0,1
"18",2009,"July","PL",26,"cm","Unknown","Gear is HnL",0,1
"19",2009,"July","PL",27,"cm","Unknown","Gear is HnL",0,1
"20",2009,"July","PL",24,"cm","Unknown","Gear is HnL",0,1
"21",2009,"July","PL",25,"cm","Unknown","Gear is HnL",0,1
"22",2009,"July","PL",30,"cm","Unknown","Gear is HnL",0,1
"23",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"24",2009,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"25",2009,"July","PL",30,"cm","Unknown","Gear is HnL",0,1
"26",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"27",2009,"July","PL",30,"cm","Unknown","Gear is HnL",1,1
"28",2009,"July","PL",28,"cm","Unknown","Gear is HnL",1,1
"29",2009,"July","PL",27,"cm","Unknown","Gear is HnL",1,1
"30",2009,"July","PL",22,"cm","Unknown","Gear is HnL",1,1
"31",2009,"July","PL",22,"cm","Unknown","Gear is HnL",1,1
"32",2009,"July","PL",21,"cm","Unknown","Gear is HnL",1,1
"33",2009,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"34",2009,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"35",2009,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"36",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"37",2007,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"38",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"39",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"40",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"41",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"42",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"43",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"44",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"45",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"46",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"47",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"48",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"49",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"50",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"51",2010,"August","PL",19,"cm","Unknown","Gear is HnL",1,1
"52",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"53",2010,"August","PL",20,"cm","Unknown","Gear is HnL",1,1
"54",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"55",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"56",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"57",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"58",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"59",2012,"August","PL",21,"cm","Unknown","Gear is HnL",0,1
"60",2012,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"61",2012,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"62",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"63",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"64",2012,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"65",2012,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"66",2012,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"67",2012,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"68",2012,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"69",2012,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"70",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"71",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"72",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"73",2009,"July","PL",27,"cm","Unknown","Gear is HnL",1,1
"74",2009,"July","PL",24,"cm","Unknown","Gear is HnL",1,1
"75",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"76",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"77",2009,"July","PL",25,"cm","Unknown","Gear is HnL",1,1
"78",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"79",2010,"August","PL",22,"cm","Unknown","Gear is HnL",1,1
"80",2013,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"81",2013,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"82",2013,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"83",2013,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"84",2013,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"85",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"86",2007,"September","PL",28,"cm","Unknown","Gear is HnL",1,1
"87",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"88",2007,"September","PL",27,"cm","Unknown","Gear is HnL",1,1
"89",2007,"September","PL",27,"cm","Unknown","Gear is HnL",1,1
"90",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"91",2007,"September","PL",23,"cm","Unknown","Gear is HnL",1,1
"92",2010,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"93",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"94",2010,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"95",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"96",2010,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"97",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"98",2010,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"99",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"100",2010,"August","PL",33,"cm","Unknown","Gear is HnL",1,1
"101",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"102",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"103",2010,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"104",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"105",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"106",2010,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"107",2010,"September","PL",25,"cm","Unknown","Gear is HnL",0,1
"108",2010,"September","PL",25,"cm","Unknown","Gear is HnL",0,1
"109",2010,"September","PL",24,"cm","Unknown","Gear is HnL",0,1
"110",2010,"September","PL",27,"cm","Unknown","Gear is HnL",0,1
"111",2010,"September","PL",24,"cm","Unknown","Gear is HnL",0,1
"112",2010,"September","PL",16,"cm","Unknown","Gear is HnL",0,1
"113",2010,"September","PL",27,"cm","Unknown","Gear is HnL",0,1
"114",2010,"September","PL",25,"cm","Unknown","Gear is HnL",0,1
"115",2010,"September","PL",27,"cm","Unknown","Gear is HnL",0,1
"116",2007,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"117",2007,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"118",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"119",2007,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"120",2007,"August","PL",25,"cm","Unknown","Gear is HnL",0,1
"121",2007,"August","PL",24,"cm","Unknown","Gear is HnL",0,1
"122",2007,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"123",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"124",2007,"August","PL",18,"cm","Unknown","Gear is HnL",0,1
"125",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"126",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"127",2007,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"128",2007,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"129",2007,"August","PL",32,"cm","Unknown","Gear is HnL",0,1
"130",2007,"August","PL",22,"cm","Unknown","Gear is HnL",0,1
"131",2010,"September","PL",30,"cm","Unknown","Gear is HnL",0,1
"132",2010,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"133",2010,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"134",2010,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"135",2010,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"136",2010,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"137",2010,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"138",2010,"September","PL",31,"cm","Unknown","Gear is HnL",0,1
"139",2010,"September","PL",25,"cm","Unknown","Gear is HnL",0,1
"140",2008,"July","PL",28,"cm","Unknown","Gear is HnL",0,1
"141",2008,"July","PL",24,"cm","Unknown","Gear is HnL",0,1
"142",2008,"July","PL",24,"cm","Unknown","Gear is HnL",0,1
"143",2008,"July","PL",24,"cm","Unknown","Gear is HnL",0,1
"144",2008,"July","PL",30,"cm","Unknown","Gear is HnL",0,1
"145",2008,"July","PL",24,"cm","Unknown","Gear is HnL",0,1
"146",2008,"July","PL",26,"cm","Unknown","Gear is HnL",0,1
"147",2009,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"148",2009,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"149",2009,"August","PL",27,"cm","Unknown","Gear is HnL",0,1
"150",2009,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"151",2009,"August","PL",23,"cm","Unknown","Gear is HnL",0,1
"152",2012,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"153",2012,"September","PL",24,"cm","Unknown","Gear is HnL",0,1
"154",2012,"September","PL",22,"cm","Unknown","Gear is HnL",0,1
"155",2012,"September","PL",24,"cm","Unknown","Gear is HnL",0,1
"156",2012,"September","PL",25,"cm","Unknown","Gear is HnL",0,1
"157",2012,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"158",2012,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"159",2012,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"160",2012,"September","PL",24,"cm","Unknown","Gear is HnL",0,1
"161",2012,"September","PL",25,"cm","Unknown","Gear is HnL",0,1
"162",2012,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"163",2012,"September","PL",27,"cm","Unknown","Gear is HnL",0,1
"164",2012,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"165",2012,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"166",2012,"September","PL",28,"cm","Unknown","Gear is HnL",0,1
"167",2012,"September","PL",29,"cm","Unknown","Gear is HnL",0,1
"168",2012,"September","PL",27,"cm","Unknown","Gear is HnL",0,1
"169",2012,"September","PL",27,"cm","Unknown","Gear is HnL",0,1
"170",2011,"August","PL",30,"cm","Unknown","Gear is HnL",0,1
"171",2011,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"172",2011,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"173",2011,"August","PL",29,"cm","Unknown","Gear is HnL",0,1
"174",2011,"August","PL",28,"cm","Unknown","Gear is HnL",0,1
"175",2011,"August","PL",26,"cm","Unknown","Gear is HnL",0,1
"176",2011,"August","PL",31,"cm","Unknown","Gear is HnL",0,1
"177",2007,"September","PL",32,"cm","Unknown","Gear is HnL",1,1
"178",2007,"September","PL",22,"cm","Unknown","Gear is HnL",1,1
"179",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"180",2007,"September","PL",29,"cm","Unknown","Gear is HnL",1,1
"181",2007,"September","PL",26,"cm","Unknown","Gear is HnL",1,1
"182",2007,"September","PL",25,"cm","Unknown","Gear is HnL",1,1
"183",2007,"September","PL",25,"cm","Unknown","Gear is HnL",1,1
"184",2007,"September","PL",28,"cm","Unknown","Gear is HnL",1,1
"185",2007,"September","PL",28,"cm","Unknown","Gear is HnL",1,1
"186",2009,"July","PL",31,"cm","Unknown","Gear is HnL",0,1
"187",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"188",2010,"August","PL",21,"cm","Unknown","Gear is HnL",1,1
"189",2010,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"190",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"191",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"192",2010,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"193",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"194",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"195",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"196",2010,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"197",2010,"August","PL",23,"cm","Unknown","Gear is HnL",1,1
"198",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"199",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"200",2010,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"201",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"202",2010,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"203",2010,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"204",2010,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"205",2012,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"206",2012,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"207",2012,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"208",2012,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"209",2008,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"210",2008,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"211",2008,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"212",2008,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"213",2008,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"214",2008,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"215",2008,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"216",2008,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"217",2008,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"218",2008,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"219",2008,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"220",2008,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"221",2008,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"222",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"223",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"224",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"225",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"226",2007,"August","PL",32,"cm","Unknown","Gear is HnL",1,1
"227",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"228",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"229",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"230",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"231",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"232",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"233",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"234",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"235",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"236",2007,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"237",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"238",2007,"August","PL",24,"cm","Unknown","Gear is HnL",1,1
"239",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
"240",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"241",2007,"August","PL",31,"cm","Unknown","Gear is HnL",1,1
"242",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"243",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"244",2007,"August","PL",30,"cm","Unknown","Gear is HnL",1,1
"245",2007,"August","PL",25,"cm","Unknown","Gear is HnL",1,1
"246",2007,"August","PL",29,"cm","Unknown","Gear is HnL",1,1
"247",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"248",2007,"August","PL",27,"cm","Unknown","Gear is HnL",1,1
"249",2007,"August","PL",28,"cm","Unknown","Gear is HnL",1,1
"250",2007,"August","PL",26,"cm","Unknown","Gear is HnL",1,1
