"","Year","MPA","NumberDensity","BiomassDensity"
"1","2007","Fished",1208,389500.182597174
"2","2007","MPA",1836,611762.314555106
"3","2008","Fished",1060,327127.185799396
"4","2008","MPA",1716,574568.238859525
"5","2009","Fished",420,131278.66568531
"6","2009","MPA",868,280109.273570121
"7","2010","Fished",764,248383.579086501
"8","2010","MPA",1216,390780.063320345
"9","2011","Fished",572,175327.088285997
"10","2011","MPA",1584,530305.57148225
"11","2012","Fished",732,237443.000245833
"12","2012","MPA",960,316128.600168951
"13","2013","Fished",236,85476.7550504506
"14","2013","MPA",320,119196.979532837
