"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",2007,"LBAR",302,2.91,2.22,12.97,3.16,"FvM","None"
"2",2008,"LBAR",265,4.1,2.23,7.06,1.38,"FvM","None"
"3",2009,"LBAR",105,2.28,1.5,6.4,1.33,"FvM","None"
"4",2010,"LBAR",191,6.51,2.09,17.33,4.72,"FvM","None"
"5",2011,"LBAR",143,6.5,3.43,18.24,4.06,"FvM","None"
"6",2012,"LBAR",183,4.55,1.53,7.31,1.74,"FvM","None"
"7",2007,"CatchCurve",761,2.18,0.72,4.67,1.31,"FvM","No MPA based M possible - derived from LHI and Lit"
"8",2008,"CatchCurve",694,3.14,0.54,4.37,1.44,"FvM","No MPA based M possible - derived from LHI and Lit"
"9",2009,"CatchCurve",322,1.19,-0.4,1.45,0.56,"FvM","None"
"10",2010,"CatchCurve",495,0.3,-0.17,1.84,0.61,"FvM","None"
"11",2011,"CatchCurve",539,1.54,0.09,1.68,0.53,"FvM","None"
"12",2012,"CatchCurve",423,0.18,-0.02,1.39,0.45,"FvM","None"
"13",2007,"1",0.599211923817529,0.44,0.85,0.1,1,"1","2007"
"14",2008,"1",0.493196278468803,0.31,0.77,0.11,1,"1","2008"
"15",2009,"1",-999,-999,0.61,487.44,1,"1","2009"
"16",2010,"1",-999,-999,0.68,448.03,1,"1","2010"
"17",2011,"1",0.356972539151908,0.22,0.51,0.07,1,"1","2011"
"18",2012,"1",0.621885350836273,0.39,0.97,0.13,1,"1","2012"
"19",2013,"1",0.653530820206305,0.46,0.93,0.11,1,"1","2013"
