"","Year","Month","sample_Idcellday","Site","Count","Biomass","SampleArea","AreaUnits","DistanceFromBorder","SampleType","MPA"
"1",2007,"August","PLM08070706","All",9,65821.7581772347,0.25,"sq_km",362.4,"HnL","1"
"2",2007,"August","PLM08070710","All",1,4313.26188372734,0.25,"sq_km",457.2,"HnL","1"
"3",2007,"August","PLM08070711","All",2,8262.70332258127,0.25,"sq_km",387.4,"HnL","1"
"4",2007,"August","PLM08090708","All",2,12983.3018890424,0.25,"sq_km",340.5,"HnL","1"
"5",2007,"August","PLM08090712","All",1,2444.28695216722,0.25,"sq_km",837.4,"HnL","1"
"6",2007,"August","PLR08060702","All",1,3880.45071424913,0.25,"sq_km",5687.6,"HnL","0"
"7",2007,"August","PLR08060703","All",2,6437.12659019114,0.25,"sq_km",5084.5,"HnL","0"
"8",2007,"October","PLM10220708","All",4,25055.526682495,0.25,"sq_km",340.5,"HnL","1"
"9",2007,"October","PLM10220709","All",1,3105.7753732482,0.25,"sq_km",412.1,"HnL","1"
"10",2007,"October","PLM10240706","All",3,11308.3868512072,0.25,"sq_km",362.4,"HnL","1"
"11",2007,"October","PLM10240707","All",2,6537.22675335652,0.25,"sq_km",238.8,"HnL","1"
"12",2007,"October","PLM10240708","All",2,6077.93491333707,0.25,"sq_km",340.5,"HnL","1"
"13",2007,"October","PLM10240710","All",1,5537.74501001793,0.25,"sq_km",457.2,"HnL","1"
"14",2007,"October","PLR10250715","All",1,2599.5740732482,0.25,"sq_km",1094.9,"HnL","0"
"15",2007,"September","PLM09240707","All",2,5374.45546412257,0.25,"sq_km",238.8,"HnL","1"
"16",2007,"September","PLM09240712","All",1,883.233350838262,0.25,"sq_km",837.4,"HnL","1"
"17",2007,"September","PLM09270708","All",3,19979.8385116644,0.25,"sq_km",340.5,"HnL","1"
"18",2007,"September","PLM09270709","All",2,8903.21119285574,0.25,"sq_km",412.1,"HnL","1"
"19",2007,"September","PLR09250702","All",2,9017.93326732416,0.25,"sq_km",5687.6,"HnL","0"
"20",2007,"September","PLR09260701","All",2,3919.91577423274,0.25,"sq_km",6230.8,"HnL","0"
