"","Year","Month","Site","Length","LengthType","Sex","Special","MPA","FisheryDependent"
"1",2007,"August","PL",69,"cm","Unknown","Gear is HnL",1,1
"2",2007,"August","PL",47,"cm","Unknown","Gear is HnL",1,1
"3",2010,"August","PL",41,"cm","Unknown","Gear is HnL",1,1
"4",2010,"August","PL",70,"cm","Unknown","Gear is HnL",1,1
"5",2012,"August","PL",41,"cm","Unknown","Gear is HnL",0,1
"6",2012,"August","PL",66,"cm","Unknown","Gear is HnL",0,1
"7",2012,"August","PL",72,"cm","Unknown","Gear is HnL",0,1
"8",2012,"August","PL",56,"cm","Unknown","Gear is HnL",0,1
"9",2012,"August","PL",53,"cm","Unknown","Gear is HnL",0,1
"10",2010,"August","PL",48,"cm","Unknown","Gear is HnL",1,1
"11",2010,"August","PL",61,"cm","Unknown","Gear is HnL",1,1
"12",2013,"August","PL",58,"cm","Unknown","Gear is HnL",0,1
"13",2010,"September","PL",48,"cm","Unknown","Gear is HnL",0,1
"14",2010,"September","PL",44,"cm","Unknown","Gear is HnL",0,1
"15",2010,"September","PL",51,"cm","Unknown","Gear is HnL",0,1
"16",2010,"September","PL",54,"cm","Unknown","Gear is HnL",0,1
"17",2008,"July","PL",75,"cm","Unknown","Gear is HnL",0,1
"18",2009,"August","PL",77,"cm","Unknown","Gear is HnL",0,1
"19",2012,"September","PL",57,"cm","Unknown","Gear is HnL",0,1
"20",2012,"September","PL",54,"cm","Unknown","Gear is HnL",0,1
"21",2012,"September","PL",67,"cm","Unknown","Gear is HnL",0,1
"22",2011,"August","PL",58,"cm","Unknown","Gear is HnL",0,1
"23",2007,"September","PL",37,"cm","Unknown","Gear is HnL",1,1
"24",2012,"August","PL",60,"cm","Unknown","Gear is HnL",1,1
"25",2012,"August","PL",57,"cm","Unknown","Gear is HnL",1,1
"26",2012,"August","PL",55,"cm","Unknown","Gear is HnL",1,1
"27",2012,"August","PL",53,"cm","Unknown","Gear is HnL",1,1
"28",2012,"August","PL",55,"cm","Unknown","Gear is HnL",1,1
"29",2007,"August","PL",64,"cm","Unknown","Gear is HnL",1,1
"30",2007,"August","PL",74,"cm","Unknown","Gear is HnL",1,1
"31",2009,"July","PL",50,"cm","Unknown","Gear is HnL",0,1
"32",2008,"September","PL",51,"cm","Unknown","Gear is HnL",1,1
"33",2009,"July","PL",66,"cm","Unknown","Gear is HnL",1,1
"34",2009,"July","PL",36,"cm","Unknown","Gear is HnL",1,1
"35",2010,"August","PL",50,"cm","Unknown","Gear is HnL",1,1
